Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Recapture 18,Comments
5000-29529,6/27/2004,MCGC,BTLH,M,AHY,2005,5/13 3.2g,5/14 3.2g,5/15 3.1g,5/16 3.1g,5/17 3.0g,,,,,,,,,,,,,,
5000-29532,6/30/2004,MCGC,BTLH,F,AHY,2005,6/10 3.9g,6/13 3.4g,6/21 3.6g,7/12 3.5g,7/26 3.7g,8/2 3.3g,8/9 3.4g,,,,,,,,,,,,"Aug, HTW"
5000-29546,7/6/2004,GNMTN,BTLH,F,AHY,2005,7/28 n.w.,,,,,,,,,,,,,,,,,,
5000-29551,7/6/2004,GNMTN,BTLH,F,AHY,2005,7/9 3.7g E7,,,,,,,,,,,,,,,,,,
5000-29552,7/6/2004,GNMTN,BTLH,F,AHY,2005,7/1 3.3g,7/9 3.2g,,,,,,,,,,,,,,,,,
5000-29561,7/6/2004,KV1,BTLH,F,AHY,2005,7/1 3.5g,,,,,,,,,,,,,,,,,,
5000-29568,7/9/2004,MCGC,BTLH,F,AHY,2005,5/16 3.6 E6-,7/14 3.9,,,,,,,,,,,,,,,,,"Jul, HTW"
5000-29574,7/9/2004,MCGC,BTLH,M,AHY,2005,5/23 3.4g CC3,5/26 3.3g CC3,,,,,,,,,,,,,,,,,
5000-29575,7/10/2004,MCGC,BTLH,M,AHY,2005,5/13 3.3g,5/15 3.2g,5/16 3.1g,,,,,,,,,,,,,,,,
5000-29593,7/12/2004,MCGC,BTLH,F,AHY,2005,5/16 3.7 E7,,,,,,,,,,,,,,,,,,
5000-29594,7/12/2004,CC2,BTLH,F,AHY,2005,6/19 3.6g,,,,,,,,,,,,,,,,,,
5000-29606,7/13/2004,KV1,BTLH,F,AHY,2005,6/27 3.5g,,,,,,,,,,,,,,,,,,
5000-29609,7/13/2004,GNMTN,BTLH,F,AHY,2005,6/27 3.4g,,,,,,,,,,,,,,,,,,
5000-29616,7/13/2004,MCGC,BTLH,M,AHY,2005,6/12 3.7g,6/13 3.3g,7/9 3.5g,,,,,,,,,,,,,,,,
5000-29619,7/14/2004,MCGC,BTLH,F,AHY,2005,6/10 3.6g 2x,6/11 3.2g,6/12 3.3g 2x,6/13 3.2g,6/14 3.3g,6/29 3.5g,,,,,,,,,,,,,
5000-29622,7/14/2004,MCGC,BTLH,F,AHY,2005,6/27 3.3g,,,,,,,,,,,,,,,,,,
5000-29635,7/15/2004,MCGC,BTLH,M,AHY,2005,5/18 3.4g,6/13 3.4g,7/14 3.6g,,,,,,,,,,,,,,,,
5000-29641,7/15/2004,MCGC,BTLH,F,AHY,2005,6/29 3.4g,6/30 3.2g,7/7 3.4g 2x,7/8 3.1g,7/10 3.1 4x,7/11 3.2 3x,7/12 3.1g,7/13 2.9g,7/14 3.5g,,,,,,,,,,
5000-29643,7/15/2004,MCGC,BTLH,F,AHY,2005,6/05 3.6g E6,6/6 3.0g,6/10 3.0g 2x,6/19 4.0g E8,,,,,,,,,,,,,,,
5000-29645,7/16/2004,MCGC,BTLH,M,AHY,2005,5/14 3.1g,,,,,,,,,,,,,,,,,,
5000-29660,7/19/2004,MCGC,BTLH,M,AHY,2005,5/15 3.3g,,,,,,,,,,,,,,,,,,
5000-29675,7/18/2004,GNMTN,BTLH,F,AHY,2005,7/28 3.9g,,,,,,,,,,,,,,,,,,
5000-29676,7/18/2004,GNMTN,BTLH,F,AHY,2005,7/20 4.0g,,,,,,,,,,,,,,,,,,"Jul, r3 LtTW"
5000-29678,7/19/2004,MCGC,BTLH,F,AHY,2005,7/3 3.3,,,,,,,,,,,,,,,,,,
5000-29681,7/19/2004,MCGC,BTLH,F,AHY,2005,7/21 3.4g,,,,,,,,,,,,,,,,,,
5000-96628,7/22/2004,KV1,BTLH,F,AHY,2005,7/9 3.5g,,,,,,,,,,,,,,,,,,"Jul, NTW"
5000-96640,7/24/2004,MCGC,BTLH,F,AHY,2005,5/16 3.6g E6,6/10 3.4g,6/11 3.4g,,,,,,,,,,,,,,,,
5000-96645,7/25/2004,CC2,BTLH,F,AHY,2005,8/19 3.6g MCGC,,,,,,,,,,,,,,,,,,
5000-96648,7/25/2004,MCGC,BTLH,F,AHY,2005,7/9 3.6g,7/14 3.9g,,,,,,,,,,,,,,,,,"Jul, NTW"
5000-96650,7/25/2004,MCGC,BTLH,F,AHY,2005,6/13 3.6g E6,7/10 3.4g,7/31 3.8g,8/1 3.4g,,,,,,,,,,,,,,,"Jul, HTW"
5000-96661,7/26/2004,MCGC,BTLH,F,AHY,2005,6/13 3.3g,,,,,,,,,,,,,,,,,,
5000-96664,7/26/2004,MCGC,BTLH,F,AHY,2005,7/18 3.8g,7/25 3.6g,7/27 3.2g,,,,,,,,,,,,,,,,"Jul, HTW"
5000-96671,7/26/2004,MP1,BTLH,F,AHY,2005,6/13 3.6 E6,,,,,,,,,,,,,,,,,,
5000-96672,7/26/2004,MP1,BTLH,F,AHY,2005,6/2 3.5g,6/3 3.2g,8/18 3.3g,,,,,,,,,,,,,,,,
5000-96673,7/26/2004,MP1,BTLH,F,AHY,2005,5/31 3.3g,6/2 3.3g,6/5 3.2g,,,,,,,,,,,,,,,,
5000-96674,7/26/2004,MP1,BTLH,M,AHY,2005,6/25 3.3g,,,,,,,,,,,,,,,,,,
5000-96675,7/26/2004,MP1,BTLH,F,AHY,2005,6/1 3.8g,,,,,,,,,,,,,,,,,,
5000-96676,7/26/2004,MP1,BTLH,F,AHY,2005,5/18 3.6g,6/02 3.2g,6/5 3.8g E6,,,,,,,,,,,,,,,,
5000-96678,7/26/2004,MP1,BTLH,F,AHY,2005,6/2 3.8g E8,,,,,,,,,,,,,,,,,,
5000-96679,7/26/2004,MP1,BTLH,F,AHY,2005,6/11 3.7g,,,,,,,,,,,,,,,,,,
5000-96680,7/26/2004,MP1,BTLH,F,AHY,2005,5/25 4.0g E7,6/13 3.7g,6/18 3.6g,,,,,,,,,,,,,,,,
5000-96683,7/26/2004,MP1,BTLH,F,AHY,2005,6/5 4.6g E9,7/7 3.9g E7,,,,,,,,,,,,,,,,,
5000-96684,7/26/2004,MP1,BTLH,F,AHY,2005,6/5 3.5g,8/25 3.6g,,,,,,,,,,,,,,,,,"Aug, LtTW"
5000-96685,7/26/2004,MP1,BTLH,F,AHY,2005,6/25 3.7g,,,,,,,,,,,,,,,,,,
5000-96694,7/27/2004,MCGC,BTLH,F,HY,2005,5/23 3.3g,,,,,,,,,,,,,,,,,,
5000-96731,8/6/2004,MP1,BTLH,F,AHY,2005,5/25 3.9g E8,6/2 3.4g,6/3 3.2g,8/25 3.5g,,,,,,,,,,,,,,,"Aug, LtTW"
5000-96732,8/6/2004,MP1,BTLH,F,AHY,2005,5/31 3.5g E6,6/05 3.4 2x,6/11 3.2g 2x,,,,,,,,,,,,,,,,
5000-96737,8/6/2004,MP1,BTLH,F,AHY,2005,5/31 3.5g,6/01 3.3g,6/3 3.5g,6/5 3.5g E6 2x,6/13 3.4g,8/29 3.7g,,,,,,,,,,,,,
5000-96743,8/6/2004,MP1,BTLH,F,AHY,2005,7/11 3.5g,,,,,,,,,,,,,,,,,,
5000-96745,8/6/2004,MP1,BTLH,F,AHY,2005,8/19 3.6g,,,,,,,,,,,,,,,,,,"Aug, LtTW"
5000-96752,8/7/2004,MCGC,BTLH,F,HY,2005,5/15 3.7g,7/18 3.7g,7/25 3.4g,7/27 3.2g,8/6 n.w.,,,,,,,,,,,,,,
5000-96760,8/7/2004,MP1,BTLH,F,AHY,2005,6/11 4.2g E6,,,,,,,,,,,,,,,,,,
5000-96768,8/7/2004,MP1,BTLH,F,AHY,2005,5/24 3.9g E8,,,,,,,,,,,,,,,,,,
5000-96772,8/7/2004,MP1,BTLH,F,AHY,2005,6/11 3.6g E6,6/12 3.5g,,,,,,,,,,,,,,,,,
5000-96786,8/9/2004,MCGC,BTLH,F,HY,2005,7/12 3.4g,,,,,,,,,,,,,,,,,,
5000-96790,8/10/2004,MCGC,BTLH,M,HY,2005,5/13 3.9g,,,,,,,,,,,,,,,,,,
5000-96800,8/13/2004,MP1,BTLH,F,AHY,2005,6/12 3.5g,,,,,,,,,,,,,,,,,,
5000-96806,8/11/2004,MP1,BTLH,F,AHY,2005,5/31 3.6g E6,6/5 3.6g,,,,,,,,,,,,,,,,,
5000-96808,8/11/2004,MP1,BTLH,F,AHY,2005,5/31 3.5g,,,,,,,,,,,,,,,,,,
5000-96811,8/11/2004,MP1,BTLH,F,AHY,2005,7/7 4.3g E8,,,,,,,,,,,,,,,,,,
5000-96812,8/11/2004,MP1,BTLH,M,HY,2005,6/2 3.1g,,,,,,,,,,,,,,,,,,
5000-96819,8/11/2004,MP1,BTLH,F,AHY,2005,6/29 3.3g,,,,,,,,,,,,,,,,,,
5000-96821,8/11/2004,MP1,BTLH,F,AHY,2005,6/5 3.4g E6,,,,,,,,,,,,,,,,,,
5000-96822,8/11/2004,MP1,BTLH,F,AHY,2005,5/24 3.4g,6/3 3.5g,6/5 3.5g,,,,,,,,,,,,,,,,
5000-96824,8/12/2004,GNMTN,BTLH,F,AHY,2005,7/9 3.7g,,,,,,,,,,,,,,,,,,
5000-96831,8/13/2004,MCGC,BTLH,M,HY,2005,5/14 3.5g,5/15 3.3g 4x,5/16 3.3g 5x,5/17 3.3g 2x,5/18 3.2g,5/19 3.2g 3x,6/10 3.2g,6/13 3.3g,,,,,,,,,,,
5000-96832,8/13/2004,MCGC,BTLH,F,HY,2005,7/22 4.0g,7/26 3.6g,,,,,,,,,,,,,,,,,
5000-96834,8/13/2004,MCGC,BTLH,F,AHY,2005,6/13 3.7g E6,,,,,,,,,,,,,,,,,,
5000-96835,8/13/2004,MCGC,BTLH,F,AHY,2005,7/10 3.4g,,,,,,,,,,,,,,,,,,"Jul, HTW"
5000-96845,8/13/2004,MP1,BTLH,F,AHY,2005,6/25 3.4g,,,,,,,,,,,,,,,,,,
5000-96847,8/13/2004,MP1,BTLH,F,AHY,2005,5/23 3.6g,5/31 3.3g,6/5 3.5g E6,,,,,,,,,,,,,,,,
5000-96848,8/13/2004,MP1,BTLH,F,AHY,2005,7/11 3.5g,,,,,,,,,,,,,,,,,,
5000-96850,8/13/2004,MP1,BTLH,F,AHY,2005,6/3 3.5g,6/5 3.9g E6,,,,,,,,,,,,,,,,,
5000-96851,8/14/2004,MCGC,BTLH,F,AHY,2005,7/12 3.6g,,,,,,,,,,,,,,,,,,
5000-96852,8/14/2004,MCGC,BTLH,M,HY,2005,7/7 3.2g,7/10 3.2g,,,,,,,,,,,,,,,,,
5000-96861,8/14/2004,MP1,BTLH,F,AHY,2005,7/7 3.6g,,,,,,,,,,,,,,,,,,
5000-96863,8/14/2004,MP1,BTLH,F,AHY,2005,7/27 3.2g,,,,,,,,,,,,,,,,,,
5000-96872,8/14/2004,MP1,BTLH,F,AHY,2005,7/7 3.5g,,,,,,,,,,,,,,,,,,
5000-96873,8/14/2004,MP1,BTLH,F,AHY,2005,8/8 3.8g,8/26 3.4g,,,,,,,,,,,,,,,,,
5000-96877,8/14/2004,MP1,BTLH,F,AHY,2005,6/4 3.1g,,,,,,,,,,,,,,,,,,
5000-96912,8/20/2004,MP1,BTLH,F,AHY,2005,6/25 3.8g E8,6/29 3.9g E8,,,,,,,,,,,,,,,,,
5000-96917,8/20/2004,MP1,BTLH,F,AHY,2005,6/19 3.5g,,,,,,,,,,,,,,,,,,was band lost
5000-96919,8/20/2004,MP1,BTLH,F,AHY,2005,6/12 3.2g 2x,6/25 3.4g,,,,,,,,,,,,,,,,,
5000-96922,8/20/2004,MP1,BTLH,F,AHY,2005,6/5 3.4g E6,,,,,,,,,,,,,,,,,,
5000-96930,8/21/2004,MP1,BTLH,F,AHY,2005,5/25 3.4g,6/2 3.1g E6-,,,,,,,,,,,,,,,,,
5000-96940,8/21/2004,MP1,BTLH,F,AHY,2005,5/18 3.6g,5/31 3.4g,6/3 3.3g,6/5 3.3g,6/12 3.4g,,,,,,,,,,,,,,
5000-96942,8/21/2004,MP1,BTLH,F,AHY,2005,5/24 3.5g,5/31 3.3g,6/4 3.4g,,,,,,,,,,,,,,,,
5000-96946,8/21/2004,MP1,BTLH,F,HY,2005,6/5 3.4g E8,6/12 3.7g E6,6/18 3.2g,6/25 3.2g,,,,,,,,,,,,,,,
5000-96947,8/21/2004,MP1,BTLH,F,AHY,2005,5/25 4.4g E8,,,,,,,,,,,,,,,,,,
5000-96948,8/21/2004,MP1,BTLH,F,AHY,2005,7/7 3.6g E7,,,,,,,,,,,,,,,,,,
5000-96951,8/21/2004,MP1,BTLH,F,AHY,2005,8/17 3.9g,,,,,,,,,,,,,,,,,,"Aug, LtTW"
5000-96961,8/22/2004,MCGC,BTLH,M,HY,2005,6/10 3.4g 2x,6/12 3.3g,,,,,,,,,,,,,,,,,
5000-96966,8/22/2004,GNMTN,BTLH,M,AHY,2005,7/1 3.1g,,,,,,,,,,,,,,,,,,
5000-96968,8/23/2004,MCGC,BTLH,M,HY,2005,6/6 3.1g 2x,,,,,,,,,,,,,,,,,,
5000-96977,8/24/2004,MP1,BTLH,F,AHY,2005,5/31 3.5g E7,,,,,,,,,,,,,,,,,,
5000-96980,8/24/2004,MP1,BTLH,F,AHY,2005,6/12 3.7g,,,,,,,,,,,,,,,,,,
5000-96986,8/25/2004,MP1,BTLH,F,HY,2005,6/11 3.7g,8/6 4.0g,,,,,,,,,,,,,,,,,"Aug, HTW"
5000-96989,8/25/2004,MP1,BTLH,F,AHY,2005,6/2 3.7g E6,,,,,,,,,,,,,,,,,,
5000-96997,8/29/2004,MP1,BTLH,F,AHY,2005,6/2 3.6g,,,,,,,,,,,,,,,,,,
5000-97012,8/31/2004,MP1,BTLH,F,HY,2005,6/5 3.7g E7+,,,,,,,,,,,,,,,,,,
5000-97024,9/3/2004,MP1,BTLH,F,HY,2005,6/11 3.8g,,,,,,,,,,,,,,,,,,
5000-97036,9/6/2004,MP1,BTLH,F,HY,2005,8/13 3.7g,,,,,,,,,,,,,,,,,,
4000-01786,7/11/2005,MP1,BTLH,F,AHY,2005,"4.0g, LtTW r5r",,,,,,,,,,,,,,,,,,
5000-02820,6/1/2005,MP1,BTLH,F,AHY,2005,3.8g,6/5 3.6g,6/11 3.7g,7/17 4.3g E7,,,,,,,,,,,,,,,
5000-97060,5/14/2005,MCGC,BTLH,F,AHY,2005,5/14 n.w.,,,,,,,,,,,,,,,,,,
5000-97062,5/14/2005,MCGC,BTLH,F,AHY,2005,7/253.6g,7/29 3.4g,,,,,,,,,,,,,,,,,
5000-97064,5/14/2005,MCGC,BTLH,F,AHY,2005,5/16 3.9g E7,,,,,,,,,,,,,,,,,,
5000-97065,5/14/2005,MCGC,BTLH,M,AHY,2005,5/16 3.1g 4x,5/17 3.4g,6/18 3.2g,,,,,,,,,,,,,,,,
5000-97066,5/14/2005,MCGC,BTLH,M,AHY,2005,5/15 3.3g 2x,5/16 3.2g 4x,5/18 3.4g,,,,,,,,,,,,,,,,
5000-97067,5/14/2005,MCGC,BTLH,M,AHY,2005,5/15 3.5g 2x,5/16 3.4g 2x,5/17 3.4g,,,,,,,,,,,,,,,,
5000-97068,5/14/2005,MCGC,BTLH,M,AHY,2005,5/15 3.3g,,,,,,,,,,,,,,,,,,
5000-97070,5/15/2005,MCGC,BTLH,M,AHY,2005,5/16 3.1g 4x,,,,,,,,,,,,,,,,,,
5000-97072,5/15/2005,MCGC,BTLH,M,AHY,2005,5/16 3.2g 3x,5/17 3.3g,5/17 3.4g,5/18 3.4g,5/19 3.3g 3x,6/13 3.3g,,,,,,,,,,,,,
5000-97076,5/16/2005,MCGC,BTLH,M,AHY,2005,5/16 3.3g,,,,,,,,,,,,,,,,,,
5000-97081,5/16/2005,MCGC,BTLH,F,AHY,2005,6/25 at CC2,,,,,,,,,,,,,,,,,,
5000-97083,5/17/2005,MCGC,BTLH,M,AHY,2005,5/17 3.6g,,,,,,,,,,,,,,,,,,
5000-97086,5/17/2005,MCGC,BTLH,M,AHY,2005,5/19 3.2g,,,,,,,,,,,,,,,,,,
5000-97087,5/17/2005,MCGC,BTLH,M,AHY,2005,5/19 3.3g,,,,,,,,,,,,,,,,,,
5000-97088,5/18/2005,MP1,BTLH,F,AHY,2005,6/3 3.6g,6/5 3.6g,"4.2g skel r1, HTW",,,,,,,,,,,,,,,,
5000-97089,5/18/2005,MP1,BTLH,F,AHY,2005,"6/3, 3.3g",,,,,,,,,,,,,,,,,,
5000-97090,5/18/2005,MP1,BTLH,F,AHY,2005,5/31 3.8g E8,,,,,,,,,,,,,,,,,,
5000-97092,5/18/2005,MP1,BTLH,M,AHY,2005,5/24 3.3g,6/2 3.3g,,,,,,,,,,,,,,,,,
5000-97094,5/18/2005,MP1,BTLH,F,AHY,2005,5/26 3.1g,,,,,,,,,,,,,,,,,,
5000-97095,5/18/2005,MP1,BTLH,F,AHY,2005,5/23 3.5g,6/2 3.9g,6/4 3.1g,,,,,,,,,,,,,,,,
5000-97096,5/18/2005,MP1,BTLH,F,AHY,2005,6/2 3.4g,6/4 3.2g,,,,,,,,,,,,,,,,,
5000-97099,5/18/2005,MP1,BTLH,F,AHY,2005,5/31 3.5g,6/11 3.1g,8/25 3.4g HTW,,,,,,,,,,,,,,,,
6000-23402,5/18/2005,MP1,BTLH,F,AHY,2005,/31 3.4g r4LtT,6/12 3.4g,g E7 spider web on toes,,,,,,,,,,,,,,,,
6000-23405,5/19/2005,MCGC,BTLH,M,AHY,2005,5/19 nw,6/12 3.4g,,,,,,,,,,,,,,,,,
