Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Recapture 18,Comments
5000-96942,8/21/2004,MP1,BTLH,F,AHY,2006,8/25 3.7g,,,,,,,,,,,,,,,,,,"HTW, captured with E12354 HY"
5000-96951,8/21/2004,MP1,BTLH,F,AHY,2006,6/9 3.8g E7+,,,,,,,,,,,,,,,,,,
5000-96954,8/21/2004,MP1,BTLH,F,AHY,2006,6/13 4.1g,,,,,,,,,,,,,,,,,,
5000-96955,8/21/2004,MP1,BTLH,F,AHY,2006,6/9 3.6g,,,,,,,,,,,,,,,,,,
5000-96960,8/22/2004,MCGC,BTLH,F,AHY,2006,6/6 3.4g,,,,,,,,,,,,,,,,,,
5000-96967,8/22/2004,GNMTN,BTLH,F,AHY,2006,6/24 3.6g,6/30 3.6g E6,7/14 3.8g,,,,,,,,,,,,,,,,LTW
5000-96988,8/25/2004,MP1,BTLH,F,HY,2006,8/3 3.5g,,,,,,,,,,,,,,,,,,
5000-96989,8/25/2004,MP1,BTLH,F,AHY,2006,8/23 3.8g,,,,,,,,,,,,,,,,,,HTW
5000-97059,5/14/2005,MCGC,BTLH,F,AHY,2006,7/31 4.0g,8/13 3.5g,8/19 3.8g,8/26 3.5g,,,,,,,,,,,,,,,HTW
5000-97062,5/14/2005,MCGC,BTLH,F,AHY,2006,7/4 3.6g,7/16 3.8g,7/31 3.5g at CC2,,,,,,,,,,,,,,,,
5000-97071,5/15/2005,MCGC,BTLH,F,AHY,2006,9/4 3.5g at CC2,,,,,,,,,,,,,,,,,,LTW
5000-97074,5/16/2005,MCGC,BTLH,M,AHY,2006,"5/14, 3.5g",,,,,,,,,,,,,,,,,,
5000-97079,5/16/2005,MCGC,BTLH,M,AHY,2006,6/16 3.1g,6/18 3.1g,,,,,,,,,,,,,,,,,
5000-97095,5/18/2005,MP1,BTLH,F,AHY,2006,"5/21, 3.8g E7",,,,,,,,,,,,,,,,,,
5000-97098,5/18/2005,MP1,BTLH,F,AHY,2006,"5/13, 3.5 g.",,,,,,,,,,,,,,,,,,
5000-97099,5/18/2005,MP1,BTLH,F,AHY,2006,7/12 3.2g,,,,,,,,,,,,,,,,,,HTW
6000-23402,5/18/2005,MP1,BTLH,F,AHY,2006,7/6 3.6g,,,,,,,,,,,,,,,,,,
6000-23412,5/24/2005,MP1,BTLH,F,AHY,2006,"5/21, 3.3g p9*",7/6 3.6g,,,,,,,,,,,,,,,,,
6000-23432,5/25/2005,MP1,BTLH,F,AHY,2006,"5/21, 3.8 g",,,,,,,,,,,,,,,,,,
6000-23441,5/25/2005,MP1,BTLH,F,AHY,2006,6/3 3.9g E6,,,,,,,,,,,,,,,,,,
6000-23446,5/26/2005,MP1,BTLH,F,AHY,2006,"5/18, 3.8 g E7","5/20, 4.2g E9+",6/13 3.5g,6/23 3.4g,,,,,,,,,,,,,,,
6000-23447,5/26/2005,MP1,BTLH,F,AHY,2006,"5/21, 3.9g. E8",,,,,,,,,,,,,,,,,,
6000-23448,5/26/2005,MP1,BTLH,F,AHY,2006,"5/20, 3.7g E8",,,,,,,,,,,,,,,,,,
6000-23452,6/4/2005,MCGC,BTLH,M,AHY,2006,"5/13, 3.5 g.",,,,,,,,,,,,,,,,,,
6000-23453,6/4/2005,MCGC,BTLH,M,AHY,2006,6/26 2.9g,,,,,,,,,,,,,,,,,,
6000-23459,6/12/2005,MCGC,BTLH,M,AHY,2006,6/2 3.3g,,,,,,,,,,,,,,,,,,
6000-23460,6/12/2005,MCGC,BTLH,M,AHY,2006,6/2 3.2g,,,,,,,,,,,,,,,,,,
6000-23464,5/31/2005,MP1,BTLH,F,AHY,2006,6/23 3.7g,,,,,,,,,,,,,,,,,,
6000-23467,5/31/2005,MP1,BTLH,F,AHY,2006,6/3 4.3g E9,,,,,,,,,,,,,,,,,,
6000-23468,5/31/2005,MP1,BTLH,F,AHY,2006,6/13 3.6g,,,,,,,,,,,,,,,,,,
6000-23481,6/1/2005,MP1,BTLH,F,AHY,2006,5/30 3.3g,,,,,,,,,,,,,,,,,,
6000-23482,6/1/2005,MP1,BTLH,F,AHY,2006,8/3 3.5g,8/25 3.5g,,,,,,,,,,,,,,,,,LTW
6000-23489,6/1/2005,MP1,BTLH,F,AHY,2006,6/4 3.6g,,,,,,,,,,,,,,,,,,
6000-23497,6/3/2005,MP1,BTLH,F,AHY,2006,6/9 3.8g E7,,,,,,,,,,,,,,,,,,
6000-23505,6/4/2005,MP1,BTLH,F,AHY,2006,6/3 3.8g E8,,,,,,,,,,,,,,,,,,
6000-23507,6/4/2005,MP1,BTLH,F,AHY,2006,7/6 n.w.,,,,,,,,,,,,,,,,,,
6000-23513,6/5/2005,MP1,BTLH,F,AHY,2006,7/63.3g,,,,,,,,,,,,,,,,,,
6000-23518,6/10/2005,MCGC,BTLH,F,AHY,2006,7/27 3.9g,,,,,,,,,,,,,,,,,,HTW
6000-23528,6/11/2005,MP1,BTLH,F,AHY,2006,6/4 3.9g E9,,,,,,,,,,,,,,,,,,
6000-23529,6/11/2005,MP1,BTLH,F,AHY,2006,6/3 3.7g E6,,,,,,,,,,,,,,,,,,
6000-23531,6/12/2005,MP1,BTLH,F,AHY,2006,6/23 4.1g,,,,,,,,,,,,,,,,,,within
6000-23532,6/12/2005,MP1,BTLH,F,AHY,2006,6/23 3.7g,,,,,,,,,,,,,,,,,,6 minutes
6000-23535,6/12/2005,MP1,BTLH,F,AHY,2006,6/13 3.9g E7,,,,,,,,,,,,,,,,,,
6000-23538,6/12/2005,MCGC,BTLH,F,AHY,2006,6/26 3.5g,,,,,,,,,,,,,,,,,,
6000-23540,6/13/2005,MCGC,BTLH,F,AHY,2006,6/16 3.6g,7/7 3.1g,7/16 3.2g,,,,,,,,,,,,,,,,
6000-23541,6/13/2005,MCGC,BTLH,M,AHY,2006,"5/12, 3.4g",,,,,,,,,,,,,,,,,,
6000-23542,6/13/2005,MCGC,BTLH,M,AHY,2006,6/4 3.4g,,,,,,,,,,,,,,,,,,
6000-23551,6/13/2005,MCGC,BTLH,F,AHY,2006,5/30 3.6g,,,,,,,,,,,,,,,,,,
6000-23561,6/13/2005,MP1,BTLH,F,AHY,2006,8/25 3.3g ,,,,,,,,,,,,,,,,,,HTW
6000-23574,6/18/2005,MP1,BTLH,F,AHY,2006,"5/17, 3.3 g.",,,,,,,,,,,,,,,,,,
6000-23577,6/19/2005,MP1,BTLH,F,AHY,2006,6/4 3.7g E6-,6/13 3.7g,,,,,,,,,,,,,,,,,
6000-23582,6/19/2005,MP1,BTLH,F,AHY,2006,6/12 3.4g,,,,,,,,,,,,,,,,,,
6000-23594,6/25/2005,MP1,BTLH,F,AHY,2006,"5/26, 3.8g E8",,,,,,,,,,,,,,,,,,
6000-23599,6/25/2005,MP1,BTLH,F,AHY,2006,6/13 3.8g,,,,,,,,,,,,,,,,,,Captured w/C81041
6000-23604,6/27/2005,GNMTN,BTLH,M,AHY,2006,6/17 3.1g,,,,,,,,,,,,,,,,,,
6000-23608,6/30/2005,MCGC,BTLH,M,AHY,2006,6/22 3.2g,,,,,,,,,,,,,,,,,,
6000-23610,7/1/2005,KV1,BTLH,M,AHY,2006,6/30 3.5g,,,,,,,,,,,,,,,,,,
6000-23631,6/27/2005,KV1,BTLH,F,AHY,2006,6/8 3.4g,6/30 3.6g,,,,,,,,,,,,,,,,,Banded 1 min apart
6000-23632,6/27/2005,KV1,BTLH,F,AHY,2006,6/24 4.4g E9,6/30 3.8g,,,,,,,,,,,,,,,,,Recaptured 3 min apart
6000-23633,6/27/2005,KV1,BTLH,F,AHY,2006,6/8 3.4g,,,,,,,,,,,,,,,,,,
6000-23635,6/27/2005,KV1,BTLH,F,AHY,2006,6/17 3.5g E6,,,,,,,,,,,,,,,,,,
6000-23636,6/27/2005,KV1,BTLH,F,AHY,2006,6/17 3.7g,,,,,,,,,,,,,,,,,,
6000-23641,6/27/2005,GNMTN,BTLH,F,AHY,2006,7/14 3.9g,,,,,,,,,,,,,,,,,,
6000-23644,6/27/2005,GNMTN,BTLH,F,AHY,2006,7/14 3.6g,,,,,,,,,,,,,,,,,,"NTW. During feeding prior to release, she aspirated sugar water and died"
6000-23645,6/27/2005,GNMTN,BTLH,F,AHY,2006,6/17 3.4g,,,,,,,,,,,,,,,,,,
6000-23646,6/27/2005,GNMTN,BTLH,F,AHY,2006,7/4 3.3g,7/25 3.9g,,,,,,,,,,,,,,,,,LTW
6000-23648,6/27/2005,GNMTN,BTLH,F,AHY,2006,6/7 3.6g,,,,,,,,,,,,,,,,,,
6000-23651,6/28/2005,MCGC,BTLH,F,AHY,2006,6/25 3.5g,7/4 3.5g,7/31 3.6g,,,,,,,,,,,,,,,,
6000-23653,6/29/2005,MP1,BTLH,F,AHY,2006,7/6 3.7g,,,,,,,,,,,,,,,,,,HTW
6000-23663,7/1/2005,KV1,BTLH,F,AHY,2006,6/17 3.4g,7/25 3.4g,,,,,,,,,,,,,,,,,
6000-23665,7/1/2005,KV1,BTLH,F,AHY,2006,6/17 4.1g E8+,6/30 3.4g,,,,,,,,,,,,,,,,,
6000-23666,7/1/2005,KV1,BTLH,F,AHY,2006,6/30 3.6g,,,,,,,,,,,,,,,,,,
6000-23667,7/1/2005,KV1,BTLH,F,AHY,2006,6/8 3.9g,,,,,,,,,,,,,,,,,,
6000-23671,7/1/2005,KV1,BTLH,F,AHY,2006,61/7 3.6g E6,,,,,,,,,,,,,,,,,,
6000-23675,7/1/2005,GNMTN,BTLH,F,AHY,2006,7/14 3.2g at HOLZ,,,,,,,,,,,,,,,,,,
6000-23679,7/7/2005,MCGC,BTLH,F,AHY,2006,6/13 3.5g,,,,,,,,,,,,,,,,,,
6000-23694,7/8/2005,MCGC,BTLH,f,AHY,2006,5/18 3.7g,6/2 3.7g 2x,6/3 3.6g 2x,6/5 4.0g,6/6 3.7g,6/7 3.4g,6/8 3.4g,6/16 3.6g,,,,,,,,,,,
6000-23699,7/9/2005,KV1,BTLH,F,AHY,2006,6/24 3.5g,,,,,,,,,,,,,,,,,,
6000-23700,7/9/2005,KV1,BTLH,F,AHY,2006,7/25 3.7g,,,,,,,,,,,,,,,,,,
6000-23714,7/8/2005,MCGC,BTLH,M,AHY,2006,6/5 3.7g,6/7 3.3g,,,,,,,,,,,,,,,,,
6000-23724,7/9/2005,GNMTN,BTLH,F,AHY,2006,6/17 3.7g E6 2x,7/14 3.8g,,,,,,,,,,,,,,,,,
6000-23725,7/9/2005,GNMTN,BTLH,F,AHY,2006,6/30 3.7g E6-,7/14 3.6g,7/25 3.5g,8/2 3.7g,,,,,,,,,,,,,,,
6000-23730,7/9/2005,GNMTN,BTLH,F,AHY,2006,6/17 3.5g E6,,,,,,,,,,,,,,,,,,
6000-23731,7/9/2005,GNMTN,BTLH,F,AHY,2006,6/24 3.8g,,,,,,,,,,,,,,,,,,
6000-23736,7/10/2005,MCGC,BTLH,F,AHY,2006,6/18 3.7g E6,,,,,,,,,,,,,,,,,,
6000-23738,7/10/2005,MCGC,BTLH,F,AHY,2006,6/2 3.2g,6/9 3.4g,6/25 3.3g,,,,,,,,,,,,,,,,
6000-23740,7/10/2005,MCGC,BTLH,F,AHY,2006,7/7 3.5g,7/21 3.5g,,,,,,,,,,,,,,,,,
6000-23742,7/11/2005,MCGC,BTLH,F,AHY,2006,6/5 3.9g,,,,,,,,,,,,,,,,,,
6000-23745,7/11/2005,MCGC,BTLH,F,AHY,2006,6/18 3.5g,,,,,,,,,,,,,,,,,,
6000-23755,7/11/2005,MP1,BTLH,F,AHY,2006,6/4 3.7g,,,,,,,,,,,,,,,,,,
6000-23757,7/11/2005,MP1,BTLH,F,AHY,2006,6/9 3.4g,,,,,,,,,,,,,,,,,,
6000-23761,7/12/2005,MCGC,BTLH,F,AHY,2006,6/15 3.5g,,,,,,,,,,,,,,,,,,
6000-23762,7/12/2005,MCGC,BTLH,F,AHY,2006,7/5 4.2g,7/6 3.4g,,,,,,,,,,,,,,,,,MTW
6000-23764,7/12/2005,MCGC,BTLH,F,AHY,2006,7/24 3.7g,,,,,,,,,,,,,,,,,,
6000-23769,7/12/2005,MCGC,BTLH,F,AHY,2006,6/5 3.5g,,,,,,,,,,,,,,,,,,
6000-23770,7/12/2005,MCGC,BTLH,F,AHY,2006,7/4 3.7g E7,7/5 3.6g,7/7 3.4g,7/13 3.6g,,,,,,,,,,,,,,,
6000-23772,7/10/2005,MCGC,BTLH,M,AHY,2006,"5/9, 3.3 g.","5/13, 3.1g.",6/25 3.1g,,,,,,,,,,,,,,,,
6000-23780,7/11/2005,MCGC,BTLH,M,AHY,2006,5/29 3.4g,,,,,,,,,,,,,,,,,,
6000-23784,7/11/2005,MCGC,BTLH,M,AHY,2006,6/5 3.2g,,,,,,,,,,,,,,,,,,
6000-23792,7/13/2005,MCGC,BTLH,F,AHY,2006,6/22 3.8g,6/26 3.4g,,,,,,,,,,,,,,,,,
6000-23801,7/14/2005,MCGC,BTLH,F,AHY,2006,7/4 3.7g E7,7/7 3.6g E8,7/13 3.3g,,,,,,,,,,,,,,,,HTW
6000-23804,7/14/2005,MCGC,BTLH,F,AHY,2006,6/25 3.5g,,,,,,,,,,,,,,,,,,
6000-23815,7/18/2005,MCGC,BTLH,F,AHY,2006,6/2 3.6g,,,,,,,,,,,,,,,,,,
6000-23817,7/19/2005,MCGC,BTLH,F,AHY,2006,6/2 3.6g,7/7 3.5g,7/8 3.6g E8,7/31 3.8g,8/1 3.2g,8.10 3.3g,8/13 3.6g,8/28 3.6g MTW,,,,,,,,,,,
6000-23818,7/19/2005,MCGC,BTLH,F,AHY,2006,7/31 3.8g at CC2 ,,,,,,,,,,,,,,,,,,M-HTW
6000-23820,7/19/2005,MCGC,BTLH,F,AHY,2006,7/17 3.9g,8/3 3.9g,,,,,,,,,,,,,,,,,HTW
6000-23826,7/19/2005,MCGC,BTLH,F,AHY,2006,7/13 4.0g E6,,,,,,,,,,,,,,,,,,Band removed due to unknown leg injury. Band is correctly made
6000-23827,7/19/2005,MCGC,BTLH,F,HY,2006,5/29 3.6g,,,,,,,,,,,,,,,,,,
6000-23831,7/20/2005,KV1,BTLH,F,AHY,2006,6/7 3.7g E7,,,,,,,,,,,,,,,,,,
6000-23832,7/20/2005,KV1,BTLH,F,AHY,2006,6/24 3.3g,,,,,,,,,,,,,,,,,,
6000-23872,7/22/2005,MCGC,BTLH,M,AHY,2006,"5/9, 3.2g","5/13, 3.2 g.",6/4 3.1g,6/5 3.1g,7/7 3.3g,,,,,,,,,,,,,,
6000-23892,7/20/2005,KV1,BTLH,F,AHY,2006,6/24 3.4g,,,,,,,,,,,,,,,,,,
6000-23896,7/21/2005,MCGC,BTLH,F,AHY,2006,6/2 3.9g,,,,,,,,,,,,,,,,,,
6000-23898,7/22/2005,MCGC,BTLH,F,AHY,2006,7/17 4.1g,7/27 4.0g,8/8 3.3g,8/10 3.3g,8/12 3.5g,8/13 3.4g,8/21 3.4g,8/23 3.3g,8/26 3.7g,8/27 4.0g,8/31 3.4g,,,,,,,,
6000-23900,7/22/2005,MCGC,BTLH,F,AHY,2006,6/21 3.5g,,,,,,,,,,,,,,,,,,
6000-53502,7/22/2005,MCGC,BTLH,F,AHY,2006,6/8 4.1g E7,,,,,,,,,,,,,,,,,,
6000-53505,7/23/2005,MCGC,BTLH,F,AHY,2006,7/13 3.5g,7/16 3.8g,7/27 4.5g,7/28 3.4g,,,,,,,,,,,,,,,
6000-53506,7/23/2005,MCGC,BTLH,F,AHY,2006,6/25 3.5g,,,,,,,,,,,,,,,,,,
6000-53508,7/23/2005,MCGC,BTLH,F,AHY,2006,6/22 3.6g,,,,,,,,,,,,,,,,,,
