Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
9000-39250,06/05/07,MCGC,BTLH,F,AHY,2007,"6/7, 3.9g E6- 2X","6/8, 3.4g","6/9, 3.3g","6/18, 3.4g","6/19, 3.5g","6/23, 3.3g",6/30 3.7g E6,,,,,,,,,,,
9000-39251,06/05/07,MCGC,BTLH,F,AHY,2007,"6/12, 3.3g","6/30, 3.3g","7/14, 3.6g E6",,,,,,,,,,,,,,,
9000-39252,06/05/07,MCGC,BTLH,F,AHY,2007,"6/6, 3.5g E7","6/27, 3.7g E6 NTW",,,,,,,,,,,,,,,,
9000-39255,06/05/07,MP1,BTLH,F,AHY,2007,"6/12, n.w.",,,,,,,,,,,,,,,,,
9000-39256,06/05/07,MP1,BTLH,F,AHY,2007,"7/8, 3.6g",,,,,,,,,,,,,,,,,
9000-39258,06/05/07,MP1,BTLH,F,AHY,2007,"8/24, 3.6g",,,,,,,,,,,,,,,,,
9000-39262,06/06/07,MCGC,BTLH,F,AHY,2007,"8/9, 3.7g NTW",,,,,,,,,,,,,,,,,
9000-39263,06/06/07,MCGC,BTLH,F,AHY,2007,"6/9, 3.7g E6","7/19, 2X, 3.3-3.6g","7/20, 3.6g","7/27, 3.6g","7/30, 3.5g","8/8, 3.6g","8/12, 4.2g","8/14, 3.8g",,,,,,,,,,
9000-39264,06/06/07,MCGC,BTLH,F,AHY,2007,"7/8, 4.0g",,,,,,,,,,,,,,,,,
9000-39266,06/06/07,MCGC,BTLH,F,AHY,2007,"6/9, 3.7g E7",,,,,,,,,,,,,,,,,
9000-39267,06/07/07,MCGC,BTLH,F,AHY,2007,"7/18, 4.1g",,,,,,,,,,,,,,,,,
9000-39269,06/07/07,MCGC,BTLH,F,AHY,2007,"6/12, 3.7g E6","6/14, 3.9g E6","6/21, 3.5g","7/2, 2X, 3.7 g NTW",,,,,,,,,,,,,,
9000-39271,07/05/07,CC3,BTLH,F,AHY,2007,"7/5, 3.4g at MCGC ",,,,,,,,,,,,,,,,,
9000-39272,06/07/07,MCGC,BTLH,F,AHY,2007,"6/9, 3.2g",,,,,,,,,,,,,,,,,
9000-39274,06/08/07,MCGC,BTLH,F,AHY,2007,"6/21, 3.8g E8","6/27, 3.4g",,,,,,,,,,,,,,,,
9000-39275,06/08/07,MCGC,BTLH,F,AHY,2007,"6/9, 3.6g","6/12, 4.0g NTW",,,,,,,,,,,,,,,,
9000-39278,06/08/07,MP1,BTLH,F,AHY,2007,"7/16, 3.6g VLTW",,,,,,,,,,,,,,,,,
9000-39295,06/09/07,MCGC,BTLH,F,AHY,2007,"6/17, 3.4g, E6-","6/18, 3.3g","6/22, 3.4g","6/28, 4.2g NTW",,,,,,,,,,,,,,
9000-39296,06/09/07,MCGC,BTLH,F,AHY,2007,"7/9, 2X, 3.4-3.7g","7/30, 4.1g NTW",,,,,,,,,,,,,,,,
9000-39299,06/09/07,MP1,BTLH,F,AHY,2007,"6/12, 3.7g NTW",,,,,,,,,,,,,,,,,
9000-39302,06/09/07,MP1,BTLH,F,AHY,2007,"6/19, 4.1g E6",,,,,,,,,,,,,,,,,
9000-39303,06/09/07,MP1,BTLH,F,AHY,2007,"6/19, 3.4g E6-",,,,,,,,,,,,,,,,,
9000-39304,06/12/07,MCGC,BTLH,F,AHY,2007,"7/1, 4.0g","7/10, 4.1g","7/14, 3.4g","7/27, 3.9g","7/30, 4.2g HTW",,,,,,,,,,,,,
9000-39306,06/12/07,MCGC,BTLH,F,AHY,2007,"6/12, 3.5g","6/17, 3.5g","7/2, 3.5g","7/5, 3.5g",,,,,,,,,,,,,,
9000-39307,06/12/07,MCGC,BTLH,F,AHY,2007,"6/18, 3.5g","6/21, 3.3g","6/27,3.8g","7/5, 3X, 3.6-4.2g","7/9, 3.4g","7/14, 3.5g","7/18, n.w.","7/23, 3.7g","7/30, 4.1g M-HTW",,,,,,,,,
9000-39308,06/12/07,MCGC,BTLH,F,AHY,2007,"6/14, 2X, 3.4g",,,,,,,,,,,,,,,,,
9000-39332,06/13/07,KV1,BTLH,F,AHY,2007,"6/29, 3.5g",,,,,,,,,,,,,,,,,
9000-39339,06/13/07,GNMTN,BTLH,F,AHY,2007,"7/24, 3.5g HTW",,,,,,,,,,,,,,,,,
9000-39340,06/13/07,GNMTN,BTLH,F,AHY,2007,"6/29, 3.6g, E6",,,,,,,,,,,,,,,,,
9000-39341,06/13/07,GNMTN,BTLH,F,AHY,2007,"7/13, again",,,,,,,,,,,,,,,,,
9000-39342,06/13/07,GNMTN,BTLH,F,AHY,2007,"7/6, 3.5g E7",,,,,,,,,,,,,,,,,
9000-39343,06/13/07,GNMTN,BTLH,F,AHY,2007,"6/20, 3.4g","8/1, 4.1g NTW",,,,,,,,,,,,,,,,
9000-39344,06/13/07,GNMTN,BTLH,F,AHY,2007,"7/6, 3.4g LTW",,,,,,,,,,,,,,,,,
9000-39345,06/13/07,GNMTN,BTLH,F,AHY,2007,"6/20, 3.4g LTW",,,,,,,,,,,,,,,,,
9000-39349,06/13/07,GNMTN,BTLH,F,AHY,2007,"6/20, 3.6g E6","8/1, 4.4g NTW",,,,,,,,,,,,,,,,
9000-39352,06/14/07,MCGC,BTLH,F,AHY,2007,"6/17, 3.4g, E6-","6/18, 3.4g","6/30, n.w.","7/1, 3.3g","7/2, 2x, 3.4g",,,,,,,,,,,,,
9000-39353,06/14/07,MCGC,BTLH,F,AHY,2007,"6/14, 3.8g","7/17, 4.1g","7/30, 4.0g","8/7, 4.3g MTW",,,,,,,,,,,,,,
9000-39355,06/14/07,MCGC,BTLH,F,AHY,2007,"6/17, 3.8g","6/27, 3.7g E6","6/30, 4.1g E6-","7/5, 3.7g","7/9, 3.8g NTW",,,,,,,,,,,,,
9000-39356,06/14/07,MCGC,BTLH,F,AHY,2007,"7/10, 3.8g","7/14, 3.7g","7/27,3.9g","7/30, 3.8g","8/2, 3.9g","8/14, 4.4g NTW",,,,,,,,,,,,
9000-39357,06/14/07,MCGC,BTLH,F,AHY,2007,"6/27, 3.7g","7/1, 3.8g","7/14, 4.4g L-MTW",,,,,,,,,,,,,,,
