Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments,
6000-80944,06/03/2006,MCGC,BTLH,F,AHY,2008,"7/8, n.w .",,,,,,,,,,,,,,,,,,
6000-80950,06/03/2006,MP1,BTLH,F,AHY,2008,"6/16, 3.8g E6",,,,,,,,,,,,,,,,,,
6000-80951,06/03/2006,MP1,BTLH,F,AHY,2008,"6/16, 3.4g",,,,,,,,,,,,,,,,,,
6000-80954,06/04/2006,MCGC,BTLH,F,AHY,2008,"6/17, 3.5g","7/11, 3.4g","7/17, 3.3g","7/30, 3.9g htw","8/16, 3.6g htw","8/24, 3.6g htw",,,,,,,,,,,,,
6000-80978*,06/06/2006,MCGC,BTLH,F,AHY,2008,"6/17, 3.3g","6/19, 3.4g",,,,,,,,,,,,,,,,*New  E90273,
6000-80992,06/07/2006,MP1,BTLH,F,AHY,2008,"7/2, n.w .",,,,,,,,,,,,,,,,,,
6000-81038,06/13/2006,MP1,BTLH,F,AHY,2008,"6/2, 3.9g E7","6/3, 4.4g E9",,,,,,,,,,,,,,,,,
6000-81040,06/13/2006,MP1,BTLH,F,AHY,2008,"6/24, 3.6g",,,,,,,,,,,,,,,,,,
6000-81041,06/13/2006,MP1,BTLH,F,AHY,2008,"6/17, 3.7g at HPK1",,,,,,,,,,,,,,,,,,
6000-81044,06/14/2006,MCGC,BTLH,F,AHY,2008,"7/17, 3.6g","7/29, 3.3g vhtw","8/16, 3.6g","8/22, 3.3g","8/24, 3.3g","8/25, 3.0g vhtw",,,,,,,,,,,,,
6000-81052,06/15/2006,MCGC,BTLH,F,AHY,2008,"6/11, 3.5g","6/16, 3.4g","6/29, 3.5g",,,,,,,,,,,,,,,,
6000-81057,06/16/2006,MCGC,BTLH,F,AHY,2008,"6/16, 3.6g E6",,,,,,,,,,,,,,,,,,
6000-81059,06/16/2006,MCGC,BTLH,F,AHY,2008,"6/17, 3.9g",,,,,,,,,,,,,,,,,,
6000-81066,06/17/2006,GNMTN,BTLH,F,AHY,2008,"6/7, 4.0g E8","7/31, 3.6g",,,,,,,,,,,,,,,,,
9000-11812,06/13/2006,MCGC,BTLH,M,AHY,2008,"7/11, 3.7g",,,,,,,,,,,,,,,,,,
9000-11833,06/18/2006,MCGC,BTLH,M,AHY,2008,"6/18, 3.3g",,,,,,,,,,,,,,,,,,
9000-11843,06/23/2006,MCGC,BTLH,M,AHY,2008,"7/9, 3.2g",,,,,,,,,,,,,,,,,,
9000-11854,06/25/2006,MCGC,BTLH,M,AHY,2008,"6/16, 3.3g",,,,,,,,,,,,,,,,,,
9000-11881,07/07/2006,MCGC,BTLH,M,AHY,2008,"6/23, 3.3g",,,,,,,,,,,,,,,,,,
9000-11883,07/07/2006,MCGC,BTLH,M,AHY,2008,"5/12, 3.4g 2x","6/23, 3.0g",,,,,,,,,,,,,,,,,
9000-11902,06/24/2006,KV1,BTLH,F,AHY,2008,"6/7, 3.5g",,,,,,,,,,,,,,,,,,
9000-11910,06/24/2006,GNMTN,BTLH,F,AHY,2008,"6/7, 4.1g E8",,,,,,,,,,,,,,,,,,
9000-11917,06/25/2006,MCGC,BTLH,F,AHY,2008,"6/18, 3.5g","6/23, 3.7g","7/3, 3.4g","7/14, 3.2g","7/30, 4.0g ltw",,,,,,,,,,,,,*New  E91152,
9000-11921,06/26/2006,MCGC,BTLH,F,AHY,2008,"6/16, 3.8g E8","7/14, 3.3g","7/18, 3.5g","7/20, 3.6g m-htw","8/16, 3.6g htw",,,,,,,,,,,,,,
9000-11925,06/26/2006,MCGC,BTLH,F,AHY,2008,"6/23, 3.7g",,,,,,,,,,,,,,,,,,
9000-11935,06/30/2006,HOLZ,BTLH,F,AHY,2008,"6/7, 4.2g E8+","6/14, 4.3g","7/5, 3.8g","7/12, 3.6g",,,,,,,,,,,,,,,
9000-11936,06/30/2006,KV1,BTLH,F,AHY,2008,"6/28, 3.5g",,,,,,,,,,,,,,,,,,
9000-11950,06/30/2006,GNMTN,BTLH,F,AHY,2008,"7/18, 4.2g htw",,,,,,,,,,,,,,,,,,
9000-11985*,07/04/2006,MCGC,BTLH,F,AHY,2008,"7/17, 4.1g 2x","7/22, 3.7g ntw","7/24, 4.1g","8/16, 3.6g","8/17, 3.5g","8/22, 3.7g","8/30, 4.3g at CC2",,,,,,,,,,,*New  H41493,
9000-11994*,07/04/2006,MCGC,BTLH,F,AHY,2008,7/20 n.w .,"8/4, 4.7g ntw",,,,,,,,,,,,,,,,*New  E90668,
9000-11996,07/04/2006,MCGC,BTLH,F,AHY,2008,"7/2, 3.4g","7/22, 3.5g",,,,,,,,,,,,,,,,,
9000-12001,07/06/2006,MCGC,BTLH,F,AHY,2008,"7/18, 3.5g","8/7, 3.1g","8/20, 3.3g ntw",,,,,,,,,,,,,,,,
9000-12008,07/07/2006,MP1,BTLH,F,AHY,2008,"7/9, 4.0g E8",,,,,,,,,,,,,,,,,,
9000-12010,07/07/2006,MCGC,BTLH,F,AHY,2008,"8/10, 4.2g vltw, with E91396 HY",,,,,,,,,,,,,,,,,,
9000-12013,07/07/2006,MCGC,BTLH,F,AHY,2008,"8/13, 3.2g ltw",,,,,,,,,,,,,,,,,,
9000-12019,07/08/2006,MCGC,BTLH,F,AHY,2008,"6/18, 3.5g","7/17, 3.6g","7/24, 3.7g ntw",,,,,,,,,,,,,,,,
9000-12025,07/12/2006,MP1,BTLH,F,AHY,2008,"7/20, 3.8g",,,,,,,,,,,,,,,,,,
9000-12040,07/13/2006,MCGC,BTLH,F,AHY,2008,"7/11, 3.7g","7/21, 3.6g ntw",,,,,,,,,,,,,,,,,
9000-12042,07/14/2006,HOLZ,BTLH,F,AHY,2008,"6/14, 4.0g E8 2x","6/21, 3.7g",,,,,,,,,,,,,,,,,
9000-12045,07/14/2006,HOLZ,BTLH,F,AHY,2008,"6/7, 3.2g","7/12, 3.9g E9","7/31, 3.5g mtw",,,,,,,,,,,,,,,,
9000-12112,07/19/2006,MCGC,BTLH,F,AHY,2008,"6/23, 3.6g 2x","6/28, 3.3g E6","7/3, 3.5g","7/10, 3.5g","8/7, 3.4g ntw",,,,,,,,,,,,,,
9000-12128,07/19/2006,MP1,BTLH,F,AHY,2008,"5/31, 3.8g",,,,,,,,,,,,,,,,,,
9000-12130,07/19/2006,MP1,BTLH,F,AHY,2008,"6/16, 3.6g",,,,,,,,,,,,,,,,,,
9000-12136,07/19/2006,MP1,BTLH,F,AHY,2008,"6/4, 3.4g",,,,,,,,,,,,,,,,,,
9000-12145,07/20/2006,CC2,BTLH,F,AHY,2008,"6/24, 3.8g E6 at MCGC","7/3, 3.9g at MCGC ","7/11, 3.7g at MCGC",,,,,,,,,,,,,,,,
9000-12150,07/21/2006,MCGC,BTLH,F,AHY,2008,"6/23, 3.6g","7/18, 3.4g",,,,,,,,,,,,,,,,,
9000-12162,07/25/2006,GNMTN,BTLH,F,AHY,2008,"7/13, 3.1g",,,,,,,,,,,,,,,,,,
9000-12170,07/26/2006,MCGC,BTLH,F,AHY,2008,"6/24, 3.6g","7/1, 3.5g E6-","7/11, 3.9g 2x","7/17, 4.1g",,,,,,,,,,,,,,6/24 nest material on bill,
9000-12261,07/28/2006,MCGC,BTLH,M,HY,2008,"5/16, 3.2g",,,,,,,,,,,,,,,,,,
9000-12267,07/31/2006,MCGC,BTLH,F,AHY,2008,"8/17, 3.7g ltw",,,,,,,,,,,,,,,,,,
9000-12270,07/31/2006,MCGC,BTLH,F,AHY,2008,"6/28, 4.1g E7","7/1, 3.2g","7/24, n.w .",,,,,,,,,,,,,,,,
9000-12279,08/01/2006,MP1,BTLH,F,HY,2008,"6/16, 3.2g, male",,,,,,,,,,,,,,,,,,
