Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments,
9000-90174,06/14/2008,KV1,BTLH,F,AHY,2008,"6/28, 3.5g at GNMTN",,,,,,,,,,,,,,,,,,
9000-90175,07/04/2008,MCGC,BTLH,M,AHY,2008,"7/9, 3.2g","7/11, 3.5g 2x","8/14, 3.7g","8/22, 3.8g",,,,,,,,,,,,,,,
9000-90177,06/14/2008,KV1,BTLH,F,AHY,2008,"7/13, 3.1g",,,,,,,,,,,,,,,,,,
9000-90179,06/14/2008,GNMTN,BTLH,F,AHY,2008,"8/6, 4.2g mtw",,,,,,,,,,,,,,,,,,
9000-90182,06/14/2008,GNMTN,BTLH,F,AHY,2008,"6/21, 3.5g","7/5, 3.4g",,,,,,,,,,,,,,,,,
9000-90187,06/14/2008,GNMTN,BTLH,F,AHY,2008,"7/18, 3.7g",,,,,,,,,,,,,,,,,,
9000-90189,06/14/2008,HOLZ,BTLH,F,AHY,2008,"7/18, 3.6g","8/6, 3.4g ntw",,,,,,,,,,,,,,,,,
9000-90190,06/14/2008,HOLZ,BTLH,F,AHY,2008,"6/14, again",,,,,,,,,,,,,,,,,,
9000-90192,06/14/2008,HOLZ,BTLH,F,AHY,2008,"6/21, 4.1g, E8","7/5, 3.8g",,,,,,,,,,,,,,,,,
9000-90193,06/14/2008,HOLZ,BTLH,F,AHY,2008,"7/12, 3.5g","7/31, 3.6g","8/6, 3.7g m-htw",,,,,,,,,,,,,,,,
9000-90195,06/16/2008,MCGC,BTLH,F,AHY,2008,"7/1, 3.1g","7/10, n.w .",,,,,,,,,,,,,,,,,
9000-90196,06/16/2008,MCGC,BTLH,F,AHY,2008,"7.3, 3,5g","7/8, 3.8g",,,,,,,,,,,,,,,,,
9000-90212,06/11/2008,MP1,BTLH,F,AHY,2008,"6/11, again","6/16, 3.8g E8",,,,,,,,,,,,,,,,,
9000-90213,06/16/2008,MCGC,BTLH,F,AHY,2008,"6/23, 3.9g E7","6/28, 3.6g","7/1, 3.4g","7/2g, 3.6g","7/4, 3.9g","7/5, 3.4g","7/8, 3.6g","7/10, 3.7g",,,,,,,,,,,
9000-90214,06/16/2008,MCGC,BTLH,F,AHY,2008,"6/18, 3.4g","6/19, 3.4g",,,,,,,,,,,,,,,,,
9000-90215,06/16/2008,MCGC,BTLH,F,AHY,2008,"6/16, again","6/23, 3.4g 2x",,,,,,,,,,,,,,,,,
9000-90225,06/16/2008,MP1,BTLH,F,AHY,2008,"6/16, again",,,,,,,,,,,,,,,,,,
9000-90229,06/16/2008,MP1,BTLH,F,AHY,2008,"8/25, 3.5g ltw  at HPK1",,,,,,,,,,,,,,,,,,
9000-90232,06/16/2008,MP1,BTLH,F,AHY,2008,"6/17, 3.8g",,,,,,,,,,,,,,,,,,
9000-90239,06/17/2008,HPK1,BTLH,F,AHY,2008,"8/13, 3.7g",,,,,,,,,,,,,,,,,,
9000-90256,06/18/2008,MCGC,BTLH,F,AHY,2008,"6/29, 3.5g","7/3, 3.7g","7/6, 3.9g","7/14, 3.4g",,,,,,,,,,,,,,,
9000-90259,06/18/2008,CC3,BTLH,F,AHY,2008,"6/29, 3.5g at MCGC","7/2, 4.1g at MCGC","7/16, 3.7g at MCGC",,,,,,,,,,,,,,,,
9000-90261,06/18/2008,CC3,BTLH,F,AHY,2008,"7/17, 4.2g at MCGC","7/25, 3.9g ltw  at MCGC",,,,,,,,,,,,,,,,,
9000-90266,06/19/2008,MCGC,BTLH,F,AHY,2008,"7/17, 3.7g 2x","8/1, 3.8g htw","8/3, n.w .","8/13, 3.3g captured w /HY","8/19, 3.7g htw",,,,,,,,,,,,,,
9000-90269,06/19/2008,MCGC,BTLH,F,AHY,2008,"8/3, 4.0g ntw","8/14, 3.4g ltw  2x w / HY E91094","8/16, 3.4g ltw",,,,,,,,,,,,,,,,
9000-90270,06/19/2008,MCGC,BTLH,F,AHY,2008,"7/10, n.w ","7/11, 4.4g E7","7/17, n.w .","7/18, 3.8g","7/29, 3.9g ltw , w /HY E91311",,,,,,,,,,,,,,
9000-90272,06/19/2008,MCGC,BTLH,F,AHY,2008,"7/10, 3.1g","7/11, 4.1g",,,,,,,,,,,,,,,,,
9000-90274,06/21/2008,KV1,BTLH,F,AHY,2008,"7/13, 3.6g",,,,,,,,,,,,,,,,,,
9000-90281,06/21/2008,KV1,BTLH,F,AHY,2008,"7/5, 3.4g",,,,,,,,,,,,,,,,,,
9000-90282,06/21/2008,KV1,BTLH,F,AHY,2008,"6/28, 3.6g E6-",,,,,,,,,,,,,,,,,"rt p9 broken at tip, 18mm<p10",
9000-90286,06/21/2008,GNMTN,BTLH,F,AHY,2008,"7/21, 3.5g",,,,,,,,,,,,,,,,,,
9000-90293,06/21/2008,GNMTN,BTLH,F,AHY,2008,"6/12, again","8/15, 4.6g, ltw",,,,,,,,,,,,,,,,,
9000-90294,06/21/2008,GNMTN,BTLH,F,AHY,2008,"7/18, 3.1g again",,,,,,,,,,,,,,,,,,
9000-90296,06/21/2008,GNMTN,BTLH,F,AHY,2008,"7/13, 3.6g","8/15, 4.0g",,,,,,,,,,,,,,,,,
9000-90299,06/21/2008,HOLZ,BTLH,F,AHY,2008,"7/12, 3.7g","7/31, 4.4g ltw","8/6, 4.4g ltw",,,,,,,,,,,,,,,,
9000-90300,06/21/2008,HOLZ,BTLH,F,AHY,2008,"7/5, 4.2g",,,,,,,,,,,,,,,,,,
9000-90301,06/17/2008,MCGC,BTLH,F,AHY,2008,"6/18, 3.7g",,,,,,,,,,,,,,,,,,
9000-90302,06/21/2008,HOLZ,BTLH,F,AHY,2008,"7/5, 4.4g","7/12, 3.8g","7/31, n.w ., htw",,,,,,,,,,,,,,,,
9000-90303,06/21/2008,HOLZ,BTLH,F,AHY,2008,"7/15, 4.0g E6-",,,,,,,,,,,,,,,,,,
9000-90304,06/21/2008,HOLZ,BTLH,F,AHY,2008,"7/18, 3.6g","7/18, 3.5g ntw",,,,,,,,,,,,,,,,,
9000-90305,06/21/2008,HOLZ,BTLH,F,AHY,2008,"8/6, 3.7g ntw","8/21, 3.7g htw",,,,,,,,,,,,,,,,,
9000-90307,06/21/2008,HOLZ,BTLH,F,AHY,2008,"7/5, 4.1g",,,,,,,,,,,,,,,,,,
9000-90309,06/23/2008,MCGC,BTLH,F,AHY,2008,"6/23, again 2x","7/6, 3.5g E8","7/8, 4.2g E8","7/9, 4.3g, E9+","7/10, 3.9g E8","7/11, 3.5g",,,,,,,,,,,,,
9000-90310,06/23/2008,MCGC,BTLH,F,AHY,2008,"8/3, 3.7g","8/4, 3.4g","8/7, 3.5g","8/16, 4.0g ntw",,,,,,,,,,,,,,,
9000-90313,06/23/2008,MCGC,BTLH,F,AHY,2008,"6/28, 3.9g",,,,,,,,,,,,,,,,,,
9000-90314,06/23/2008,MCGC,BTLH,F,AHY,2008,"6/29, 3.1g","7/1, 3.2g",,,,,,,,,,,,,,,,,
9000-90316,06/23/2008,MCGC,BTLH,F,AHY,2008,"7/2, 3.7g","7/3, 3.7g at CC2","7/6, n.w .",,,,,,,,,,,,,,,former E39250,
9000-90318,06/23/2008,MCGC,BTLH,F,AHY,2008,"6/24, 3.6g","7/3, 3.7g E6","7/14, 3.9g","8/3, 4.0g m-htw",,,,,,,,,,,,,,,
9000-90319,06/23/2008,MCGC,BTLH,F,AHY,2008,"7/17, n.w .","7/24, 3.7g mtw",,,,,,,,,,,,,,,,,
9000-90320,06/23/2008,MCGC,BTLH,F,AHY,2008,"6/24, 3.6g E8","7/6, 3.2g","7/11, 3.8g","7/21, 3.4g mt","7/30, 3.5g htw  at CC3",,,,,,,,,,,,,,
9000-90322,06/24/2008,MCGC,BTLH,F,AHY,2008,"7/1, 3.2g",,,,,,,,,,,,,,,,,,
9000-90323,06/24/2008,MCGC,BTLH,F,AHY,2008,"7/1, 3.5g E6-","7/8, 3.4g","7/9, 3.4g","7/18, 3.6g","8/17, 3.8g",,,,,,,,,,,,,,
9000-90326,06/24/2008,MCGC,BTLH,F,AHY,2008,"7/2, 3.6g",,,,,,,,,,,,,,,,,,
9000-90336,06/28/2008,MCGC,BTLH,F,AHY,2008,"7/2, 3.8g","7/3, 3.5g","7/11, 3.4g","7/21, 3.3g ltw  2x","7/22, 3.3g ntw","7/24, n.w .","7/25, 3.3g ltw",,,,,,,,,,,,
9000-90339,06/28/2008,MCGC,BTLH,F,AHY,2008,"6/28, 3.7g","7/18, 3.8g","7/20, 3.5gntw","7/22, 3.4g","8/2, 3.3g vltw","8/4, 3.5g","8/11, 3.3g","8/20, 3.4g",,,,,,,,,,,
9000-90342,06/28/2008,MCGC,BTLH,F,AHY,2008,"7/1, 3.5g E6-","7/20, 3.8g htw","8/3, 3.5g","8/4, 4.4g htw",,,,,,,,,,,,,,,
9000-90343,06/28/2008,MCGC,BTLH,F,AHY,2008,"7/1, 3.5g E6-","7/3, 3.3g","7/18, 3.7g","7/30, 3.4g m-htw","8/16, 3.3g",,,,,,,,,,,,,,
9000-90348,07/01/2008,MCGC,BTLH,F,AHY,2008,"7/6, 3.5g",,,,,,,,,,,,,,,,,,
9000-90349,07/01/2008,MCGC,BTLH,F,AHY,2008,"7/11, 3.7g",,,,,,,,,,,,,,,,,,
9000-90362,06/28/2008,HOLZ,BTLH,F,AHY,2008,"7/5, 3.9g","7/31, 4.2g, ntw",,,,,,,,,,,,,,,,,
9000-90364,06/28/2008,HOLZ,BTLH,F,AHY,2008,7/5g,3.7g E6,,,,,,,,,,,,,,,,,
9000-90376,06/29/2008,MCGC,BTLH,F,AHY,2008,"7/11, 3.7g",,,,,,,,,,,,,,,,,,
9000-90378,07/01/2008,MCGC,BTLH,F,AHY,2008,"8/11, 3.9g",,,,,,,,,,,,,,,,,,
9000-90379,07/01/2008,MCGC,BTLH,F,AHY,2008,"7/8, n.w . 2x","7/11, 3.5g 2x","7/14, 3.4g",,,,,,,,,,,,,,,,
9000-90380,07/01/2008,MCGC,BTLH,F,AHY,2008,"7/3, 3.9g","7/8, 3.6g","7/14, 4.1g","7/20, 3.7g ntw","7/22, 3.4g",,,,,,,,,,,,,,
9000-90381,07/01/2008,MCGC,BTLH,F,AHY,2008,"7/2, 3.4g","7/11, 3.9g","8/10, 3.4g",,,,,,,,,,,,,,,,
9000-90382,07/01/2008,MCGC,BTLH,F,AHY,2008,"7/8, n.w . E6",,,,,,,,,,,,,,,,,,
9000-90383,07/02/2008,MCGC,BTLH,F,AHY,2008,"7/14, n.w .",,,,,,,,,,,,,,,,,,
9000-90384,07/02/2008,MCGC,BTLH,F,AHY,2008,"7/20, 4.2g htw","7/21, 3.9g","7/24, n.w .",,,,,,,,,,,,,,,,
9000-90385,07/02/2008,MCGC,BTLH,F,AHY,2008,"7/6, 3.5g","7/14, 3.5g","7/17, 3.8g","7/19, 3.5g","7/26, 3.5g","8/2, 3.5g",,,,,,,,,,,,,
9000-90394,07/02/2008,MP1,BTLH,F,AHY,2008,"7/22, 3.3g",,,,,,,,,,,,,,,,,,
9000-90406,07/03/2008,MCGC,BTLH,F,AHY,2008,"7/11, 3.1g","7/17, 3.5g","7/21, 3.9g","7/25, 3.4g ntw",,,,,,,,,,,,,,,
9000-90407,07/03/2008,MCGC,BTLH,F,AHY,2008,"7/6, 3.2g","7/8, 3.4g","7/11, 3.5g","7/21, 3.6g","7/30, 4.0g ntw",,,,,,,,,,,,,,
9000-90410,07/03/2008,CC3,BTLH,F,AHY,2008,"7/6, 3.3g at MCGC","8/2, 4.1g ltw  at MCGC",,,,,,,,,,,,,,,,,
9000-90411,07/03/2008,CC2,BTLH,F,AHY,2008,"8/7, 3.8g at MCGC",,,,,,,,,,,,,,,,,,
9000-90423,07/04/2008,MCGC,BTLH,F,AHY,2008,"7/8, 3.3g","8/7, 3.6g htw",,,,,,,,,,,,,,,,,
9000-90426,07/05/2008,KV1,BTLH,F,AHY,2008,"7/13, 3.7g E8 at GNMTN",,,,,,,,,,,,,,,,,,
9000-90434,07/05/2008,GNMTN,BTLH,F,AHY,2008,"7/13, 3.5g",,,,,,,,,,,,,,,,,,
9000-90444,07/05/2008,HOLZ,BTLH,F,AHY,2008,"7/5, again",,,,,,,,,,,,,,,,,,
9000-90445,07/05/2008,HOLZ,BTLH,F,AHY,2008,"8/6, 3.8g ntw",,,,,,,,,,,,,,,,,,
9000-90446,07/05/2008,HOLZ,BTLH,F,AHY,2008,"7/18, 3.8g","8/6, 3.7g ntw  2x",,,,,,,,,,,,,,,,,
9000-90453,07/06/2008,MCGC,BTLH,F,AHY,2008,"7/30, 3.5g mtw",,,,,,,,,,,,,,,,,,
9000-90454,07/06/2008,MCGC,BTLH,F,AHY,2008,"7/8, n.w .",,,,,,,,,,,,,,,,,,
9000-90456,07/06/2008,MCGC,BTLH,F,AHY,2008,"7/8, 3.6g","7/11, 3.7g","7/14, 3.4g","7/22, 3.1g htw","7/24, 3.7g","7/25, 3.1g",,,,,,,,,,,,,
9000-90458,07/08/2008,MCGC,BTLH,F,AHY,2008,"7/8, 4.2g agai","7/9, 3.3g","7/10, 3.1g","7/10, 3.1g","7/11, 3.3g","7/17, 3.3g","7/30, 3.7g 8 rects growing",,,,,,,,,,,,
9000-90459,07/08/2008,MCGC,BTLH,F,AHY,2008,"7/11, 3.7g",,,,,,,,,,,,,,,,,,
9000-90460,07/09/2008,MCGC,BTLH,F,AHY,2008,"7/18, 4.0g",,,,,,,,,,,,,,,,,,
9000-90461,07/08/2008,MCGC,BTLH,F,AHY,2008,"7/10, 2.9g","7/30, 3.6g","8/7, 3.2g",,,,,,,,,,,,,,,,
9000-90462,07/08/2008,MCGC,BTLH,F,AHY,2008,7/8 again,"7/11, 3.3g","7/18, 3.6g","7/21, 3.9g","7/22, 3.5g","7/24, 3.7g","7/29, 3.9g","8/4, 3.9g ntw",,,,,,,,,,,
9000-90463,07/08/2008,MCGC,BTLH,F,AHY,2008,"7/22, 3.7g ltw",,,,,,,,,,,,,,,,,,
9000-90465,07/08/2008,MCGC,BTLH,F,AHY,2008,"7/9, 3.9g","7/22, 3.8g","7/24, 3.3g ltw",,,,,,,,,,,,,,,,
9000-90467,07/08/2008,MCGC,BTLH,F,AHY,2008,"7/11, 4.1g","7/14, 3.9g","7/17, 3.8g","7/18, 3.5g","7/20, 4.3g","7/21, 4.1g","7/22, 4.1g","8/2, 4.5g ntw",,,,,,,,,,,
9000-90471,07/05/2008,GNMTN,BTLH,M,AHY,2008,"7/5, 2.9g",,,,,,,,,,,,,,,,,,
9000-90477,07/06/2008,MCGC,BTLH,M,AHY,2008,"7/14, 3.1g","7/21, 3.4g",,,,,,,,,,,,,,,,,
9000-90482,07/08/2008,MCGC,RUHU,F,AHY,2008,"7/8, 3.2g again",,,,,,,,,,,,,,,,,,
9000-90483,07/08/2008,MCGC,BTLH,M,AHY,2008,"8/7, 3.5g",,,,,,,,,,,,,,,,,,
9000-90490,07/09/2008,MP1,BTLH,M,AHY,2008,"7/9, 3.3g",,,,,,,,,,,,,,,,,former N02973 foreign,
9000-90496,07/10/2008,MCGC,BTLH,M,AHY,2008,"7/11, 3.3g",,,,,,,,,,,,,,,,,,
9000-90525,07/10/2008,MCGC,BTLH,F,AHY,2008,"7/14, 3.8g","7/20, 3.7g htw",,,,,,,,,,,,,,,,,
9000-90529,07/10/2008,MCGC,BTLH,F,AHY,2008,"7/20, 4.0g","8/1, 3.7g htw","8/7, 3.8g","8/20, 3.4g","8/22, 3.5g 2x","8/24, 3.3g","8/27, 3.2g",,,,,,,,,,,,
9000-90531,07/10/2008,MCGC,BTLH,F,AHY,2008,"7/21, 3.5g ltw","8/7, 3.4g","8/13, n.w . at CC3",3.2g 3.2g m-htw,,,,,,,,,,,,,,,
9000-90535,07/11/2008,MCGC,BTLH,F,AHY,2008,"7/11, again","7/20, 3.5g htw","7/24, 3.3g",,,,,,,,,,,,,,,,
9000-90538,07/11/2008,MCGC,BTLH,F,AHY,2008,"7/11, 3.6g","8/17, 3.7g htw",,,,,,,,,,,,,,,,,
9000-90544,07/11/2008,MCGC,BTLH,F,AHY,2008,"7/17, 3.4g","7/20, 3.6g htw","7/26, 3.5g","8/3, 3.6g 8/16, 4.2g",,,,,,,,,,,,,,,
9000-90545,07/11/2008,MCGC,BTLH,F,AHY,2008,"7/14, 2.9g","7/17, 3.1g","7/20, 3.3g ntw","7/24, 3.2g","7/26, 3.2g","8/3, 4.4g at CC3","8/4, 3.7g vltw",,,,,,,,,,,,
9000-90546,07/11/2008,MCGC,BTLH,F,AHY,2008,"7/14, 3.7g",,,,,,,,,,,,,,,,,,
9000-90549,07/11/2008,MCGC,BTLH,F,AHY,2008,"7/14, 3.6g",,,,,,,,,,,,,,,,,,
9000-90553,07/10/2008,MCGC,BTLH,M,AHY,2008,"8/13, 3.7g",,,,,,,,,,,,,,,,,,
9000-90557,07/11/2008,MCGC,RUHU,F,AHY,2008,"7/11, again",,,,,,,,,,,,,,,,,,
9000-90574,07/14/2008,MCGC,BTLH,M,AHY,2008,"7/17, 3.2g",,,,,,,,,,,,,,,,,,
9000-90588,07/19/2008,MCGC,BTLH,M,AHY,2008,"8/12, 3.9g","8/14, 3.5g",,,,,,,,,,,,,,,,,
9000-90602,07/22/2008,MCGC,RUHU,F,AHY,2008,"7/24, n.w .",,,,,,,,,,,,,,,,,,
9000-90621,07/24/2008,MCGC,RUHU,F,AHY,2008,"7/25, 3.8g",,,,,,,,,,,,,,,,,,
9000-90635,07/25/2008,MCGC,RUHU,F,AHY,2008,"7/25, again",,,,,,,,,,,,,,,,,,
9000-90653,07/20/2008,MCGC,BTLH,F,AHY,2008,"7/25, 3.5g htw","7/26, 3.5g","8/11, 3.9g",,,,,,,,,,,,,,,,
9000-90655,07/20/2008,MCGC,BTLH,F,AHY,2008,"7/22, 3.4g ntw",,,,,,,,,,,,,,,,,,
9000-90660,07/20/2008,MCGC,BTLH,F,AHY,2008,"7/22, 3.2g ntw",,,,,,,,,,,,,,,,,,
9000-90663,07/20/2008,MCGC,BTLH,F,AHY,2008,"7/24, n.w .","8/4, 3.8g vltw","8/7, 3.7g",,,,,,,,,,,,,,,,
9000-90668,07/20/2008,MCGC,BTLH,F,AHY,2008,"8/4, 4.7g ntw",,,,,,,,,,,,,,,,,former E11994,
9000-90673,07/20/2008,MP1,BTLH,F,AHY,2008,"7/26, n.w . htw",,,,,,,,,,,,,,,,,,
9000-90682,07/20/2008,MP1,BTLH,F,AHY,2008,"8/11, 3.7g mtw",,,,,,,,,,,,,,,,,,
9000-90685,07/23/2008,MCGC,BTLH,F,AHY,2008,"8/24, 3.7g m-htw",,,,,,,,,,,,,,,,,,
9000-90689,07/21/2008,MCGC,BTLH,F,AHY,2008,"7/25, 3.3g ntw",,,,,,,,,,,,,,,,,,
9000-90691,07/21/2008,MCGC,BTLH,F,AHY,2008,"7/22, 3.6g ntw",,,,,,,,,,,,,,,,,,
9000-90713,07/22/2008,MCGC,RUHU,M,AHY,2008,"7/24, 3.4g",,,,,,,,,,,,,,,,,,
9000-90734,07/24/2008,MP1,BTLH,F,HY,2008,"7/24, again",,,,,,,,,,,,,,,,,,
9000-90743,07/24/2008,MP1,BTLH,F,AHY,2008,"8/14, 3.8g vhtw",,,,,,,,,,,,,,,,,,
9000-90745,07/24/2008,MP1,BTLH,F,AHY,2008,"8/14, 3.9g ntw",,,,,,,,,,,,,,,,,,
9000-90749,07/25/2008,MCGC,BTLH,F,AHY,2008,"8/2, 3.9g htw",,,,,,,,,,,,,,,,,,
9000-90756,07/22/2008,MCGC,BTLH,F,AHY,2008,"7/22, 3.8g ltw","7/26, 3.8g","8/11, 3.6g","8/17, 3.8g",,,,,,,,,,,,,,,
9000-90757,07/22/2008,MCGC,BTLH,F,AHY,2008,"8/2, 3.8g ltw",,,,,,,,,,,,,,,,,,
9000-90766,07/23/2008,KV1,BTLH,F,AHY,2008,"7/23, 3.4g htw",,,,,,,,,,,,,,,,,,
9000-90781,07/23/2008,KV1,BTLH,F,AHY,2008,"8/15, 3.5g ltw",,,,,,,,,,,,,,,,,,
9000-90787,07/24/2008,MCGC,BTLH,F,AHY,2008,"7/30, 3.3g ltw  at CC3",,,,,,,,,,,,,,,,,,
9000-90788,07/24/2008,MCGC,BTLH,F,AHY,2008,"8/4, 3.7g htw","8/19, 4.1g",,,,,,,,,,,,,,,,,
9000-90789,07/24/2008,MCGC,BTLH,F,AHY,2008,"7/30, 4.0g",,,,,,,,,,,,,,,,,,
9000-90808,07/11/2008,MCGC,RUHU,M,AHY,2008,"7/11, again",,,,,,,,,,,,,,,,,,
9000-90851,07/12/2008,HOLZ,BTLH,F,AHY,2008,"7/31, 4.2g",,,,,,,,,,,,,,,,,,
9000-90858,07/13/2008,KV1,BTLH,F,AHY,2008,"8/15, n.w .",,,,,,,,,,,,,,,,,,
9000-90861,07/13/2008,GNMTN,BTLH,F,AHY,2008,"7/31, 3.9g vltw",,,,,,,,,,,,,,,,,,
9000-90865,07/14/2008,MCGC,BTLH,F,AHY,2008,"7/19, 3.9g",,,,,,,,,,,,,,,,,,
9000-90866,07/14/2008,MCGC,BTLH,F,AHY,2008,"8/3, 3.9g ltw  at CC3",,,,,,,,,,,,,,,,,,
9000-90867,07/14/2008,MCGC,BTLH,F,AHY,2008,"7/22, 3.5g","7/26, 3.6g","7/29, 4.2g",,,,,,,,,,,,,,,,
9000-90868,07/14/2008,MCGC,BTLH,F,AHY,2008,"7/20, 3.8g mtw",,,,,,,,,,,,,,,,,,
9000-90869,07/14/2008,MCGC,BTLH,F,AHY,2008,"7/24, 3.6g","8/10, 4.2g vltw",,,,,,,,,,,,,,,,,
9000-90870,07/14/2008,MCGC,BTLH,F,AHY,2008,"7/14, again",,,,,,,,,,,,,,,,,,
9000-90872,07/14/2008,MCGC,BTLH,F,AHY,2008,"7/18, 3.8g","7/21, 3.5g",,,,,,,,,,,,,,,,,
9000-90874,07/17/2008,MCGC,BTLH,F,AHY,2008,"7/17, again","7/25, 3.5g","7/26, 3.5g","7/30, 3.8g","8/2, 3.7g ntw","8/3, 3.9g","8/7, 3.8-4.0g 2x",,,,,,,,,,,,
9000-90875,07/17/2008,MCGC,BTLH,F,AHY,2008,"7/21, 3.5g","7/22, 3.8g ntw",,,,,,,,,,,,,,,,,
9000-90876,07/17/2008,MCGC,BTLH,F,AHY,2008,"7/19, 3.8g","7/26, 3.7g","8/4, 3.8g ltw","8/7, 3.8g",,,,,,,,,,,,,,,
9000-90879,07/17/2008,MCGC,BTLH,F,AHY,2008,"7/21, 3.3g ntw",,,,,,,,,,,,,,,,,,
9000-90894,07/18/2008,GNMTN,BTLH,F,AHY,2008,"8/21, 3.5g ntw",,,,,,,,,,,,,,,,,,
9000-90896,07/18/2008,HOLZ,BTLH,F,AHY,2008,"7/31, 3.5g","8/6, 3.2-3.4g 2x ltw",,,,,,,,,,,,,,,,,
9000-90897,07/18/2008,HOLZ,BTLH,F,AHY,2008,"7/18, again",,,,,,,,,,,,,,,,,,
9000-90902,07/25/2008,MCGC,BTLH,F,AHY,2008,"8/7, 3.2g",,,,,,,,,,,,,,,,,,
9000-90904,07/25/2008,MCGC,BTLH,F,AHY,2008,"7/29, 4.1g","8/7, 4.2g ltw","8/12, 3.8g","8/13, 3.3g",,,,,,,,,,,,,,,
9000-90906,07/26/2008,MCGC,BTLH,F,AHY,2008,"8/3, 3.6g ntw","8/13, 3.8g",,,,,,,,,,,,,,,,,
9000-90909,07/26/2008,MCGC,BTLH,F,AHY,2008,"8/3, 4.4g ntw",,,,,,,,,,,,,,,,,,
9000-90938,07/29/2008,MCGC,BTLH,F,AHY,2008,"8/2, 3.8g ltw","8/3, n.w . at CC3","8/16, 4.1g",,,,,,,,,,,,,,,,
9000-90942,07/30/2008,CC3,BTLH,F,AHY,2008,"8/2, 3.1g htw  at MCGC",,,,,,,,,,,,,,,,,,
9000-90946,07/30/2008,CC3,BTLH,F,AHY,2008,"7/30, again",,,,,,,,,,,,,,,,,,
9000-90947,07/30/2008,CC3,BTLH,F,AHY,2008,"8/4, 3.7g at MCGC",,,,,,,,,,,,,,,,,,
9000-90950,07/31/2008,GNMTN,BTLH,F,AHY,2008,"8/14, 3.7g ntw",,,,,,,,,,,,,,,,,,
9000-90974,08/01/2008,MCGC,RUHU,F,HY,2008,"8/2, 4.1g",,,,,,,,,,,,,,,,,,
9000-90978,08/02/2008,HPK1,RUHU,F,AHY,2008,"8/2, again",,,,,,,,,,,,,,,,,,
9000-90984,08/03/2008,MCGC,RUHU,F,AHY,2008,"8/4, 3.7g",,,,,,,,,,,,,,,,,,
9000-90985,08/04/2008,MCGC,BTLH,M,HY,2008,"8/13, 3.7g",,,,,,,,,,,,,,,,,,
9000-90986,08/04/2008,MCGC,BTLH,M,AHY,2008,"8/14, 3.0g",,,,,,,,,,,,,,,,,,
9000-90987,08/04/2008,MCGC,BTLH,M,HY,2008,"8/4, again",,,,,,,,,,,,,,,,,,
9000-90989,08/04/2008,MCGC,RUHU,F,AHY,2008,"8/4, 4.0g again",,,,,,,,,,,,,,,,,,
9000-91001,08/03/2008,MCGC,BTLH,F,HY,2008,"8/7, 3.6g",,,,,,,,,,,,,,,,,,
9000-91002,08/03/2008,MCGC,BTLH,F,HY,2008,"8/7, 3.5g","8/10, 3.5g",,,,,,,,,,,,,,,,,
9000-91004,08/04/2008,MCGC,BTLH,F,AHY,2008,"8/10, 3.7g","8/12, 3.6g ltw","8/16, 3.6g l-mtw","8/26, 3.7g htw",,,,,,,,,,,,,,,
9000-91019,08/05/2008,MP1,BTLH,F,AHY,2008,"9/3, 4.0g ltw  at HPK1",,,,,,,,,,,,,,,,,,
9000-91022,08/06/2008,HOLZ,BTLH,F,AHY,2008,"8/6, again",,,,,,,,,,,,,,,,,,
9000-91023,08/06/2008,GNMTN,BTLH,F,AHY,2008,"8/6, 3.4g htw  again",,,,,,,,,,,,,,,,,,
9000-91032,08/07/2008,MCGC,BTLH,F,AHY,2008,"8/17, 3.7g htw","8/20, 3.5g",,,,,,,,,,,,,,,,,
9000-91033,08/07/2008,MCGC,BTLH,F,AHY,2008,"8/11, 3.7g htw",,,,,,,,,,,,,,,,,,
9000-91037,08/07/2008,MCGC,BTLH,F,AHY,2008,"8/11, n.w . w /E91033",,,,,,,,,,,,,,,,,,
9000-91038,08/07/2008,MCGC,BTLH,F,AHY,2008,"8/13, 3.6g htw",,,,,,,,,,,,,,,,,,
9000-91054,08/10/2008,MCGC,BTLH,F,AHY,2008,"8/16, 3.6g","8/19, 3.6g ltw","8/22, 3.4g",,,,,,,,,,,,,,,,
9000-91055,08/10/2008,MCGC,BTLH,F,HY,2008,"8/12, 4.0g, mtw",,,,,,,,,,,,,,,,,,
9000-91092,08/14/2008,MCGC,BTLH,M,HY,2008,"8/28, 3.3g at CC2",,,,,,,,,,,,,,,,,,
9000-91093,08/14/2008,MCGC,RUHU,F,AHY,2008,"8/16, 4.2g 2x",,,,,,,,,,,,,,,,,,
9000-91097,08/14/2008,MP1,BTLH,M,HY,2008,"8/14, again",,,,,,,,,,,,,,,,,,
9000-91099,08/15/2008,KV1,BTLH,M,HY,2008,"8/15, again",,,,,,,,,,,,,,,,,,
9000-91104,08/14/2008,MP1,RUHU,M,HY,2008,8/14 again 2x,,,,,,,,,,,,,,,,,,
9000-91109,08/19/2008,CC3,RUHU,M,HY,2008,"8/19, again",,,,,,,,,,,,,,,,,,
9000-91110,08/20/2008,MCGC,RUHU,M,HY,2008,"8/20, again 2x",,,,,,,,,,,,,,,,,,
