Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
5000-02820,06/01/05,MP1,BTLH,F,AHY,2005,6/5 3.6g,6/11 3.7g,7/17 4.3g E7,,,,,,,,,,,,,,,
5000-97060,05/14/05,MCGC,BTLH,F,AHY,2005,5/14 n.w.,,,,,,,,,,,,,,,,,
5000-97062,05/14/05,MCGC,BTLH,F,AHY,2005,7/253.6g,7/29 3.4g,,,,,,,,,,,,,,,,
5000-97064,05/14/05,MCGC,BTLH,F,AHY,2005,5/16 3.9g E7,,,,,,,,,,,,,,,,,
5000-97065,05/14/05,MCGC,BTLH,M,AHY,2005,5/16 3.1g 4x,5/17 3.4g,6/18 3.2g,,,,,,,,,,,,,,,
5000-97066,05/14/05,MCGC,BTLH,M,AHY,2005,5/15 3.3g 2x,5/16 3.2g 4x,5/18 3.4g,,,,,,,,,,,,,,,
5000-97067,05/14/05,MCGC,BTLH,M,AHY,2005,5/15 3.5g 2x,5/16 3.4g 2x,5/17 3.4g,,,,,,,,,,,,,,,
5000-97068,05/14/05,MCGC,BTLH,M,AHY,2005,5/15 3.3g,,,,,,,,,,,,,,,,,
5000-97070,05/15/05,MCGC,BTLH,M,AHY,2005,5/16 3.1g 4x,,,,,,,,,,,,,,,,,
5000-97072,05/15/05,MCGC,BTLH,M,AHY,2005,5/16 3.2g 3x,5/17 3.3g,5/17 3.4g,5/18 3.4g,5/19 3.3g 3x,6/13 3.3g,,,,,,,,,,,,
5000-97076,05/16/05,MCGC,BTLH,M,AHY,2005,5/16 3.3g,,,,,,,,,,,,,,,,,
5000-97081,05/16/05,MCGC,BTLH,F,AHY,2005,6/25 at CC2,,,,,,,,,,,,,,,,,
5000-97083,05/17/05,MCGC,BTLH,M,AHY,2005,5/17 3.6g,,,,,,,,,,,,,,,,,
5000-97086,05/17/05,MCGC,BTLH,M,AHY,2005,5/19 3.2g,,,,,,,,,,,,,,,,,
5000-97087,05/17/05,MCGC,BTLH,M,AHY,2005,5/19 3.3g,,,,,,,,,,,,,,,,,
5000-97088,05/18/05,MP1,BTLH,F,AHY,2005,6/3 3.6g,6/5 3.6g,"4.2g skel r1, HTW",,,,,,,,,,,,,,,
5000-97089,05/18/05,MP1,BTLH,F,AHY,2005,"6/3, 3.3g",,,,,,,,,,,,,,,,,
5000-97090,05/18/05,MP1,BTLH,F,AHY,2005,5/31 3.8g E8,,,,,,,,,,,,,,,,,
5000-97092,05/18/05,MP1,BTLH,M,AHY,2005,5/24 3.3g,6/2 3.3g,,,,,,,,,,,,,,,,
5000-97094,05/18/05,MP1,BTLH,F,AHY,2005,5/26 3.1g,,,,,,,,,,,,,,,,,
5000-97095,05/18/05,MP1,BTLH,F,AHY,2005,5/23 3.5g,6/2 3.9g,6/4 3.1g,,,,,,,,,,,,,,,
5000-97096,05/18/05,MP1,BTLH,F,AHY,2005,6/2 3.4g,6/4 3.2g,,,,,,,,,,,,,,,,
5000-97099,05/18/05,MP1,BTLH,F,AHY,2005,5/31 3.5g,6/11 3.1g,8/25 3.4g HTW,,,,,,,,,,,,,,,
6000-23402,05/18/05,MP1,BTLH,F,AHY,2005,5/31 3.4g r4LtT,6/12 3.4g,,,,,,,,,,,,,,,,g E7 spider web on toes
6000-23405,05/19/05,MCGC,BTLH,M,AHY,2005,5/19 nw,6/12 3.4g,,,,,,,,,,,,,,,,
6000-23408,05/24/05,MP1,BTLH,F,AHY,2005,5/31 3.8g r3-5 HT,6/3 3.6g,,,,,,,,,,,,,,,,
6000-23409,05/24/05,MP1,BTLH,F,AHY,2005,6/5 3.3g,,,,,,,,,,,,,,,,,
6000-23415,05/24/05,MP1,BTLH,F,AHY,2005,6/3 3.3g,6/4 3.6g E6,,,,,,,,,,,,,,,,
6000-23416,05/24/05,MP1,BTLH,F,AHY,2005,6/4 3.2g E6-,,,,,,,,,,,,,,,,,
