Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length ,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
5000-29336,8/3/2003,714,MCGC,TE,BTLH,F,AHY,3.6,49.8,18.4,30,5,M,,,,
5000-29337,8/3/2003,723,MCGC,FE,RUHU,F,AHY,3.6,45.4,17.5,25,4,,,L,80%,
5000-29338,8/3/2003,725,MCGC,TE,BTLH,M,HY,3.2,49.7,17.4,30.5,5.5,,1,H,90%,
5000-29339,8/3/2003,735,MCGC,TE,BTLH,M,AHY,3.5,49.3,17,30,5,,,,,
5000-29340,8/3/2003,1830,MCGC,FE,BTLH,F,AHY,3.5,50.1,19,30.6,5.5,"L, r3",,,,
5000-29341,8/3/2003,1842,MCGC,FE,CAHU,M,HY,2.9,43.6,9,19.3,4,,3 L of ctr,H,80%,
5000-29342,8/3/2003,1855,MCGC,FE,BTLH,F,AHY,3.8,49.8,18,28,5.5,,,L,,tips of both r1s missing ` 7mm
5000-29343,8/3/2003,1905,MCGC,TE,RUHU,F,AHY,3.7,44.3,18.4,26,4,H,6 C,L,,
5000-29344,8/3/2003,1907,MCGC,FE,RUHU,M,HY,3.9,42.3,15.5,26.7,3,"VH, r1-5",5 C,M,85%,all tips missing except 1 r1
5000-29346,8/4/2003,1656,MP1,FE,BTLH,M,AHY,3.6,50,17.3,30,4.5,,,,,
5000-29347,8/4/2003,1703,MP1,FE,BTLH,F,AHY,3.7,49.6,18.9,29.5,5.5,,,M,,
5000-29348,8/4/2003,1711,MP1,FE,BTLH,F,AHY,4.4,51.5,19,29.1,5.5,"VH, r1-5",,M,,r1 hardly exists
5000-29349,8/4/2003,1715,MP1,FE,BTLH,F,AHY,3.9,50,19.5,29.9,5,"H, r1",,,,top of bill 1 mm longer than bottom
5000-29350,8/4/2003,1725,MP1,FE,BTLH,F,AHY,3.6,50.5,18,30.5,5.8,"M, r3-4",,,,
5000-29351,8/4/2003,1730,MP1,FE,BTLH,F,AHY,3.9,51.1,18,29.2,6,"L, r3-4",,,,
5000-29352,8/4/2003,1745,MP1,TE,BTLH,F,AHY,3.7,49.5,18,31,5.5,H,,,,
5000-29353,8/4/2003,1750,MP1,TE,BTLH,F,AHY,4.2,49,20,29.5,6,,1,,,
5000-29354,8/4/2003,1756,MP1,TE,BTLH,M,AHY,3.8,49.6,18,32,5,,,,,
5000-29355,8/4/2003,1805,MP1,TE,BTLH,F,AHY,3.8,50.4,17.8,30,4.5,,,,,
5000-29356,8/4/2003,1810,MP1,TE,BTLH,F,AHY,4.3,51.4,18.9,30,6,M,,,,
5000-29357,8/4/2003,1815,MP1,TE,BTLH,F,AHY,3.9,50.1,18.8,31,5,,,,,
5000-29358,8/4/2003,1820,MP1,TE,BTLH,F,AHY,3.4,50.1,19.5,30,5,H,,,,
5000-29359,8/4/2003,1833,MP1,TE,BTLH,F,AHY,3.8,50,18,31,5.5,L,,,,
5000-29360,8/4/2003,1840,MP1,TE,BTLH,F,AHY,3.4,50.1,19,30,6,,,,,
5000-29361,8/4/2003,1845,MP1,TE,BTLH,M,HY,3.5,47.3,12.5,,,,,,,missing all rectrices
5000-29345,8/3/2003,1920,MCGC,FE,BTLH,F,AHY,4.2,50.3,18.2,30.2,5.5,,,M,,
5000-29362,8/4/2003,2000,MCGC,FE,RUHU,M,HY,3.5,43.4,16.3,27.1,3.1,"M, r1,4-5",2 C,M,80%,r1 tip missing
5000-29363,8/4/2003,2010,MCGC,FE,BTLH,F,HY,4,49.5,18.5,29.5,5.5,,,H,90%,no r2 stripe
5000-29364,8/4/2003,2022,MCGC,FE,CAHU,M,HY,3.1,40.9,13.5,20.2,4.1,,2 NC,,,
5000-29365,8/5/2003,1740,MCGC,FE,BTLH,M,HY,3.7,50.5,17.5,30.4,5.5,,,H,95%,
