Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,Replaced Band Number
9000-90426,7/5/2008,11:40,KV1,FCE,BTLH,F,AHY,4.1,50.9,18,,,H,M,,,"E8, missing r1s",
9000-90427,7/5/2008,12:00,KV1,FCE,BTLH,F,AHY,3.4,49.6,18.9,30,,N,M,,,,
9000-90428,7/5/2008,12:15,KV1,FCE,BTLH,F,AHY,3.5,49.2,18.3,29.5,,H,M,,,,
9000-90429,7/5/2008,12:23,KV1,FCE,BTLH,F,AHY,3.5,49.8,19.6,29.3,,L,L,,,,
9000-90430,7/5/2008,12:30,KV1,FCE,BTLH,F,AHY,3.3,49.3,19,30.9,,H,L,,,,
9000-90431,7/5/2008,12:45,KV1,FCE,BTLH,F,AHY,3.3,50,18.2,31,,N,L,,,,
9000-90432,7/5/2008,12:40,KV1,FCE,BTLH,F,AHY,3.7,49.1,17.8,30.2,,L,H,8c,,,
9000-90433,7/5/2008,13:55,GNMTN,FCE,BTLH,F,AHY,3.5,49.1,18.5,29,,N,M,,,,
9000-90434,7/5/2008,14:00,GNMTN,FCE,BTLH,F,AHY,3.9,51.8,18.8,31,,L,L,,,,
9000-90435,7/5/2008,14:25,GNMTN,TBE,BTLH,F,AHY,3.7,50.7,18.2,30,,N,L,,,,
9000-90436,7/5/2008,14:30,GNMTN,TBE,BTLH,F,AHY,3.7,47.7,19,31,,N,H,10c,,,
9000-90437,7/5/2008,14:48,GNMTN,TBE,BTLH,F,AHY,3.6,49.9,18,30,,L,H,6c,,E7,
9000-90438,7/5/2008,14:48,GNMTN,TBE,BTLH,F,AHY,3.5,49.6,18,29.5,,N,VL,,,,
9000-90439,7/5/2008,15:00,GNMTN,TBE,BTLH,F,AHY,3.7,50.2,18.4,29,,H,H,3c vsm,,,
9000-90440,7/5/2008,15:00,GNMTN,TBE,BTLH,F,AHY,3.4,48.9,18.1,31.5,,N,H,,,,
9000-90441,7/5/2008,15:14,GNMTN,FCE,BTLH,F,AHY,3.8,51.1,19,32,,N,M,,,,
9000-90442,7/5/2008,15:40,GNMTN,TBE,BTLH,F,AHY,4.2,48.2,18.5,30,,N,VL,5c,,,
9000-90443,7/5/2008,15:40,GNMTN,TBE,BTLH,F,AHY,4.1,49.7,18.6,31,,N,M,,,,
9000-90444,7/5/2008,16:50,HOLZ,TBE,BTLH,F,AHY,3.8,50.4,17.1,30,,H,M,,,,
9000-90445,7/5/2008,16:55,HOLZ,TBE,BTLH,F,AHY,4.3,49.3,18,31,,N,L,,,,
9000-90446,7/5/2008,17:25,HOLZ,TBE,BTLH,F,AHY,4,49.1,17.2,30,,N,L,,,,
9000-90447,7/5/2008,17:50,HOLZ,TBE,BTLH,F,AHY,3.7,51.6,18.6,32,,N,H,,,,
9000-90448,7/6/2008,5:55,MCGC,FCE,BTLH,F,AHY,4.2,48.2,18.5,29,,M,,,,,
9000-90449,7/6/2008,5:55,MCGC,TBE,BTLH,F,AHY,3.9,48.8,17.8,31,,L,VL,,,E7,
9000-90450,7/6/2008,6:25,MCGC,FCE,BTLH,F,AHY,3.5,50.7,18.2,31.2,,N,M,,,,
9000-90451,7/6/2008,6:35,MCGC,FCE,BTLH,F,AHY,3.4,48.8,18,30.1,,N,L-M,3c sm,,,
9000-90452,7/6/2008,6:52,MCGC,FCE,BTLH,F,AHY,3.7,50.1,19.2,29.4,,L,M,5c,,,
9000-90453,7/6/2008,6:56,MCGC,TBE,BTLH,F,AHY,3,48,17.5,29.5,,M,L,,,,
9000-90454,7/6/2008,7:07,MCGC,FCE,BTLH,F,AHY,3.5,48.7,17.5,28,,H,VL,,,,
9000-90455,7/6/2008,7:10,MCGC,FCE,BTLH,F,AHY,3.4,49.6,19.9,30,,H,L,,,,
9000-90456,7/6/2008,7:20,MCGC,FCE,BTLH,F,AHY,3.4,48.1,17,29,,M-H,L-M,,,,
9000-90457,7/6/2008,7:20,MCGC,FCE,BTLH,F,AHY,3.3,49.3,18.1,30.1,,N,M,4c vsm,,,
9000-90458,7/8/2008,6:15,MCGC,FCE,BTLH,F,AHY,3.7,50.6,19,31,,M,M,,,,
9000-90459,7/8/2008,6:23,MCGC,FCE,BTLH,F,AHY,4.2,50,18.9,30.2,,L-M,L,,,,
9000-90460,7/9/2008,6:40,MCGC,TBE,BTLH,F,AHY,3.5,49.9,18.2,30,,H,L,,,,
9000-90461,7/8/2008,6:48,MCGC,FCE,BTLH,F,AHY,3,50.4,18.5,30,,N,L,,,,
9000-90462,7/8/2008,7:19,MCGC,FCE,BTLH,F,AHY,3.6,51.4,17.9,31.8,,N,L-M,,,,
9000-90463,7/8/2008,7:32,MCGC,FCE,BTLH,F,AHY,3.5,50.7,18.2,30,,N,M,,,,
9000-90464,7/8/2008,7:32,MCGC,FCE,BTLH,F,AHY,3.2,49.1,18,30.1,,N,M,4c,,,
9000-90465,7/8/2008,7:40,MCGC,FCE,BTLH,F,AHY,3.5,49.4,18.7,29.1,,N,VL,2 vsm,,,
9000-90466,7/8/2008,7:40,MCGC,FCE,BTLH,F,AHY,3.8,51,18.6,30.2,,N,L-M,,,,
9000-90467,7/8/2008,7:50,MCGC,FCE,BTLH,F,AHY,3.9,50.8,19.7,30.2,,N,M,,,,
9000-90468,7/8/2008,19:45,MCGC,TBE,BTLH,F,AHY,4.1,50,18.8,31,,H,L,,,,
9000-90469,7/9/2008,6:40,MCGC,FCE,BTLH,F,AHY,3.3,49.1,17.9,29.5,,N,M-H,2c sm,,,
9000-90470,7/9/2008,6:40,MCGC,FCE,BTLH,F,AHY,3.7,49.7,18.1,30,,L,H,,,,
9000-90471,7/5/2008,14:38,GNMTN,TBE,BTLH,M,AHY,3,48.2,18.2,30,,N,,,,,
9000-90472,7/5/2008,15:40,GNMTN,FCE,BTLH,M,AHY,3.1,49.8,17.9,31,,N,,,,,
9000-90473,7/5/2008,17:05,HOLZ,TBE,BTLH,M,AHY,3.9,48.5,17.4,31,,N,,,,,
9000-90474,7/5/2008,17:18,HOLZ,TBE,RUHU,F,AHY,3.6,43.8,16.9,27,,N,H,15c,,,
9000-90475,7/5/2008,17:43,HOLZ,TBE,BTLH,M,AHY,3.4,49.1,18.2,31,,N,,,,,
9000-90476,7/5/2008,17:53,HOLZ,TBE,BTLH,M,AHY,3.5,50,17.1,32.5,,,,,,,
9000-90477,7/6/2008,6:10,MCGC,FCE,BTLH,M,AHY,3,48.7,17.5,30,,,,,,,
9000-90478,7/6/2008,6:35,MCGC,FCE,BTLH,M,AHY,3.6,48.9,17.5,30.6,,,,,,,
9000-90479,7/6/2008,7:25,MCGC,FCE,RUHU,F,AHY,3.3,43.7,18,27.1,,N,L,12c,,,
9000-90480,7/6/2008,8:35,MCGC,FCE,RUHU,F,AHY,3.4,43.5,17.6,27.9,,L,L,15c,,,
9000-90481,7/8/2008,6:05,MCGC,FCE,BTLH,M,AHY,3.4,49.8,18,31.2,,,,,,,
9000-90482,7/8/2008,7:00,MCGC,FCE,RUHU,F,AHY,3.3,43.6,17,26.8,,N,L,15c,,,
9000-90483,7/8/2008,7:19,MCGC,FCE,BTLH,M,AHY,3.4,50.4,17.1,33.5,,N,,,,,
9000-90484,7/8/2008,7:50,MCGC,FCE,BTLH,M,AHY,3.5,49.8,18.5,30.1,,N,,,,,
9000-90485,7/9/2008,6:50,MCGC,FCE,RUHU,F,AHY,3.7,44.2,17.7,27,,L,L,22+c,,,
9000-90486,7/9/2008,7:05,MCGC,FCE,BTLH,M,AHY,3.6,50,17.2,32,,N,,,,,
9000-90487,7/9/2008,10:35,MP1,FCE,BTLH,M,AHY,3.1,48.5,16.5,31,,N,,,,,
9000-90488,7/9/2008,10:55,MP1,TBE,BTLH,M,AHY,3.6,48.4,16.6,31,,N,,,,,
9000-90489,7/9/2008,11:05,MP1,TBE,BTLH,M,AHY,3,47.6,16,32,,N,,,,,
9000-90491,7/9/2008,11:35,MP1,FCE,BTLH,M,AHY,3.4,49.2,17.5,30.3,,,,,,,
9000-90492,7/9/2008,11:58,MP1,FCE,BTLH,M,AHY,3.6,50.4,18,30.5,,N,,,,,
9000-90493,7/9/2008,12:20,MP1,FCE,BTLH,M,AHY,3,49.2,16.8,31,,,,,,,
9000-90494,7/9/2008,14:50,HPK1,FCE,BTLH,M,AHY,3,48.5,17.2,30.4,,,,,,,
9000-90495,7/9/2008,15:20,HPK1,FCE,BTLH,M,AHY,3.2,49.8,18.1,32,,,,,,,
9000-90496,7/10/2008,7:23,MCGC,FCE,BTLH,M,AHY,3.4,49.4,18,31.7,,,,,,,
9000-90497,7/9/2008,15:35,HPK1,FCE,BTLH,M,AHY,3.1,47.9,17.3,31,,,,,,,
9000-90498,7/9/2008,15:55,HPK1,FCE,BTLH,M,AHY,3.4,49.5,17.7,31.2,,,,,,,
9000-90499,7/9/2008,16:12,HPK1,FCE,BTLH,M,AHY,3.2,49.6,17,30.8,,,,,,,
9000-90500,7/9/2008,16:23,HPK1,FCE,BTLH,M,AHY,3.3,49.6,18,29.6,,,,,,,
9000-90501,7/9/2008,10:35,MP1,TBE,BTLH,F,AHY,3.2,49.1,17.7,30,,N,VL,,,,
9000-90502,7/9/2008,10:35,MP1,TBE,BTLH,F,AHY,3.4,49.3,18.2,30.5,,L,M,,,,
9000-90503,7/9/2008,10:45,MP1,TBE,BTLH,F,AHY,3.8,49.4,18.3,31,,H,L,,,E8,
9000-90504,7/9/2008,10:45,MP1,TBE,BTLH,F,AHY,4.1,48.2,18.3,29.5,,H,L,,,E8,
9000-90505,7/9/2008,11:02,MP1,TBE,BTLH,F,AHY,3.5,47.9,17.7,27.5,,N,L,,,r1s growing in,
9000-90506,7/9/2008,11:10,MP1,FCE,BTLH,F,AHY,3.6,50.2,19.1,30.7,,N,M,,,,
9000-90507,7/9/2008,11:35,MP1,FCE,BTLH,F,AHY,3.4,48.8,19,29.2,,VL,L,,,,
9000-90508,7/9/2008,11:40,MP1,FCE,BTLH,F,AHY,3.1,47.6,18,29.3,,H,L,,,,
9000-90509,7/9/2008,12:10,MP1,FCE,BTLH,F,AHY,3.5,51.2,18.5,29.1,,L,L-M,,,,
9000-90510,7/9/2008,12:20,MP1,FCE,BTLH,F,AHY,3.4,49.8,18.2,30.5,,H,M,10c,,,
9000-90511,7/9/2008,12:30,MP1,FCE,BTLH,F,AHY,3.3,51,18.7,31,,H,H,,,,
9000-90512,7/9/2008,12:30,MP1,FCE,BTLH,F,AHY,3.3,49.2,18.7,30,,L,L-M,8c,,,
9000-90513,7/9/2008,12:30,MP1,FCE,BTLH,F,AHY,3.6,49.3,17.5,30.8,,,L,5c,,,
9000-90514,7/9/2008,12:50,MP1,FCE,BTLH,F,AHY,3.9,50.2,18.8,30,,N,M,,,,
9000-90515,7/9/2008,13:10,MP1,FCE,BTLH,F,AHY,3.7,50.6,18.5,30,,N,L,,,,
9000-90516,7/9/2008,15:00,HPK1,FCE,BTLH,F,AHY,3.5,51,18,30.7,,M,M,4c vsm,,,
9000-90517,7/9/2008,15:10,HPK1,FCE,BTLH,F,AHY,3.5,49.8,,,,L,M,,,early release-stress,
9000-90518,7/9/2008,15:10,HPK1,FCE,BTLH,F,AHY,3.7,48.6,19.1,28.2,,L,M-H,,,,
9000-90519,7/9/2008,15:25,HPK1,FCE,BTLH,F,AHY,3.5,51.4,19.1,30,,M,,,,,
9000-90520,7/9/2008,15:35,HPK1,FCE,BTLH,F,AHY,3.5,49.8,18.8,30,,N,,,,,
9000-90521,7/9/2008,16:00,HPK1,FCE,BTLH,F,AHY,3.5,50.5,19.5,30.5,,L,M-H,,,,
9000-90522,7/9/2008,16:05,HPK1,FCE,BTLH,F,AHY,3.4,51.1,19.1,29.6,,H,M,3c,,,
9000-90523,7/9/2008,16:30,HPK1,FCE,BTLH,F,AHY,3.6,50.3,19,30.8,,VL,L,,,,
9000-90524,7/9/2008,16:40,HPK1,FCE,BTLH,F,AHY,3.8,51.9,18.5,30,,N,L-M,,,,
9000-90525,7/10/2008,6:38,MCGC,FCE,BTLH,F,AHY,3.8,50.6,19.9,29.9,,VL,M,,,,
9000-90526,7/10/2008,6:38,MCGC,FCE,BTLH,F,AHY,3.9,51.4,18.9,31,,M-H,L-M,,,,
9000-90527,7/10/2008,7:02,MCGC,FCE,BTLH,F,AHY,3.4,49.5,18,29,,H,VL,,,,
9000-90528,7/10/2008,7:23,MCGC,FCE,BTLH,F,AHY,4.1,48.7,18.3,30.6,,N,L,,,,
9000-90529,7/10/2008,7:35,MCGC,FCE,BTLH,F,AHY,3.9,49.9,19.1,30.5,,H,L,,,E8,
9000-90530,7/10/2008,7:35,MCGC,FCE,BTLH,F,AHY,3.6,50.1,19.2,29.2,,VL,L,,,,
9000-90531,7/10/2008,7:35,MCGC,FCE,BTLH,F,AHY,3.8,50,18,30.7,,L-M,L,,,,
9000-90532,7/10/2008,7:50,MCGC,FCE,BTLH,F,AHY,3.6,49.8,17,28,,L,L-M,,,,
9000-90533,7/10/2008,8:18,MCGC,FCE,BTLH,F,AHY,4.1,51.6,19.2,29.2,,N,VL,,,,
9000-90534,7/11/2008,7:58,MCGC,TBE,BTLH,F,AHY,3.5,48.7,18.6,29,,N,L,3c,,,
9000-90535,7/11/2008,7:56,MCGC,TBE,BTLH,F,AHY,3.2,48.9,18.6,30,,H,L,,,,
9000-90536,7/11/2008,7:56,MCGC,FCE,BTLH,F,AHY,3.3,49.4,18,29.2,,L,L-M,,,,
9000-90537,7/11/2008,8:25,MCGC,TBE,BTLH,F,AHY,3.3,48.8,17.9,29.5,,N,M,,,,
9000-90538,7/11/2008,8:40,MCGC,TBE,BTLH,F,AHY,3.1,49.6,18.2,29.8,,H,L,3c vsm,,,
9000-90539,7/11/2008,8:40,MCGC,TBE,BTLH,F,AHY,3.3,49.4,18.3,29,,VH,M,5c vsm,,,
9000-90540,7/11/2008,8:40,MCGC,TBE,BTLH,F,AHY,3.5,50.4,17.8,32,,N,M,,,,
9000-90541,7/11/2008,11:34,CC2,TBE,BTLH,F,AHY,3.7,49.4,18.9,31,,N,L,,,,
9000-90542,7/11/2008,18:50,MCGC,FCE,BTLH,F,AHY,3.7,50.7,18.3,30,,N,L,,,,
9000-90543,7/11/2008,19:15,MCGC,FCE,BTLH,F,AHY,3.4,48.5,18,30.2,,N,L,,,,
9000-90544,7/11/2008,19:27,MCGC,FCE,BTLH,F,AHY,3.5,49.4,20,29.8,,M-H,L,5 vsm,,,
9000-90545,7/11/2008,19:40,MCGC,TBE,BTLH,F,AHY,3.3,49.7,19.3,30,,N,M,5c,,,
9000-90546,7/11/2008,19:40,MCGC,TBE,BTLH,F,AHY,3.8,49.4,17.9,30,,VL,L,1c vsm,,,
9000-90547,7/11/2008,19:45,MCGC,FCE,BTLH,F,AHY,3.9,51.3,19,32.2,,N,L,,,,
9000-90548,7/11/2008,19:55,MCGC,TBE,BTLH,F,AHY,4.1,50.3,20.2,31,,N,L-M,,,E7,
9000-90549,7/11/2008,20:15,MCGC,FCE,BTLH,F,AHY,3.6,49.3,19.2,29.6,,N,L,,,,
9000-90550,7/12/2008,11:18,HOLZ,FCE,BTLH,F,AHY,3.4,50.5,18.2,30,,N,H,,,,
9000-90551,7/9/2008,16:38,HPK1,FCE,BTLH,M,AHY,3.2,51.1,17,30.6,,N,,,,,
9000-90552,7/10/2008,8:23,MCGC,TBE,RUHU,F,AHY,3.7,42.9,18.1,28.2,,M,,25+,,,
9000-90553,7/10/2008,9:22,MCGC,TBE,BTLH,M,AHY,3.2,49.1,18.4,29.8,,N,,,,,
9000-90554,7/11/2008,8:17,MCGC,TBE,RUHU,F,AHY,3.4,44.8,18,27.5,,M,,12,,,
9000-90555,7/11/2008,8:17,MCGC,TBE,RUHU,F,AHY,3.5,42.8,17.4,26.8,,,,18+,,,
9000-90556,7/11/2008,18:50,MCGC,TBE,RUHU,F,AHY,3.3,42.8,15.9,28,,L,,20+,,,
9000-90557,7/11/2008,18:59,MCGC,TBE,RUHU,F,AHY,3.7,42.2,17,27.2,,N,,12,,,
9000-90558,7/11/2008,19:12,MCGC,TBE,RUHU,F,AHY,3.8,42.7,17.7,27.8,,L,,15+,,,
9000-90559,7/11/2008,20:00,MCGC,TBE,RUHU,F,AHY,4,43.2,17.5,27.5,,L,,30+,,,
9000-90560,7/12/2008,11:05,HOLZ,FCE,BTLH,M,AHY,3.2,49,16.5,31,,,,,,,
9000-90561,7/12/2008,11:12,HOLZ,FCE,BTLH,M,AHY,3.5,49.6,18.9,29.6,,,,,,,
9000-90562,7/12/2008,11:23,HOLZ,FCE,BTLH,M,AHY,3.1,49.2,17,29.8,,,,,,,
9000-90563,7/12/2008,11:33,HOLZ,FCE,BTLH,M,AHY,3.4,49.1,17.5,31,,,,,,,
9000-90564,7/12/2008,11:40,HOLZ,FCE,BTLH,M,AHY,3.3,51.8,18.3,32.1,,,,,,,
9000-90565,7/12/2008,12:10,HOLZ,FCE,BTLH,M,AHY,3.2,48.6,16.8,30,,,,,,,
9000-90566,7/12/2008,12:15,HOLZ,FCE,RUHU,F,HY,3.4,44.4,18,25.8,,N,L,,95%,,
9000-90567,7/12/2008,12:25,HOLZ,FCE,BTLH,M,AHY,3.4,49.6,17.2,30.1,,,,,,,
9000-90568,7/12/2008,13:10,HOLZ,FCE,BTLH,M,AHY,3.1,49.9,17.2,30.3,,,,,,,
9000-90569,7/13/2008,8:29,KV1,FCE,BTLH,M,AHY,3.8,49.3,17.2,31.8,,,,,,,
9000-90570,7/13/2008,17:59,GNMTN,TBE,BTLH,M,AHY,3.8,49.2,17.2,32,,,,,,,
9000-90571,7/13/2008,18:06,GNMTN,TBE,BTLH,M,AHY,3.5,49.4,18.5,31,,,,,,,
9000-90572,7/14/2008,8:35,MCGC,FCE,RUHU,F,AHY,3.8,42.2,17.2,26.2,,L,M,10c,,,
9000-90573,7/14/2008,9:30,MCGC,TBE,RUHU,F,AHY,3.7,43.4,18,28,,L,L,20c,,,
9000-90574,7/14/2008,9:30,MCGC,TBE,BTLH,M,AHY,3.1,49,17.9,31,,,,,,,
9000-90575,7/17/2008,7:15,MCGC,TBE,RUHU,M,AHY,3.8,39.3,16,,,,,,,,
9000-90576,7/17/2008,7:23,MCGC,TBE,RUHU,M,AHY,3.5,40.1,15.9,28,,,,,,,
9000-90577,7/17/2008,7:34,MCGC,TBE,RUHU,F,AHY,3.8,44.9,15.9,28.5,,N,,15c,,,
9000-90578,7/17/2008,7:47,MCGC,TBE,RUHU,F,AHY,4,42.5,17.8,26,,H,,12,,,
9000-90579,7/17/2008,7:58,MCGC,TBE,BTLH,M,AHY,3.5,47.8,17.5,31,,N,,24,,,
9000-90580,7/17/2008,8:10,MCGC,TBE,BTLH,M,AHY,3.3,48.3,18.1,30,,N,,,,,
9000-90581,7/17/2008,8:30,MCGC,TBE,RUHU,F,AHY,3.5,43.8,18.2,,,N,,24,,,
9000-90582,7/17/2008,11:45,MCGC,TBE,RUHU,M,AHY,3.5,39.5,15,28,,N,,,,,
9000-90583,7/17/2008,11:45,MCGC,TBE,RUHU,M,AHY,3.2,40.9,17,27,,N,,,,,
9000-90584,7/18/2008,7:15,MCGC,FCE,RUHU,F,AHY,3.7,42.5,18.3,25,,VL,M-H,many,,,
9000-90585,7/18/2008,8:07,MCGC,TBE,BTLH,M,AHY,3.4,48.4,17.9,32,,N,,,,,
9000-90586,7/18/2008,19:15,HOLZ,TBE,BTLH,M,AHY,3.7,48.6,17.5,32,,,,,,,
9000-90587,7/18/2008,19:30,HOLZ,FCE,RUHU,F,AHY,3.3,44.4,18,27.8,,L,L-M,6c,,,
9000-90588,7/19/2008,7:50,MCGC,TBE,BTLH,M,AHY,3.2,48.2,17.8,29.5,,,,,,,
9000-90589,7/19/2008,7:50,MCGC,FCE,RUHU,F,AHY,3.8,42.9,17.5,26.8,,L,L,14c,,,
9000-90590,7/19/2008,8:44,MCGC,FCE,RUHU,F,AHY,3.9,44.1,18,27.2,,L,L,12,,,
9000-90591,7/20/2008,6:38,MCGC,FCE,BTLH,M,AHY,3.3,49.5,17.5,30.1,,N,,,,,
9000-90592,7/20/2008,7:00,MCGC,TBE,RUHU,F,AHY,3.4,43.4,16.9,29,,N,L,20,,,
9000-90593,7/20/2008,7:45,MCGC,FCE,RUHU,F,AHY,4.2,44.1,18,27,,L,L-M,,,,
9000-90594,7/20/2008,7:45,MCGC,TBE,RUHU,F,AHY,3.7,41.4,17,27,,,,,,,
9000-90595,7/20/2008,8:10,MCGC,TBE,RUHU,F,AHY,3.9,44.9,17,28,,N,,,,,
9000-90596,7/20/2008,8:15,MCGC,FCE,RUHU,F,AHY,3.4,43.3,18,26.2,,N,L,11c,,,
9000-90597,7/21/2008,6:56,MCGC,TBE,RUHU,F,AHY,4,43.4,17.4,27,,M,,20,,,
9000-90598,7/21/2008,6:56,MCGC,FCE,RUHU,F,AHY,3.2,42.5,18.3,26,,L-M,,many,,,
9000-90599,7/22/2008,6:20,MCGC,FCE,RUHU,F,AHY,4,43,17.3,26.2,,L,M,10c,,,
9000-90600,7/22/2008,6:20,MCGC,TBE,RUHU,F,AHY,4,43.6,17.5,27.1,,VL,14,L,,,
9000-90601,7/20/2008,12:30,MP1,TBE,BTLH,M,AHY,3.5,47.9,17.2,30.5,,,,,,,
9000-90602,7/22/2008,6:50,MCGC,FCE,RUHU,F,AHY,3.7,44.8,18.1,28.9,,L,M,13c,,,
9000-90603,7/22/2008,7:10,MCGC,FCE,RUHU,F,AHY,3.7,43.6,18.1,27.5,,VL,L,15,,,
9000-90604,7/22/2008,7:15,MCGC,FCE,RUHU,F,AHY,3.6,43.5,17.1,27,,N,L,14c,,"found injured near cabin, 26 Jul; died 27 Jul at Greenwood  ",
9000-90605,7/22/2008,9:58,MP1,FCE,RUHU,F,AHY,3,45.4,18.7,28,,VL,L-M,8c,,,
9000-90606,7/22/2008,10:10,MP1,TBE,RUHU,F,AHY,3.5,44.3,17.5,28,,VL,VL,3 szm,,,
9000-90607,7/22/2008,10:20,MP1,TBE,BTLH,M,AHY,3.8,49.8,19,32.5,,N,,,,,
9000-90608,7/22/2008,10:30,MP1,TBE,BTLH,M,AHY,3.6,49.5,17.2,31,,N,,,,,
9000-90609,7/22/2008,11:10,MP1,TBE,BTLH,M,AHY,4,50.1,16.4,32,,N,,,,,
9000-90610,7/22/2008,11:20,MP1,FCE,RUHU,F,AHY,3.6,43.8,17.2,27.2,,L,L,13 lg c,,,
9000-90611,7/22/2008,11:30,MP1,TBE,RUHU,F,HY,,45.5,17,28,,N,H,1c vsm,,,
9000-90612,7/23/2008,15:37,KV1,FCE,BTLH,M,AHY,3.8,50,18,31,,M,,,,,
9000-90613,7/23/2008,16:03,KV1,FCE,BTLH,M,HY,3.8,50.6,16.7,29.8,,N,,1c,,,
9000-90614,7/24/2008,6:00,MCGC,FCE,RUHU,F,AHY,3.9,43.9,18.8,26,,VH,M,many,,,
9000-90615,7/24/2008,6:15,MCGC,FCE,RUHU,F,AHY,3.4,43.2,17.2,27.2,,VL,M,many,,,
9000-90616,7/24/2008,6:15,MCGC,FCE,RUHU,F,AHY,3.5,43.5,18.1,25,,L,L,10sm,,,
9000-90617,7/24/2008,6:15,MCGC,TBE,RUHU,F,AHY,3.2,42.1,17,27.5,,N,M,20,,,
9000-90618,7/24/2008,6:40,MCGC,FCE,BTLH,M,AHY,3.7,49.6,17.8,32.2,,N,,,,,
9000-90619,7/24/2008,7:05,MCGC,FCE,RUHU,F,AHY,4.9,43.9,17.8,27.2,,N,VL,many,,,
9000-90620,7/24/2008,8:00,MCGC,FCE,RUHU,F,AHY,3.9,44.4,17.1,26.1,,M,L,10 lg,,,
9000-90621,7/24/2008,9:10,MCGC,FCE,RUHU,F,AHY,3.7,44.6,18,28.1,,L,M,15 lg,,,
9000-90622,7/24/2008,12:10,MP1,FCE,BTLH,M,AHY,3.8,48,18,31.2,,,,,,,
9000-90623,7/24/2008,12:10,MP1,FCE,BTLH,M,HY,3.6,48.9,18.2,30.8,,,H,,,,
9000-90624,7/24/2008,12:45,MP1,FCE,BTLH,M,AHY,3.6,48.9,17.5,31.5,,,,,,,
9000-90625,7/24/2008,12:45,MP1,FCE,BTLH,M,AHY,3.3,49,17.1,30.3,,,,,,,
9000-90626,7/24/2008,13:30,MP1,FCE,BTLH,M,HY,4,48.8,17,30.2,,,,,80%,,
9000-90627,7/24/2008,13:30,MP1,FCE,RUHU,F,AHY,3.4,43.9,17.2,27,,L,L,18,,,
9000-90628,7/24/2008,14:04,MP1,FCE,BTLH,M,AHY,3.4,48.4,18.3,32.1,,,,,,,
9000-90629,7/24/2008,14:04,MP1,FCE,RUHU,F,AHY,3.9,43.7,17.4,26,,,M,12,,,
9000-90630,7/25/2008,7:15,MCGC,FCE,RUHU,F,AHY,3.8,43.2,18,26,,VL,L-M,,,,
9000-90631,7/24/2008,14:10,MP1,FCE,BTLH,M,AHY,4.3,50.7,18.2,30.8,,,,,,,
9000-90632,7/25/2008,6:00,MCGC,TBE,RUHU,F,AHY,4,43.5,17.8,27.5,,N,,30c,,,
9000-90633,7/25/2008,6:00,MCGC,TBE,RUHU,F,AHY,3.8,44.2,16.2,26.5,,N,,20c,,,
9000-90634,7/25/2008,6:45,MCGC,TBE,RUHU,F,AHY,4.7,44.3,16.7,26,,VH,,15c,,,
9000-90635,7/25/2008,7:45,MCGC,TBE,RUHU,F,AHY,3.5,44,17.4,,,,,,,Escaped,
9000-90636,7/25/2008,7:45,MCGC,TBE,BTLH,M,AHY,3.9,48.3,17.7,29,,N,,,,,
9000-90637,7/26/2008,6:50,MCGC,FCE,RUHU,F,HY,4.2,45.3,17.2,27,,N,L,,80%,,
9000-90638,7/26/2008,7:40,MCGC,FCE,RUHU,F,AHY,4.4,44.3,18,28,,,L,8,,,
9000-90639,7/26/2008,10:50,MP1,FCE,BTLH,M,AHY,3.8,48.1,18,30,,N,,,,,
9000-90640,7/26/2008,11:07,MP1,FCE,BTLH,M,AHY,3.7,49.2,16.9,32.1,,,,,,,
9000-90641,7/26/2008,11:07,MP1,FCE,BTLH,M,HY,3.3,48.9,16,30,,,H,,,,
9000-90642,7/26/2008,11:40,MP1,FCE,BTLH,M,AHY,3.6,49.1,18.8,,,,,,,,
9000-90643,7/26/2008,11:40,MP1,FCE,RUHU,F,AHY,3.4,45.6,17.8,27,,,L,,,,
9000-90644,7/26/2008,12:12,MP1,FCE,RUHU,F,AHY,3.7,44.4,18.2,28.2,,L,M,14c,,,
9000-90645,7/26/2008,12:35,MP1,FCE,BTLH,M,AHY,3.5,49.2,18,29,,,,,,,
9000-90646,7/26/2008,12:40,MP1,FCE,RUHU,F,AHY,3.8,44.1,17.6,26.8,,M,L,7c,,,
9000-90647,7/26/2008,19:40,MCGC,TBE,RUHU,F,AHY,4.5,42.2,16.4,25.5,,H,L,6c,,,
9000-90648,7/26/2008,19:40,MCGC,TBE,RUHU,F,AHY,3.4,43.1,18,27.5,,L,M,15c,,,
9000-90649,7/29/2008,10:40,MP1,FCE,BTLH,M,AHY,3.7,48.5,17.2,31.5,,N,,,,,
9000-90650,7/29/2008,11:40,MP1,FCE,RUHU,F,AHY,3.8,44.5,18.3,28.8,,L,L,13 lg,,,
9000-90651,7/29/2008,12:22,MP1,FCE,BTLH,M,HY,3.5,50.1,17,30,,N,H,,80%,,
9000-90652,7/19/2008,7:07,MCGC,FCE,BTLH,F,AHY,3.4,48.6,18,31,,N,M,,,,
9000-90653,7/20/2008,6:00,MCGC,FCE,BTLH,F,AHY,3.7,51.2,19,30,,M-H,L,,,,
9000-90654,7/20/2008,6:00,MCGC,TBE,BTLH,F,AHY,3.7,47.1,18.2,29.5,,N,H,,,,
