Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,Replaced Band Number
9000-89967,6/28/2008,11:42,HOLZ,FCE,BTLH,M,AHY,3.2,48.8,18,31.2,,,,,,,
9000-89968,6/28/2008,12:00,HOLZ,FCE,BTLH,M,AHY,3.1,50,18.5,30.6,,,,,,,
9000-89969,6/28/2008,12:07,HOLZ,FCE,BTLH,M,AHY,3.3,49.5,16.7,30.5,,,,,,,
9000-89970,6/28/2008,12:31,HOLZ,FCE,BTLH,M,AHY,3.3,49.5,17.3,31,,,,,,,
9000-89971,6/28/2008,13:08,HOLZ,FCE,BTLH,M,AHY,3.5,49.2,17,32,,,,,,,
9000-89972,6/28/2008,13:10,HOLZ,FCE,BTLH,M,AHY,3.3,49.3,16.8,31,,,,,,,
9000-89973,6/28/2008,15:20,GNMTN,FCE,BTLH,M,AHY,3.3,50.3,18.1,31,,,,,,,
9000-89974,6/28/2008,17:52,KV1,FCE,BTLH,M,AHY,3.3,49.8,17.3,31.2,,,,,,,
9000-89975,6/29/2008,6:59,MCGC,FCE,BTLH,M,AHY,3.2,48.9,17.1,31.2,,,,,,,
9000-89976,7/1/2008,6:25,MCGC,FCE,BTLH,M,AHY,3.2,48.6,18,29.2,,,,,,,
9000-89977,7/1/2008,7:29,MCGC,FCE,BTLH,M,AHY,3.3,48.4,17.4,31.4,,,,,,,
9000-89978,7/1/2008,7:46,MCGC,FCE,BTLH,M,AHY,3.1,48,17.2,31.6,,,,,,,
9000-89979,7/9/2008,14:43,HPK1,TBE,RUHU,M,AHY,3.2,39,16,28,,,,,,,
9000-89980,7/1/2008,7:50,MCGC,FCE,BTLH,M,AHY,3.4,49.2,18.1,30.4,,,,,,,
9000-89981,6/28/2008,10:53,MCGC,TBE,BTLH,M,AHY,3.1,48.5,17.3,30.5,,,,,,,
9000-89982,7/2/2008,6:15,MCGC,FCE,BTLH,M,AHY,3.1,48.3,16.8,30,,,,,,,
9000-89983,7/2/2008,6:22,MCGC,FCE,BTLH,M,AHY,3.4,50.9,18.9,31.5,,,,,,,
9000-89984,7/2/2008,6:55,MCGC,FCE,BTLH,M,AHY,3.3,49.6,17.2,30,,,,,,,
9000-89985,7/2/2008,10:55,MP1,FCE,BTLH,M,AHY,3.5,50.8,17.8,32.1,,,,,,,
9000-89986,7/2/2008,11:32,MP1,FCE,BTLH,M,AHY,3.3,50.3,17.5,30.6,,,,,,,
9000-89987,7/3/2008,5:58,MCGC,FCE,BTLH,M,AHY,3.3,49.2,18.1,31.8,,,,,,,
9000-89988,7/3/2008,6:58,MCGC,FCE,BTLH,M,AHY,3.3,50,17.2,30.2,,,,,,,
9000-89989,7/3/2008,10:42,CC3,TBE,BTLH,M,AHY,,49,,,,,,,,,
9000-89990,7/4/2008,12:18,HPK1,FCE,BTLH,M,AHY,3.1,50,17.1,30.2,,,,,,,
9000-89991,7/1/2008,7:50,MCGC,FCE,BTLH,M,AHY,2.9,49.7,17,30,,,,,,,
9000-89992,7/4/2008,12:47,HPK1,FCE,BTLH,M,AHY,3.7,49.3,17.7,31,,,,,,,
9000-89993,7/4/2008,13:15,HPK1,TBE,BTLH,M,AHY,3.2,49.7,16.9,30.5,,,,,,,
9000-89994,7/4/2008,13:45,HPK1,TBE,BTLH,M,AHY,3.4,48.5,16.6,32,,,,,,,
9000-89995,7/4/2008,13:55,HPK1,TBE,BTLH,M,AHY,3.2,46.9,16.6,30,,,,,,,
9000-89996,7/4/2008,14:07,HPK1,FCE,BTLH,M,AHY,3.2,49.9,16.9,30.5,,,,,,,
9000-89997,7/4/2008,14:13,HPK1,FCE,BTLH,M,AHY,3.4,49.9,18.2,31,,,,,,,
9000-89998,7/4/2008,14:30,HPK1,FCE,BTLH,M,AHY,3.3,49.6,17.5,30.2,,,,,,,
9000-89999,7/4/2008,14:55,HPK1,FCE,BTLH,M,AHY,3.3,49.3,16.8,30.5,,,,,,,
9000-90000,7/4/2008,15:20,HPK1,FCE,BTLH,M,AHY,3.3,48.9,17,31.6,,,,,,,
9000-90026,7/9/2008,11:40,MP1,FCE,RUHU,M,AHY,3.4,40.4,16.5,28.2,,,,,,,
9000-90027,7/9/2008,12:10,MP1,FCE,RUHU,M,AHY,3.3,38.3,16.6,28.2,,,,,,,
9000-90044,7/9/2008,12:30,MP1,FCE,RUHU,M,AHY,3.3,40.3,15.5,28.2,,,,,,,
9000-90053,7/9/2008,12:40,MP1,FCE,RUHU,M,AHY,3.4,40.1,16.3,27.5,,,,,,,
9000-90074,5/16/2008,12:25,MCGC,FCE,BTLH,M,AHY,3.5,49.6,18,30.2,,,,,,,
9000-90094,5/31/2008,10:59,MP1,FCE,BTLH,F,AHY,4.4,51,20,29.8,,N,,7c,,E8,
9000-90095,5/31/2008,12:06,MP1,FCE,BTLH,F,AHY,3.7,50.1,19.1,30.8,,H,H,3c,,"E7, skel r1s",
9000-90096,5/31/2008,12:43,MP1,FCE,BTLH,F,AHY,4.1,50.4,18,31,,M,L,,,E7,
9000-90097,6/1/2008,14:46,HOLZ,TBE,BTLH,F,AHY,3.3,50.8,19,29,,N,L,,,,
9000-90098,6/2/2008,6:38,MCGC,FCE,BTLH,F,AHY,3.7,50,19,29,,N,H,,,,
9000-90099,6/2/2008,10:26,HPK1,TBE,BTLH,F,AHY,3.3,49,19.1,29.5,,N,H,,,,
9000-90100,6/2/2008,10:55,HPK1,FCE,BTLH,F,AHY,3.3,49.6,17.8,30,,L-M,M,,,,
9000-90106,5/16/2008,12:34,MCGC,FCE,BTLH,M,AHY,3.6,50.2,18.2,32,,N,,,,,
9000-90109,5/17/2008,6:44,MCGC,FCE,BTLH,M,AHY,3.1,49.1,17.2,31.8,,N,,,,,
9000-90110,5/30/2008,6:50,MCGC,FCE,BTLH,M,AHY,3.3,48.7,18.1,28.2,,N,,,,,
9000-90111,5/31/2008,12:30,MP1,FCE,BTLH,M,AHY,3.2,49.1,17.2,32,,N,,,,,
9000-90112,6/2/2008,10:40,HPK1,FCE,BTLH,M,AHY,3.2,49.1,17.4,30.5,,N,,,,,
9000-90113,6/2/2008,10:51,HPK1,FCE,BTLH,M,AHY,3.4,48.6,18.8,30.8,,N,,,,,
9000-90114,6/2/2008,12:45,MP1,TBE,BTLH,M,AHY,3.2,47.8,17.5,30.5,,N,,,,,
9000-90115,6/2/2008,13:53,MP1,TBE,BTLH,M,AHY,3.1,48.5,17.3,32,,N,,,,,
9000-90116,6/2/2008,14:21,MP1,FCE,BTLH,M,AHY,3.5,49.1,18,32.3,,N,,,,,
9000-90117,6/3/2008,16:42,MP1,FCE,BTLH,M,AHY,3.1,48.7,19,32,,N,,,,,
9000-90118,6/3/2008,17:08,MP1,FCE,BTLH,M,AHY,3.4,49.2,17,30.7,,N,,,,,
9000-90119,6/3/2008,17:25,MP1,FCE,BTLH,M,AHY,3.1,49.4,17.2,30.8,,N,,,,,
9000-90120,6/3/2008,17:37,MP1,FCE,BTLH,M,AHY,3.2,49.2,18.1,32.1,,N,,,,,
9000-90121,6/2/2008,12:50,MP1,TBE,BTLH,F,AHY,3.8,49.9,18.7,30,,M,H,,,E7,
9000-90122,6/2/2008,12:55,MP1,TBE,BTLH,F,AHY,4.1,50.2,18.9,30,,N,L,1c vsm,,E8,
9000-90123,6/2/2008,13:23,MP1,FCE,BTLH,F,AHY,3.4,49.9,18,30.7,,M,L-M,,,E6,
9000-90124,6/2/2008,13:23,MP1,FCE,BTLH,F,AHY,3.5,49.8,19,29.2,,N,L,,,E6,
9000-90125,6/2/2008,13:36,MP1,FCE,BTLH,F,AHY,3.5,49.8,18,29.5,,N,L,,,,
9000-90126,6/2/2008,13:48,MP1,TBE,BTLH,F,AHY,3.3,49.5,19.7,29.5,,H,H,1c vsm,,,
