Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,
9000-39056,07/10/2007,11:14,MCGC,FCE,RUHU,M,AHY,3.5,40.2,16.0,27.2,2.5,N,,,,,
9000-39057,06/09/2007,8:25,MCGC,TBE,BTLH,M,AHY,3.0,48.6,16.2,32.0,4.5,N,,,,"r4,5 white area in/outer web",
9000-39058,06/09/2007,13:50,MP1,FCE,BTLH,M,AHY,3.4,48.5,18.0,31.0,4.8,N,,,,,
9000-39059,06/09/2007,14:45,MP1,FCE,BTLH,M,AHY,3.6,51.0,17.9,31.8,4.8,N,,,,"r5 white spot at tip, in/outer web",
9000-39060,06/12/2007,14:15,MP1,FCE,BTLH,M,AHY,3.2,49.9,17.5,30.0,4.5,"L, top r1",,,,,
9000-39061,06/12/2007,10:06,MCGC,FCE,BTLH,M,AHY,3.5,49.9,17.8,32.0,4.6,N,,,,"r5 white areas at tip, in/outer web",
9000-39062,06/12/2007,10:42,MCGC,FCE,BTLH,M,AHY,3.4,50.1,17.0,31.7,4.8,N,,,,r5 white in/outer web at tip,
9000-39063,06/12/2007,11:21,MCGC,FCE,BTLH,M,AHY,3.4,49.5,18.0,31.2,4.8,N,,,,,
9000-39064,06/12/2007,13:14,MP1,FCE,BTLH,M,AHY,3.1,49.3,18.2,33.0,4.5,N,,,,,
9000-39065,06/12/2007,15:30,MP1,FCE,BTLH,M,AHY,3.3,47.8,17.6,30.2,4.8,N,,,,"r4,5 white at tip, in/outer web",
9000-39066,06/12/2007,16:05,MP1,FCE,BTLH,M,AHY,3.3,49.3,17.8,30.5,4.6,N,,,,"r5 sm white areas at tip, in/outer web",
9000-39067,06/12/2007,16:10,MP1,FCE,BTLH,M,AHY,3.3,48.2,17.1,30.5,5.0,N,,,,,
9000-39068,06/13/2007,14:00,GNMTN,TBE,BTLH,M,AHY,3.3,49.2,18.0,31.5,4.5,N,,,,r3-5 white areas at tip,
9000-39069,06/13/2007,14:02,GNMTN,TBE,BTLH,M,AHY,,49.6,17.3,33.0,4.5,N,,,,r5 white area inner web at tip,
9000-39070,06/14/2007,6:20,MCGC,FCE,BTLH,M,AHY,3.3,47.2,18.2,31.3,4.5,N,,,,r5 faint white inner web at tip,
9000-39071,06/14/2007,6:48,MCGC,TBE,BTLH,M,AHY,3.6,48.9,17.2,32.5,5.0,N,,,,,
9000-39072,06/14/2007,7:12,MCGC,TBE,BTLH,M,AHY,3.4,49.5,17.6,32.0,5.0,N,,,,"r5 white dot at tip, in/outer web",
9000-39073,06/14/2007,7:25,MCGC,FCE,BTLH,M,AHY,31.0,49.9,17.0,31.2,5.5,N,,,,,
9000-39074,06/17/2007,7:05,MCGC,TBE,BTLH,M,AHY,3.2,48.0,17.0,33.0,4.5,N,,,,"r4,5 white in/out web at tip",
9000-39075,06/17/2007,7:30,MCGC,TBE,BTLH,M,AHY,3.5,49.3,17.0,32.5,4.5,N,,,,similar,
9000-39076,06/17/2007,7:40,MCGC,FCE,BTLH,M,AHY,3.3,49.7,18.2,32.0,4.5,N,,,,r5 faint white at tip,
9000-39077,06/17/2007,7:47,MCGC,FCE,BTLH,M,AHY,3.1,49.3,16.9,31.6,4.5,N,,,,,
9000-39078,06/17/2007,8:04,MCGC,FCE,BTLH,M,AHY,3.2,47.4,17.2,30.0,5.0,N,,,,r4L faint white at tip,
9000-39079,06/17/2007,15:55,MP1,FCE,BTLH,M,AHY,3.5,49.8,17.2,30.9,4.5,N,,,,r5 sm white area inner web near tip,
9000-39080,06/17/2007,16:17,MP1,FCE,BTLH,M,AHY,3.3,48.9,18.3,30.7,4.5,N,,,,"r4,5 white fringe inner web",
9000-39081,06/17/2007,16:32,MP1,TBE,BTLH,M,AHY,3.3,49.1,16.5,31.5,5.0,N,,,,r5 inner web white line at tip,
9000-39082,06/17/2007,16:45,MP1,TBE,BTLH,M,AHY,3.4,48.9,18.4,30.5,4.5,N,,,,r5 in/outer web white,
9000-39083,06/17/2007,17:23,MP1,TBE,BTLH,M,AHY,3.3,48.0,18.0,30.5,4.5,N,,,,r5 sm white area inner web near tip,
9000-39084,06/18/2007,7:00,MCGC,FCE,BTLH,M,AHY,3.4,49.8,17.3,31.0,4.6,N,,,,,
