Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
5000-29487,6/18/04,1741,MCGC,FCE,BTLH,F,AHY,3.4,51.5,19.1,30.6,6,N,,,,
5000-29495,6/25/04,1112,KV1,TBE,BTLH,F,AHY,4,,18,,,N,,,,escaped
5000-29496,6/25/04,1118,KV1,TBE,BTLH,F,AHY,3.5,50.5,19.7,29,6,N,,,,
5000-29497,6/25/04,1120,KV1,TBE,BTLH,M,AHY,3,48.6,18.9,31,5,N,,,,
5000-29498,6/25/04,1126,KV1,FCE,BTLH,F,AHY,4.1,49.8,18,29.6,5.5,N,,,,E8/9
5000-29499,6/25/04,1129,KV1,TBE,BTLH,M,AHY,3.3,50.8,19.5,29.5,6,N,1,,,
5000-29500,6/25/04,1143,KV1,FCE,BTLH,F,AHY,3.9,51.7,19,31.1,6,N,,H,,
5000-29505,6/25/04,1140,KV1,TBE,BTLH,F,AHY,4,48.9,19,29,5,N,5,,,E7
5000-29506,6/25/04,1200,KV1,TBE,BTLH,F,AHY,3.9,50.1,19.5,30.5,6,L,,,,"E7, lt.rectrix wear"
5000-29507,6/25/04,1204,KV1,FCE,BTLH,F,AHY,3.8,51.6,19.2,31.2,,H,,,,"r2 mod, r3-5 hvy wear"
5000-29508,6/25/04,1210,KV1,TBE,BTLH,F,AHY,3.5,49.7,19,29,5.5,N,,,,v. slight abdomen swelling
5000-29509,6/25/04,1215,KV1,FCE,BTLH,F,AHY,4.1,50.3,19,32,5,N,,,,E8
5000-29510,6/25/04,1215,KV1,TBE,BTLH,F,AHY,3.4,49.8,19,29,6,N,,,,
5000-29511,6/25/04,1345,KV1,TBE,BTLH,F,AHY,3.8,51.1,18.1,28,6,N,7,,,E8
5000-29512,6/25/04,1320,KV1,FCE,BTLH,F,AHY,3.3,50.4,18,29,5.8,N,,,,
5000-29513,6/25/04,1348,KV1,TBE,BTLH,F,AHY,4.1,49.6,19,31.5,5.5,N,1,,,
5000-29514,6/25/04,1331,KV1,FCE,BTLH,F,AHY,3.7,51.2,19,29.2,5.8,N,,,,E7
5000-29515,6/25/04,1440,GNMTN,TBE,BTLH,F,AHY,5.1,51.8,19.8,30,5,H,,,,"E9, hvy tail wear"
5000-29516,6/25/04,1446,GNMTN,TBE,BTLH,F,AHY,3.6,49.3,19,29,6,N,,,,"E7, band on l. leg"
5000-29517,6/25/04,1453,GNMTN,FCE,BTLH,M,AHY,3,48.8,18,29.8,5,N,,,,band upside down
5000-29518,6/25/04,1500,GNMTN,FCE,BTLH,F,AHY,3.4,49.9,18,31,5.8,N,,,,
5000-29519,6/25/04,1505,GNMTN,FCE,BTLH,F,AHY,3.8,50.4,18,29.6,5.3,N,,,,E7
5000-29520,6/25/04,1510,GNMTN,FCE,BTLH,F,AHY,4.2,50.2,18,29.8,5.4,N,,,,
5000-29521,6/25/04,1522,GNMTN,FCE,BTLH,F,AHY,3.6,51,19,29.5,5.5,N,,,,
5000-29522,6/25/04,1542,GNMTN,FCE,BTLH,F,AHY,3.8,50,19.5,29.9,5.5,N,5C,,,
5000-29523,6/25/04,1548,GNMTN,FCE,BTLH,F,AHY,4.2,50.1,18.5,30.5,5.5,N,,,,E7
5000-29524,6/25/04,1608,GNMTN,FCE,BTLH,F,AHY,3.7,49.4,18.6,29.6,5.7,L,,,,r3 lt. Wear
5000-29525,6/25/04,1610,GNMTN,FCE,BTLH,F,AHY,3.8,50.8,18.8,30.5,5,M,,H,,"E7,mod tail wear, r5r missing tip"
5000-29526,6/26/04,1656,MCGC,FCE,BTLH,F,AHY,3.5,51.7,18.9,31.1,5.5,N,,,,
5000-29527,6/26/04,1707,MCGC,FCE,BTLH,F,AHY,3.6,49.9,18.6,29.5,6,L,,,,r1 lt. wear 
5000-29528,6/26/04,1733,MCGC,TBE,BTLH,F,AHY,3.3,50.5,17.5,29,6,L,,,,
5000-29529,6/27/04,1713,MCGC,FCE,BTLH,M,AHY,3.1,48.5,17.3,29.2,5.2,N,,,,
5000-29530,6/28/04,0634,MCGC,FCE,BTLH,F,AHY,3.4,49.6,19.1,30,5.4,N,11C,,,
5000-29531,6/28/04,0653,MCGC,FCE,BTLH,M,AHY,3.4,48.1,18,28.1,4.8,N,,,,
5000-29532,6/30/04,0655,MCGC,FCE,BTLH,F,AHY,3.3,51.9,19.5,31,5.5,N,5C,H,,
5000-29533,6/30/04,0743,MCGC,FCE,RUHU,M,AHY,3.6,45.8,16,27.9,2.6,N,,,,"1st RUHU banded, 2004"
5000-29534,6/30/04,1140,GNMTN,TBE,BTLH,M,AHY,3.3,48.9,17.7,29,5,N,,,,
5000-29535,6/30/04,1145,GNMTN,FCE,BTLH,F,AHY,4.9,49.2,18.2,,5,H,,,,"E9, r3-5 hvy wear"
5000-29536,6/30/04,1152,GNMTN,FCE,BTLH,F,AHY,4.8,48.8,19,29,5.2,N,,,,
5000-29537,6/30/04,1159,GNMTN,TBE,BTLH,F,AHY,3.4,50.9,18.8,30.5,5.5,H,,,,band upside down
5000-29538,6/30/04,1209,GNMTN,FCE,BTLH,F,AHY,3.6,50.6,19.4,31,6,L,,,,
5000-29539,6/30/04,1210,GNMTN,TBE,BTLH,F,AHY,3.5,49.4,19,31,6.2,H,,,,
5000-29540,6/30/04,1248,GNMTN,TBE,BTLH,F,AHY,3.3,51.1,19.3,29.5,5.5,N,1C,,,
5000-29541,6/30/04,1303,GNMTN,FCE,BTLH,F,AHY,3.8,51.2,18.5,31.3,5.8,N,,,,lost r3r in trap
5000-29542,6/30/04,1304,GNMTN,TBE,RUHU,M,AHY,3.5,38.8,16,28,3,N,,,,
