Band Number, Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r1 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
4100-59061,05/20/2011,17:10,MP1,FCE,BTLH,F,AHY,3.7,48.9,19.1,28.0,,,,,,
4100-59062,05/21/2011,8:46,MCGC,FCE,BTLH,F,AHY,4,49.7,19.1,30.0,,,,,,
4100-59063,05/25/2011,8:25,MCGC,FCE,BTLH,F,AHY,4.6,51.5,18.9,31.0,,,,,,E9+
4100-59064,05/27/2011,10:40,MCGC,FCE,BTLH,F,AHY,4,50.1,17.0,31.0,,,,,,E8
4100-59065,05/28/2011,13:45,CC3,FCE,BTLH,F,AHY,3.7,51.5,17.8,30.9,,,,,,
4100-59066,05/18/2011,11:33,MCGC,FCE,BTLH,M,AHY,3.6,49.8,17.7,31.6,,,,,,
4100-59067,05/20/2011,10:13,MCGC,FCE,BTLH,M,AHY,3.4,50.0,18.2,31.2,,,,,,
4100-59068,05/20/2011,17:24,MP1,FCE,BTLH,M,AHY,3.9,50.1,17.5,31.8,,,,,,
4100-59069,05/21/2011,9:52,MCGC,FCE,BTLH,M,AHY,3.3,49.7,18.0,31.0,,,,,,
4100-59070,05/28/2011,13:45,CC3,FCE,BTLH,M,AHY,3.2,49.1,17.2,31.3,,,,,,
4100-59071,05/28/2011,14:34,CC3,FCE,BTLH,F,AHY,3.5,51.5,18.1,28.0,,,,,,E6
4100-59080,05/29/2011,7:50,MCGC,FCE,BTLH,F,AHY,3.4,49.6,18.0,31.0,,,,,,
4100-59101,05/29/2011,12:43,MP1,FCE,BTLH,F,AHY,3.7,49.3,18.1,28.5,,,,,,E8
4100-59102,05/29/2011,12:49,MP1,FCE,BTLH,F,AHY,3.8,50.8,18.3,30.1,,,,,,E7
4100-59103,05/29/2011,12:49,MP1,FCE,BTLH,F,AHY,3.6,50.0,18.9,30.5,,,,,,
4100-59104,05/29/2011,13:10,MP1,FCE,BTLH,F,AHY,3.6,50.5,18.3,30.1,,,,,,E6
4100-59105,05/29/2011,13:38,MP1,FCE,BTLH,F,AHY,3.2,49.8,18.3,30.5,,,,,,
4100-59106,05/29/2011,19:57,MCGC,FCE,BTLH,F,AHY,4,51.2,18.8,31.0,,,,,,E6
4100-59107,05/30/2011,7:59,MCGC,FCE,BTLH,F,AHY,4.2,50.9,18.7,30.2,,,,,,E8
4100-59108,05/30/2011,10:35,MP1,FCE,BTLH,F,AHY,3.42,50.7,19.2,31.0,,,,,,
4100-59109,05/30/2011,10:45,MP1,FCE,BTLH,F,AHY,3.44,49.8,18.0,31.2,,,,,,
4100-59110,05/30/2011,10:45,MP1,FCE,BTLH,F,AHY,3.68,51.1,18.9,30.3,,,,,,
4100-59111,05/30/2011,11:16,MP1,FCE,BTLH,F,AHY,3.56,51.3,18.9,30.1,,,,,,
4100-59112,05/30/2011,11:23,MP1,FCE,BTLH,F,AHY,3.46,49.7,19.4,30.8,,,,,,
4100-59113,05/31/2011,7:20,MCGC,FCE,BTLH,F,AHY,3.9,51.4,19.2,29.8,,,,,,E7
4100-59114,05/31/2011,7:48,MCGC,FCE,BTLH,F,AHY,3.7,50.8,17.8,30.6,,,,,,
4100-59115,05/31/2011,18:20,MP1,FCE,BTLH,F,AHY,3.85,51.3,18.8,,,,,,,
4100-59116,05/31/2011,18:20,MP1,FCE,BTLH,F,AHY,3.5,50.2,17.3,29.5,,,,,,
4100-59117,05/31/2011,18:52,MP1,FCE,BTLH,F,AHY,3.5,50.5,18.9,30.1,,,,,,
4100-59118,06/02/2011,6:34,MCGC,FCE,BTLH,F,AHY,3.5,51.2,17.2,30.3,,,,,,
4100-59119,06/02/2011,7:18,MCGC,FCE,BTLH,F,AHY,3.6,49.6,18.6,31.1,,,,,,
4100-59120,06/02/2011,7:28,MCGC,FCE,BTLH,F,AHY,3.7,49.2,17.3,29.5,,,,,,
4100-59121,06/02/2011,18:27,MP1,FCE,BTLH,F,AHY,3.6,50.5,18.6,29.1,,,,,,
4100-59122,06/02/2011,18:44,MP1,FCE,BTLH,F,AHY,3.8,50.4,19.8,31.0,,,,,,
4100-59123,06/02/2011,18:59,MP1,FCE,BTLH,F,AHY,3.45,51.0,19.7,29.6,,,,,,
4100-59124,06/02/2011,19:00,MP1,FCE,BTLH,F,AHY,3.5,50.2,18.6,29.1,,,,,,E6
4100-59125,06/03/2011,8:00,CC3,FCE,BTLH,F,AHY,3.8,51.7,18.8,31.1,,,,,,
4100-59126,06/09/2011,13:25,HPK2,FCE,BTLH,F,AHY,3.2,51.4,18.7,30.6,,,,,,
4100-59127,06/09/2011,14:54,MP1,FCE,BTLH,F,AHY,4.2,50.3,18.1,30.8,,,,,,E7
4100-59128,06/09/2011,15:04,MP1,FCE,BTLH,F,AHY,3.44,49.4,18.9,30.0,,,,,,
4100-59129,06/09/2011,15:18,MP1,FCE,BTLH,F,AHY,3.6,49.3,18.2,30.0,,,,,,
4100-59130,06/09/2011,15:40,MP1,FCE,BTLH,F,AHY,3.77,49.9,19.2,30.0,,,,,,
4100-59131,06/09/2011,16:09,MP1,FCE,BTLH,F,AHY,3.6,49.8,18.0,29.9,,,,,,
4100-59132,06/09/2011,16:09,MP1,FCE,BTLH,F,AHY,4.4,49.4,18.8,29.8,,,,,,E8
4100-59133,06/10/2011,6:25,MCGC,FCE,BTLH,F,AHY,3.3,50.2,18.4,30.2,,,,,,
4100-59134,06/10/2011,10:50,HPK2,FCE,BTLH,F,AHY,3.85,51.2,20.1,31.0,,,,,,
4100-59135,06/10/2011,11:00,HPK2,FCE,BTLH,F,AHY,3.2,50.3,19.1,29.5,,,,,,
4100-59136,06/10/2011,11:43,HPK2,FCE,BTLH,F,AHY,3.5,50.1,18.9,29.5,,,,,,
4100-59137,06/10/2011,12:07,HPK2,FCE,BTLH,F,AHY,3.3,49.5,18.1,30.0,,,,,,
4100-59138,06/10/2011,12:10,HPK2,FCE,BTLH,F,AHY,3.4,48.4,19.0,29.1,,,,,,
4100-59139,06/10/2011,12:33,HPK2,FCE,BTLH,F,AHY,4.1,51.5,19.8,30.0,,,,,,E7
4100-59140,06/12/2011,7:53,MP1,FCE,BTLH,F,AHY,3.8,50.2,18.8,30.2,,,,,,E7
4100-59141,06/12/2011,7:53,MP1,FCE,BTLH,F,AHY,4.6,50.7,18.9,31.0,,,,,,E8
4100-59142,06/12/2011,8:08,MP1,FCE,BTLH,F,AHY,3.6,50.4,19.1,31.0,,,,,,E6
4100-59143,06/12/2011,8:23,MP1,FCE,BTLH,F,AHY,4.1,49.2,19.0,30.8,,,,,,E8
4100-59144,06/12/2011,8:29,MP1,FCE,BTLH,F,AHY,3.7,51.4,17.2,29.8,,,,,,
4100-59145,06/12/2011,8:35,MP1,FCE,BTLH,F,AHY,3.95,50.2,18.0,31.0,,,,,,E7
4100-59146,06/12/2011,8:55,MP1,FCE,BTLH,F,AHY,3.67,50.1,19.1,29.5,,,,,,
