Band Number,Date,Time,Site,Bander,Species,Age,Sex,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
9100-22873,5/10/2012,7:05,MCGC,FCE,BTLH,AHY,F,3.7,50.8,18,31,,,,,,E7
9100-22874,5/13/2012,10:05,MP1,FCE,BTLH,AHY,F,3.3,50.9,18.1,30,,,,,,
9100-22875,5/15/2012,7:33,MP1,FCE,BTLH,AHY,F,3.4,49.7,18.2,29.8,,,,,,
9100-22890,5/4/2012,7:35,MCGC,FCE,BTLH,AHY,M,3.5,50,17.1,31.8,,,,,,
9100-22891,5/10/2012,6:35,MCGC,FCE,BTLH,AHY,M,3.4,49.2,18.1,30.5,,,,,,
9100-22892,5/10/2012,8:01,MCGC,FCE,BTLH,AHY,M,3.2,50.3,18.2,30.6,,,,,,
9100-22893,5/13/2012,9:38,MP1,FCE,BTLH,AHY,M,3.4,49.5,16.8,31.8,,,,,,
9100-22894,5/13/2012,11:00,MP1,FCE,BTLH,AHY,M,3.4,50.5,17.1,31.1,,,,,,
9100-22895,5/13/2012,11:28,MP1,FCE,BTLH,AHY,M,3.3,50.2,17,30.5,,,,,,
9100-22896,5/15/2012,9:09,MP1,FCE,BTLH,AHY,F,3.5,50.5,19.2,30.1,,,,,,
9100-22897,5/15/2012,9:25,MP1,FCE,BTLH,AHY,F,3.5,51.5,18,30,,,,,,
9100-22898,5/15/2012,9:33,MP1,FCE,BTLH,AHY,F,4.3,50,18,31,,,,,,
9100-22899,5/20/2012,6:47,MCGC,FCE,BTLH,AHY,F,3.3,50,18.4,28,,,,,,
9100-22900,5/20/2012,16:30,MP1,FCE,BTLH,AHY,F,3.6,50.7,18.7,30.8,,,,,,
9100-22901,5/22/2012,6:12,MCGC,FCE,BTLH,AHY,F,3.6,49.1,19,28.9,,,,,,
9100-22902,5/22/2012,6:21,MCGC,FCE,BTLH,AHY,F,4.2,51,18.1,31,,,,,,E8
9100-22903,5/22/2012,6:36,MCGC,FCE,BTLH,AHY,F,4.1,50.7,18.8,,,,,,,E8
9100-22904,5/22/2012,7:00,MCGC,FCE,BTLH,AHY,F,3.7,50.9,18,32,,,,,,
9100-22905,5/22/2012,7:08,MCGC,TBE,BTLH,AHY,F,3.6,50.1,18.9,27,,,,,,
9100-22906,5/22/2012,7:13,MCGC,FCE,BTLH,AHY,F,3.4,50.2,18.2,29.2,,,,,,
9100-22907,5/22/2012,7:13,MCGC,FCE,BTLH,AHY,F,3.5,51.4,18.5,29.7,,,,,,
9100-22908,5/22/2012,7:54,MCGC,FCE,BTLH,AHY,F,3.6,50.3,18.9,29,,,,,,
9100-22909,5/22/2012,8:05,MCGC,TBE,BTLH,AHY,F,3.1,50.1,18,28.5,,,,,,
9100-22910,5/22/2012,8:35,MCGC,FCE,BTLH,AHY,F,3.6,50.2,19.2,29.5,,,,,,
9100-22913,5/26/2012,5:58,MCGC,FCE,BTLH,AHY,F,4.9,51.2,18.9,30.5,,,,,,E9
9100-22914,5/26/2012,6:31,MCGC,TBE,BTLH,AHY,F,3,49.4,19.6,30,,,,,,
9100-22915,5/26/2012,6:58,MCGC,FCE,BTLH,AHY,F,3.8,51.1,18.1,29.1,,,,,,
9100-22916,5/26/2012,7:20,MCGC,FCE,BTLH,AHY,F,3.3,50.3,18.2,29.8,,,,,,
9100-22917,5/15/2012,8:02,MP1,FCE,BTLH,AHY,M,3.3,51.8,18.1,33.1,,,,,,
9100-22918,5/26/2012,7:53,MCGC,FCE,BTLH,AHY,F,3.8,49.8,19.2,30,,,,,,E7
9100-22919,5/26/2012,8:32,MCGC,FCE,BTLH,AHY,F,4.1,50.5,18.7,30.2,,,,,,E8
9100-22920,5/26/2012,9:08,MCGC,FCE,BTLH,AHY,F,4.2,50.9,18.1,31.1,,,,,,former H42456; E6
9100-22921,5/26/2012,9:26,MCGC,FCE,BTLH,AHY,F,3.6,50,19.1,30.4,,,,,,
9100-22922,5/26/2012,9:30,MCGC,FCE,BTLH,AHY,F,4,50.8,19,30.8,,,,,,
9100-22923,5/26/2012,16:10,MP1,FCE,BTLH,AHY,F,3.7,51.1,19,30.7,,,,,,
9100-22924,5/26/2012,16:36,MP1,FCE,BTLH,AHY,F,3.9,50.7,19,31.2,,,,,,
9100-22925,5/26/2012,17:09,MP1,FCE,BTLH,AHY,F,4.7,51.5,18.1,,,,,,,E9
9100-22926,5/27/2012,10:52,KV1,FCE,BTLH,AHY,F,3.4,49.5,18.8,30,,,,,,
9100-22927,5/15/2012,8:14,MP1,FCE,BTLH,AHY,M,3.3,48.7,17.7,29.8,,,,,,
9100-22928,5/27/2012,12:42,GNMTN,FCE,BTLH,AHY,F,4.7,49.6,18.4,29.5,,,,,,E9
9100-22929,5/27/2012,13:24,GNMTN,FCE,BTLH,AHY,F,3.9,50.8,17.2,30.8,,,,,,E7
9100-22930,5/27/2012,15:17,HOLZ,FCE,BTLH,AHY,F,3.7,48.7,18.9,29.2,,,,,,
9100-22931,5/27/2012,16:28,HOLZ,FCE,BTLH,AHY,F,4.1,48.7,18.5,30.8,,,,,,E9
9100-22932,5/28/2012,9:01,MP1,FCE,BTLH,AHY,F,3.2,49.6,17.3,29.1,,,,,,E6-
9100-22933,5/28/2012,9:01,MP1,FCE,BTLH,AHY,F,3.9,51.4,18.6,31.1,,,,,,
9100-22934,5/28/2012,9:35,MP1,FCE,BTLH,AHY,F,3.6,49.9,18.8,31,,,,,,
9100-22935,5/28/2012,9:35,MP1,FCE,BTLH,AHY,F,3.9,49.3,19.2,31,,,,,,E6
9100-22936,5/28/2012,9:35,MP1,FCE,BTLH,AHY,F,3.4,50,18.3,31.1,,,,,,
9100-22937,5/28/2012,10:33,MP1,FCE,BTLH,AHY,F,3.5,51.9,18.2,30.3,,,,,,
9100-22938,5/28/2012,10:33,MP1,FCE,BTLH,AHY,F,3.7,50.6,18.5,31.8,,,,,,E7
9100-22939,5/28/2012,10:47,MP1,FCE,BTLH,AHY,F,3.6,49.7,19,30.8,,,,,,
9100-22940,5/28/2012,11:04,MP1,FCE,BTLH,AHY,F,3.8,49.9,18,30.2,,,,,,
9100-22941,5/28/2012,11:05,MP1,FCE,BTLH,AHY,F,3.7,51.2,19.2,30.9,,,,,,E6+
9100-22942,5/28/2012,11:25,MP1,FCE,BTLH,AHY,F,3.5,50.2,19,30,,,,,,
9100-22943,5/28/2012,11:26,MP1,FCE,BTLH,AHY,F,3.7,50.2,19.2,30.2,,,,,,
9100-22944,5/28/2012,12:14,MP1,FCE,BTLH,AHY,F,3.3,50.4,19.2,31.4,,,,,,
9100-22945,5/28/2012,12:40,MP1,FCE,BTLH,AHY,F,3.6,51.5,18,31,,,,,,E6
9100-22946,5/28/2012,12:40,MP1,FCE,BTLH,AHY,F,3.3,50.2,18.7,31.1,,,,,,
9100-22947,5/28/2012,13:49,MP1,FCE,BTLH,AHY,F,3.3,50.4,18.9,31,,,,,,
9100-22948,5/28/2012,14:10,MP1,FCE,BTLH,AHY,F,3.5,49.3,18.6,29.6,,,,,,
9100-22949,5/28/2012,14:10,MP1,FCE,BTLH,AHY,F,3.2,49.7,18.5,30.8,,,,,,
9100-22950,5/28/2012,14:42,MP1,FCE,BTLH,AHY,F,3.5,50.4,18.5,31,,,,,,
9100-22951,5/28/2012,15:00,MP1,FCE,BTLH,AHY,F,3.6,49.6,17.9,30.5,,,,,,
9100-22952,5/28/2012,15:00,MP1,FCE,BTLH,AHY,F,3.6,49.9,17.7,31.2,,,,,,E6
9100-22953,5/28/2012,15:36,MP1,FCE,BTLH,AHY,F,3.6,49.7,18,29.2,,,,,,E6
9100-22954,5/28/2012,15:55,MP1,FCE,BTLH,AHY,M,3.2,48.9,16.2,30.8,,,,,,
9100-22955,5/28/2012,16:20,MP1,FCE,BTLH,AHY,F,3.7,51.3,18.7,31.2,,,,,,
9100-22956,5/29/2012,5:50,MCGC,FCE,BTLH,AHY,F,4.1,48.8,18.2,29,,,,,,E6
9100-22957,5/29/2012,5:50,MCGC,FCE,BTLH,AHY,F,4,50.3,18.3,30.2,,,,,,E6
9100-22958,5/29/2012,6:13,MCGC,FCE,BTLH,AHY,F,4.6,51.9,17.8,30.5,,,,,,E6
9100-22959,5/29/2012,6:13,MCGC,TBE,BTLH,AHY,F,3.5,49.9,18,30,,,,,,
9100-22960,5/29/2012,6:30,MCGC,FCE,BTLH,AHY,F,3.8,50,18.2,29,,,,,,E6
9100-22961,5/29/2012,6:59,MCGC,FCE,BTLH,AHY,F,3.6,49.5,18.3,29.4,,,,,,
9100-22963,5/29/2012,8:36,MCGC,TBE,BTLH,AHY,F,3.4,48.2,18.7,31,,,,,,
9100-22964,5/29/2012,8:40,MCGC,FCE,BTLH,AHY,F,3.8,48.9,19.8,29,,,,,,
9100-22965,5/29/2012,9:25,MCGC,FCE,BTLH,AHY,F,3.7,51.3,17.2,30.5,,,,,,E6
9100-22966,5/29/2012,9:25,MCGC,FCE,BTLH,AHY,F,3.2,49.4,18.2,29,,,,,,
9100-22967,5/29/2012,9:45,MCGC,FCE,BTLH,AHY,F,4.5,49.8,18.3,29.8,,,,,,E9
9100-22968,5/30/2012,8:35,MP1,FCE,BTLH,AHY,F,3.6,50.9,17.6,30,,,,,,
9100-22969,5/30/2012,8:48,MP1,FCE,BTLH,AHY,F,4,50.5,19.2,30,,,,,,
9100-22970,5/30/2012,9:03,MP1,FCE,BTLH,AHY,F,3.6,48.9,,,,,,,,former L58885; E6
9100-22971,5/30/2012,9:04,MP1,FCE,BTLH,AHY,F,3.7,49.1,18.2,29.7,,,,,,E7
9100-22972,5/30/2012,9:04,MP1,FCE,BTLH,AHY,F,3.4,51.2,19.8,31.2,,,,,,
9100-22973,5/30/2012,10:10,MP1,FCE,BTLH,AHY,F,3.7,50.3,18.8,30.5,,,,,,E6-
9100-22974,5/30/2012,10:10,MP1,FCE,BTLH,AHY,F,3.3,50.4,18.1,29.1,,,,,,
9100-22975,5/30/2012,11:25,MP1,FCE,BTLH,AHY,F,3.1,51.2,20,30.9,,,,,,
9100-22976,5/15/2012,7:45,MP1,FCE,BTLH,AHY,M,3.5,49.9,17.2,30.3,,,,,,
9100-22977,5/30/2012,13:10,MP1,FCE,BTLH,AHY,F,3.8,51.2,19,31,,,,,,
9100-22978,5/30/2012,13:10,MP1,FCE,BTLH,AHY,F,3.2,50.9,19.3,30.2,,,,,,
9100-22979,5/31/2012,5:41,MCGC,FCE,BTLH,AHY,F,4,50.5,18,31,,,,,,E8
9100-22980,5/31/2012,6:10,MCGC,FCE,BTLH,AHY,F,3.9,49.1,18.2,29,,,,,,E6-
9100-22981,5/31/2012,6:25,MCGC,FCE,BTLH,AHY,F,3.9,50.9,18.9,29.8,,,,,,
9100-22982,5/31/2012,7:20,MCGC,FCE,BTLH,AHY,F,3,50.2,17,30.8,,,,,,
9100-22983,5/31/2012,7:44,MCGC,FCE,BTLH,AHY,F,3.7,50,18.8,29.2,,,,,,
9100-22984,5/31/2012,7:44,MCGC,FCE,BTLH,AHY,F,4.1,50.9,18.8,29.9,,,,,,E7+
9100-22985,5/31/2012,8:06,MCGC,TBE,BTLH,AHY,F,3.6,49,18.1,28.5,,,,,,
9100-22986,5/31/2012,9:13,MCGC,FCE,BTLH,AHY,F,3.3,50.2,19,31.6,,,,,,
9100-22987,6/1/2012,8:30,MP1,FCE,BTLH,AHY,F,3.4,51.3,18.4,30.5,,,,,,
9100-22988,5/31/2012,9:41,MCGC,FCE,BTLH,AHY,F,3.3,51,18.1,31.2,,,,,,
9100-22989,6/1/2012,8:30,MP1,FCE,BTLH,AHY,F,3.4,51.1,18.4,31.1,,,,,,
9100-22990,6/1/2012,8:30,MP1,TBE,BTLH,AHY,F,3.6,48.6,18.7,31.5,,,,,,E7
9100-22991,6/1/2012,8:52,MP1,FCE,BTLH,AHY,F,3.5,50.9,19,30.7,,,,,,
9100-22992,6/1/2012,8:52,MP1,FCE,BTLH,AHY,F,3.4,49.7,17,29.5,,,,,,
9100-22993,6/1/2012,9:05,MP1,FCE,BTLH,AHY,F,3.8,50.7,18.2,30.1,,,,,,
9100-22994,6/1/2012,9:05,MP1,FCE,BTLH,AHY,F,3.5,50.6,18.8,31.4,,,,,,
9100-22995,6/1/2012,9:28,MP1,FCE,BTLH,AHY,F,3.6,49.9,18.8,30.8,,,,,,E6-
9100-22996,6/1/2012,9:20,MP1,TBE,BTLH,AHY,F,3.3,50.1,18.3,31,,,,,,
9100-22997,6/1/2012,9:28,MP1,FCE,BTLH,AHY,F,3.4,49.6,17.8,28.8,,,,,,
9100-22998,6/1/2012,9:42,MP1,FCE,BTLH,AHY,F,3.5,50.1,17.8,31,,,,,,former L13916 foreign
9100-22999,6/1/2012,10:05,MP1,TBE,BTLH,AHY,F,3.4,49.5,18.5,32,,,,,,
9100-23000,6/1/2012,10:28,MP1,FCE,BTLH,AHY,F,3.7,50.7,19.1,29.1,,,,,,E7
9100-23001,5/15/2012,8:22,MP1,FCE,BTLH,AHY,M,3.5,49.7,17.2,30.5,,,,,,
9100-23002,5/15/2012,8:38,MP1,FCE,BTLH,AHY,M,3.5,49.9,17.6,30.2,,,,,,
9100-23003,5/15/2012,8:52,MP1,FCE,BTLH,AHY,M,3.4,49.3,17.3,32.2,,,,,,
9100-23004,5/15/2012,9:02,MP1,FCE,BTLH,AHY,M,3.7,49.4,16.8,30.8,,,,,,
9100-23005,5/15/2012,9:18,MP1,FCE,BTLH,AHY,M,3.3,50.3,17.2,31,,,,,,
9100-23006,5/20/2012,6:42,MCGC,FCE,BTLH,AHY,M,3.6,49.7,16.9,29.9,,,,,,
9100-23007,5/20/2012,7:54,MCGC,FCE,BTLH,AHY,M,3.4,49,18.2,29.8,,,,,,
9100-23008,5/20/2012,15:30,MP1,FCE,BTLH,AHY,M,3.5,50,18.4,30.8,,,,,,
9100-23009,5/20/2012,15:40,MP1,FCE,BTLH,AHY,M,3.8,50.2,18.2,31.1,,,,,,
9100-23010,5/20/2012,16:21,MP1,FCE,BTLH,AHY,M,3.4,50.4,18.9,30.8,,,,,,
9100-23011,5/20/2012,16:48,MP1,FCE,BTLH,AHY,M,3.4,49.9,17.1,30.1,,,,,,
9100-23012,5/20/2012,17:05,MP1,FCE,BTLH,AHY,M,3.7,49.3,17.2,31.7,,,,,,
9100-23013,5/21/2012,16:33,HOLZ,FCE,BTLH,AHY,M,3.6,50.3,17.2,30.5,,,,,,
9100-23014,5/22/2012,5:48,MCGC,FCE,BTLH,AHY,M,3.3,49.2,16.9,30,,,,,,
9100-23015,5/22/2012,6:46,MCGC,FCE,BTLH,AHY,M,3.4,50.7,17.1,29.9,,,,,,
9100-23016,5/22/2012,7:28,MCGC,FCE,BTLH,AHY,M,3.3,50.8,17.2,31.2,,,,,,
9100-23017,5/22/2012,7:45,MCGC,FCE,BTLH,AHY,M,3.6,49.4,18,31.2,,,,,,
9100-23018,5/22/2012,8:05,MCGC,FCE,BTLH,AHY,M,3.5,50.7,17.4,31.1,,,,,,
9100-23019,5/22/2012,8:13,MCGC,FCE,BTLH,AHY,M,3.2,49.5,17,29.9,,,,,,
9100-23020,5/22/2012,8:18,MCGC,FCE,BTLH,AHY,M,3.5,50,17.2,32.5,,,,,,
9100-23021,5/22/2012,8:25,MCGC,FCE,BTLH,AHY,M,3.4,49.6,17.2,30.4,,,,,,
9100-23022,5/22/2012,8:25,MCGC,TBE,BTLH,AHY,M,3.5,49.1,17.2,30,,,,,,
9100-23023,5/22/2012,16:36,MP1,FCE,BTLH,AHY,M,3.2,48.9,17.5,31.2,,,,,,
9100-23024,5/22/2012,16:37,MP1,FCE,BTLH,AHY,M,3.1,48.5,17.7,31.9,,,,,,
9100-23026,5/26/2012,6:35,MCGC,FCE,BTLH,AHY,M,3.3,49,18,32,,,,,,
9100-23027,5/26/2012,6:54,MCGC,FCE,BTLH,AHY,M,3.3,50.1,17.1,32,,,,,,
9100-23028,5/26/2012,7:06,MCGC,FCE,BTLH,AHY,M,3.5,49.8,17,31.8,,,,,,
9100-23029,5/26/2012,7:41,MCGC,FCE,BTLH,AHY,M,3.6,48.4,16.9,30.5,,,,,,
9100-23030,5/26/2012,8:12,MCGC,FCE,BTLH,AHY,M,3.3,49.8,17.2,31.7,,,,,,
9100-23031,5/26/2012,8:15,MCGC,FCE,BTLH,AHY,M,3.2,49.9,17.2,31.2,,,,,,
9100-23032,5/26/2012,8:20,MCGC,FCE,BTLH,AHY,M,3.3,50.8,18.3,31,,,,,,
9100-23033,5/26/2012,8:35,MCGC,FCE,BTLH,AHY,M,3.2,49.1,16.6,30.3,,,,,,
9100-23034,5/26/2012,8:37,MCGC,TBE,BTLH,AHY,M,3.3,49.2,18.4,32,,,,,,
9100-23035,5/26/2012,8:52,MCGC,FCE,BTLH,AHY,M,3.1,49.6,16.1,31.9,,,,,,
9100-23036,5/26/2012,8:59,MCGC,FCE,BTLH,AHY,M,4,51.6,18.8,31.1,,,,,,
9100-23037,5/26/2012,16:10,MP1,FCE,BTLH,AHY,M,3.2,50,17.2,33,,,,,,
9100-23038,5/26/2012,16:24,MP1,FCE,BTLH,AHY,M,3.1,48.6,17.1,30.2,,,,,,
9100-23039,5/26/2012,17:00,MP1,FCE,BTLH,AHY,M,3.8,49.9,17.2,30.5,,,,,,
9100-23040,5/26/2012,17:09,MP1,FCE,BTLH,AHY,M,3.4,49.6,17,31,,,,,,
9100-23041,5/27/2012,12:52,GNMTN,FCE,BTLH,AHY,M,3.2,50.7,17.3,32.6,,,,,,
9100-23042,5/27/2012,13:36,GNMTN,FCE,BTLH,AHY,M,3.2,49.2,18.2,31,,,,,,
9100-23043,5/28/2012,9:01,MP1,FCE,BTLH,AHY,M,3.4,49.9,17.2,31.2,,,,,,
9100-23044,5/28/2012,10:09,MP1,FCE,BTLH,AHY,M,3.2,49.7,18.2,31.4,,,,,,
9100-23045,5/28/2012,10:09,MP1,FCE,BTLH,AHY,M,3.5,48.2,17.9,30.2,,,,,,
9100-23046,5/28/2012,10:09,MP1,FCE,BTLH,AHY,M,3.1,49.8,16.7,31.1,,,,,,
9100-23047,5/28/2012,11:05,MP1,FCE,BTLH,AHY,M,3.4,50.1,17.6,31.8,,,,,,
9100-23048,5/28/2012,11:25,MP1,FCE,BTLH,AHY,M,3.8,51.5,18.1,30,,,,,,
9100-23049,5/28/2012,11:26,MP1,FCE,BTLH,AHY,M,3.2,50.7,18.1,32.8,,,,,,
9100-23050,5/28/2012,11:47,MP1,FCE,BTLH,AHY,M,3.8,49.7,17.2,31.2,,,,,,
9100-23051,5/28/2012,11:47,MP1,FCE,BTLH,AHY,M,3.4,49.2,18,31,,,,,,
9100-23052,5/28/2012,12:14,MP1,FCE,BTLH,AHY,M,3,50.3,17.2,31.9,,,,,,
9100-23053,5/28/2012,12:14,MP1,FCE,BTLH,AHY,M,3.5,50.1,16.3,31.2,,,,,,
9100-23054,5/28/2012,12:40,MP1,FCE,BTLH,AHY,M,2.8,48.2,17.3,31,,,,,,
9100-23055,5/28/2012,14:42,MP1,FCE,BTLH,AHY,M,3.1,50.2,17.8,30.9,,,,,,
9100-23056,5/28/2012,14:42,MP1,FCE,BTLH,AHY,M,3.6,50,17.1,30.1,,,,,,
9100-23057,5/28/2012,15:00,MP1,FCE,BTLH,AHY,M,3.3,49.5,18.3,31.2,,,,,,
9100-23058,5/28/2012,15:36,MP1,FCE,BTLH,AHY,M,3.2,50,18.1,30.2,,,,,,
9100-23059,5/28/2012,16:00,MP1,FCE,BTLH,AHY,M,3.6,50.6,17,30.5,,,,,,
9100-23060,5/28/2012,16:20,MP1,FCE,BTLH,AHY,M,3.5,49.7,17.1,31.5,,,,,,
9100-23061,5/29/2012,5:50,MCGC,FCE,BTLH,AHY,M,3.3,48.4,17,30.6,,,,,,
9100-23062,5/29/2012,6:13,MCGC,FCE,BTLH,AHY,M,3.5,50.4,18.2,30.5,,,,,,
9100-23063,5/29/2012,6:30,MCGC,TBE,BTLH,AHY,M,3.3,47.7,18.1,31,,,,,,
9100-23064,5/29/2012,6:59,MCGC,FCE,BTLH,AHY,M,3.4,49.5,17,31.6,,,,,,
9100-23065,5/29/2012,7:20,MCGC,TBE,BTLH,AHY,M,3.6,48.3,18.5,32,,,,,,
9100-23066,5/29/2012,7:20,MCGC,FCE,BTLH,AHY,M,3.4,49.2,17.4,32.2,,,,,,
9100-23067,5/29/2012,7:35,MCGC,FCE,BTLH,AHY,M,3.4,51.1,18.2,31.5,,,,,,
9100-23068,5/29/2012,7:46,MCGC,FCE,BTLH,AHY,M,3.5,49.4,18,31.9,,,,,,
9100-23069,5/29/2012,7:55,MCGC,FCE,BTLH,AHY,M,3.8,48.4,18,31.2,,,,,,
9100-23070,5/29/2012,8:10,MCGC,FCE,BTLH,AHY,M,3.6,49.4,17.1,33.1,,,,,,
9100-23071,5/29/2012,8:10,MCGC,FCE,BTLH,AHY,M,3.5,50.9,17.2,32.1,,,,,,
9100-23072,5/29/2012,9:00,MCGC,FCE,BTLH,AHY,M,3.6,49.7,17.8,30.5,,,,,,
9100-23073,5/29/2012,9:10,MCGC,FCE,BTLH,AHY,M,3.3,48.6,17.8,31.2,,,,,,
9100-23074,5/29/2012,9:15,MCGC,FCE,BTLH,AHY,M,3.6,49.3,17.1,31.9,,,,,,
9100-23075,5/29/2012,9:25,MCGC,FCE,BTLH,AHY,M,3.5,51.4,17,32.5,,,,,,
9100-23076,5/30/2012,8:35,MP1,FCE,BTLH,AHY,M,3.3,48.5,17,31,,,,,,
9100-23077,5/30/2012,9:05,MP1,FCE,BTLH,AHY,M,3,48.8,17.1,31.6,,,,,,
9100-23078,5/30/2012,9:50,MP1,FCE,BTLH,AHY,M,3.5,51,18.1,32,,,,,,
9100-23079,5/30/2012,9:04,MP1,FCE,BTLH,AHY,M,3.1,50.4,17,31.4,,,,,,
9100-23080,5/30/2012,9:04,MP1,FCE,BTLH,AHY,M,3.3,50.8,18,31.5,,,,,,
9100-23081,5/30/2012,10:45,MP1,FCE,BTLH,AHY,M,3.2,49.5,18.5,31.2,,,,,,
9100-23082,5/30/2012,10:45,MP1,FCE,BTLH,AHY,M,3.4,49.9,18.8,31.1,,,,,,
9100-23083,5/30/2012,11:05,MP1,FCE,BTLH,AHY,M,3.3,50.1,18,30.4,,,,,,
9100-23084,5/30/2012,11:05,MP1,FCE,BTLH,AHY,M,3.2,50,17.1,31,,,,,,
9100-23085,5/30/2012,11:25,MP1,FCE,BTLH,AHY,M,3.4,50.1,17.2,30.8,,,,,,
9100-23086,5/30/2012,11:55,MP1,FCE,BTLH,AHY,M,3.4,49,17.8,31.7,,,,,,
9100-23087,5/30/2012,11:55,MP1,FCE,BTLH,AHY,M,3.5,48.3,18,31.1,,,,,,
9100-23088,5/30/2012,13:10,MP1,FCE,BTLH,AHY,M,3.3,49.2,17.1,31,,,,,,
9100-23089,5/30/2012,13:10,MP1,FCE,BTLH,AHY,M,3.1,49.6,17.9,31.6,,,,,,
9100-23090,5/31/2012,6:11,MCGC,FCE,BTLH,AHY,M,3.6,48.7,18,29.5,,,,,,
9100-23091,5/31/2012,6:35,MCGC,FCE,BTLH,AHY,M,3.6,49.2,16.9,31.1,,,,,,
9100-23092,5/31/2012,6:35,MCGC,FCE,BTLH,AHY,M,3.2,51.2,18.3,31,,,,,,
9100-23093,5/31/2012,6:54,MCGC,TBE,BTLH,AHY,M,3.3,49.1,18.1,30,,,,,,
9100-23094,5/31/2012,7:00,MCGC,FCE,BTLH,AHY,M,3.3,49.1,18.1,31.8,,,,,,
9100-23095,5/31/2012,7:00,MCGC,FCE,BTLH,AHY,M,3.6,49.5,17.1,31.2,,,,,,
9100-23096,5/31/2012,8:06,MCGC,FCE,BTLH,AHY,M,3.6,50.3,18.1,32,,,,,,
9100-23097,5/31/2012,8:35,MCGC,FCE,BTLH,AHY,M,3.4,49.8,17.2,33,,,,,,
9100-23098,5/31/2012,9:03,MCGC,FCE,BTLH,AHY,M,3.6,49.3,17,31.5,,,,,,
9100-23099,5/31/2012,9:29,MCGC,FCE,BTLH,AHY,M,3.4,49.5,18.1,30.2,,,,,,
9100-23100,5/31/2012,9:35,MCGC,FCE,BTLH,AHY,F,4,50.9,18.8,30.3,,,,,,E8
9100-23101,6/1/2012,11:10,MP1,FCE,BTLH,AHY,F,3.9,49.9,18.8,30.2,,,,,,E8
9100-23102,6/1/2012,16:17,KV1,TBE,BTLH,AHY,F,3.8,49.9,19,30,,,,,,
9100-23103,6/1/2012,16:25,KV1,FCE,BTLH,AHY,F,3.1,50.4,19.8,29.4,,,,,,
9100-23104,6/1/2012,16:25,KV1,FCE,BTLH,AHY,F,3.5,51.1,19.1,30,,,,,,
9100-23105,6/1/2012,16:56,KV1,FCE,BTLH,AHY,F,4.1,51.1,19.3,31.1,,,,,,E8
9100-23106,6/2/2012,6:01,MCGC,TBE,BTLH,AHY,F,3.7,49.7,18.1,28,,,,,,
9100-23107,6/2/2012,7:05,MCGC,TBE,BTLH,AHY,F,3.7,49,18,29.5,,,,,,E7
9100-23108,6/2/2012,7:05,MCGC,TBE,BTLH,AHY,F,3.5,49.5,18.2,30,,,,,,
9100-23109,6/2/2012,7:18,MCGC,FCE,BTLH,AHY,F,3.3,50,20,30.2,,,,,,
9100-23110,6/2/2012,7:35,MCGC,TBE,BTLH,AHY,F,3.6,49.1,18.3,31,,,,,,
9100-23111,6/2/2012,7:35,MCGC,FCE,BTLH,AHY,F,3.4,51.4,20,31.5,,,,,,
9100-23112,6/2/2012,7:59,MCGC,TBE,BTLH,AHY,F,3.7,50.8,18,30,,,,,,
9100-23113,6/5/2012,6:45,MCGC,TBE,BTLH,AHY,F,3.3,49.7,20,29,,,,,,
9100-23114,6/5/2012,7:10,MCGC,FCE,BTLH,AHY,F,3.9,49.9,18,30.4,,,,,,
