Band Number,Date,Time,Site,Bander,Species,Age,Sex,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,Old Band Number
4100-08014,05/28/2010,6:52,MCGC,FCE,BTLH,AHY,F,4.4,51.2,18.2,31.0,,,,,,,
4100-08015,05/28/2010,6:58,MCGC,TBE,BTLH,AHY,F,,,,,,,,,,,
4100-08016,05/28/2010,12:09,MP1,FCE,BTLH,AHY,F,3.7,49.9,18.3,29.5,,,,,,,
4100-08017,05/28/2010,12:22,MP1,FCE,BTLH,AHY,F,3.6,49.7,18.2,28.8,,,,,,,
4100-08018,05/28/2010,12:35,MP1,FCE,BTLH,AHY,F,3.6,49.5,18.6,30.0,,,,,,,
4100-08019,05/28/2010,12:45,MP1,FCE,BTLH,AHY,F,3.9,50.3,18.2,31.5,,,,,,,
4100-08020,05/28/2010,12:45,MCGC,FCE,BTLH,AHY,F,3.8,49.2,19.0,30.2,,,,,,,
4100-08034,05/15/2010,10:18,MCGC,FCE,BTLH,AHY,F,3.7,50.1,18.9,31.0,,,,,,,
4100-08035,05/15/2010,10:42,MCGC,FCE,BTLH,AHY,F,3.4,51.7,19.8,30.8,,,,,,,
4100-08036,05/16/2010,9:07,MCGC,FCE,BTLH,AHY,F,4,50.8,18.2,31.2,,,,,,,
4100-08037,05/16/2010,15:15,MP1,FCE,BTLH,AHY,F,3.5,49.3,19.1,30.8,,,,,,,
4100-08038,05/16/2010,15:48,MP1,FCE,BTLH,AHY,F,3.8,53.0,18.8,32.0,,,,,,,
4100-08039,05/17/2010,8:05,MCGC,FCE,BTLH,AHY,F,3.3,50.1,18.3,31.0,,,,,,,
4100-08040,05/17/2010,8:50,MCGC,FCE,BTLH,AHY,F,3.5,49.9,18.0,29.0,,,,,,,
4100-08066,05/16/2010,15:25,MP1,FCE,BTLH,AHY,M,3.5,49.2,17.5,31.5,,,,,,,
4100-08067,05/16/2010,16:09,MP1,FCE,BTLH,AHY,M,3.2,50.1,16.0,30.3,,,,,,,
4100-08068,05/16/2010,16:13,MP1,FCE,BTLH,AHY,M,4,49.6,17.1,30.5,,,,,,,
4100-08069,05/16/2010,16:14,MP1,FCE,BTLH,AHY,M,3.6,49.8,18.2,30.2,,,,,,,
4100-08070,05/16/2010,16:25,MP1,FCE,BTLH,AHY,M,3.3,51.2,18.2,32.0,,,,,,,
4100-08071,05/16/2010,16:48,MP1,FCE,BTLH,AHY,M,3.2,50.1,17.9,32.1,,,,,,,
4100-08072,05/16/2010,17:08,MP1,FCE,BTLH,AHY,M,3.2,49.7,15.7,30.0,,,,,,,
4100-08073,05/17/2010,8:00,MCGC,FCE,BTLH,AHY,M,3.6,50.6,18.0,31.0,,,,,,,
4100-08074,05/17/2010,8:05,MCGC,FCE,BTLH,AHY,M,3.2,50.6,17.0,31.0,,,,,,,
4100-08075,05/17/2010,8:28,MCGC,FCE,BTLH,AHY,M,3.1,50.5,17.2,32.0,,,,,,,
4100-08076,05/17/2010,9:03,MCGC,FCE,BTLH,AHY,M,4,50.4,18.2,31.0,,,,,,,
4100-08077,05/17/2010,9:34,MCGC,FCE,BTLH,AHY,M,3.6,49.1,16.2,31.0,,,,,,,
4100-08078,05/17/2010,9:40,MCGC,FCE,BTLH,AHY,M,3.6,50.1,17.8,31.0,,,,,,,
4100-08079,05/17/2010,9:43,MCGC,FCE,BTLH,AHY,M,3.3,50.1,17.6,30.1,,,,,,,
4100-08080,05/17/2010,12:39,MP1,FCE,BTLH,AHY,M,3.5,51.5,17.1,32.0,,,,,,,
4100-08081,05/17/2010,12:42,MP1,FCE,BTLH,AHY,M,3.8,48.8,17.9,31.0,,,,,,,
4100-08082,05/17/2010,12:42,MP1,FCE,BTLH,AHY,M,3.2,50.5,16.8,30.2,,,,,,,
4100-08083,05/17/2010,13:13,MP1,FCE,BTLH,AHY,M,3.6,50.1,17.0,31.0,,,,,,,
4100-08084,05/17/2010,13:20,MP1,FCE,BTLH,AHY,M,3.1,49.4,16.2,31.6,,,,,,,
4100-08085,07/10/2010,7:38,MCGC,TBE,RUHU,AHY,M,3.4,38.7,15.0,28.0,,,,,,,
4100-08086,05/17/2010,13:25,MP1,FCE,BTLH,AHY,M,3.6,50.5,17.8,30.5,,,,,,,
4100-08087,05/17/2010,13:25,MP1,FCE,BTLH,AHY,M,3.4,49.1,16.8,31.9,,,,,,,
4100-08088,05/17/2010,13:38,MP1,FCE,BTLH,AHY,M,3.5,49.5,16.6,29.8,,,,,,,
4100-08089,05/17/2010,13:39,MP1,FCE,BTLH,AHY,M,3.5,50.4,17.5,32.0,,,,,,,
4100-08090,05/17/2010,14:13,MP1,FCE,BTLH,AHY,M,3.3,49.3,17.9,31.0,,,,,,,
4100-08091,05/17/2010,14:24,MP1,FCE,BTLH,AHY,M,3.3,48.9,17.2,31.0,,,,,,,
4100-08092,05/17/2010,14:30,MP1,FCE,BTLH,AHY,M,3.1,50.5,17.8,30.0,,,,,,,
4100-08093,05/17/2010,17:15,MCGC,FCE,BTLH,AHY,M,3.4,50.8,18.1,33.0,,,,,,,
4100-08094,05/17/2010,17:22,MCGC,FCE,BTLH,AHY,M,3.5,50.6,17.0,28.0,,,,,,,
4100-08095,05/17/2010,17:25,MCGC,FCE,BTLH,AHY,M,3.3,49.2,17.0,30.0,,,,,,,
4100-08096,05/17/2010,17:32,MCGC,FCE,BTLH,AHY,M,3.4,49.2,17.2,30.1,,,,,,,
4100-08097,05/17/2010,17:40,MCGC,FCE,BTLH,AHY,M,3.7,51.2,17.1,28.0,,,,,,,
4100-08098,05/17/2010,17:50,MCGC,FCE,BTLH,AHY,M,3.3,49.6,18.0,32.0,,,,,,,
4100-08099,05/17/2010,18:00,MCGC,FCE,BTLH,AHY,M,3.3,50.4,17.0,32.0,,,,,,,
4100-08100,05/21/2010,7:28,MCGC,FCE,BTLH,AHY,M,3.5,48.4,17.0,31.2,,,,,,,
4100-08101,05/17/2010,13:55,MP1,FCE,BTLH,AHY,F,3.6,51.2,19.8,30.0,,,,,,,600082608
4100-08102,05/17/2010,14:00,MP1,FCE,BTLH,AHY,F,3.2,49.2,18.3,30.0,,,,,,,
4100-08103,05/17/2010,14:15,MP1,FCE,BTLH,AHY,F,3.4,50.7,18.8,30.2,,,,,,,
4100-08104,05/17/2010,17:10,MCGC,FCE,BTLH,AHY,F,3.8,49.6,19.0,30.2,,,,,,,
4100-08105,05/21/2010,7:44,MCGC,FCE,BTLH,AHY,F,3.4,49.9,18.8,29.9,,,,,,,
4100-08106,05/21/2010,8:05,MCGC,FCE,BTLH,AHY,F,3.8,49.3,19.4,30.3,,,,,,,
4100-08107,05/21/2010,8:20,MCGC,FCE,BTLH,AHY,F,3.9,49.1,18.4,30.5,,,,,,,
4100-08108,05/21/2010,8:47,MCGC,FCE,BTLH,AHY,F,4,50.7,18.6,29.8,,,,,,,
4100-08109,05/21/2010,8:47,MCGC,FCE,BTLH,AHY,F,3.8,50.3,18.8,31.0,,,,,,,
4100-08110,05/21/2010,9:25,MCGC,FCE,BTLH,AHY,F,3.4,49.5,17.8,30.6,,,,,,,
4100-08111,05/21/2010,9:45,MCGC,FCE,BTLH,AHY,F,3.3,50.4,17.2,30.8,,,,,,,
4100-08112,05/21/2010,10:00,MCGC,FCE,BTLH,AHY,F,4.1,51.2,20.8,30.2,,,,,,,
4100-08113,05/21/2010,10:00,MCGC,FCE,BTLH,AHY,F,3.5,49.7,19.0,30.1,,,,,,,
4100-08114,05/21/2010,18:50,MCGC,FCE,BTLH,AHY,F,3.6,50.5,17.9,30.8,,,,,,,
4100-08115,05/21/2010,19:05,MCGC,FCE,BTLH,AHY,F,3.7,49.3,,30.6,,,,,,,
4100-08116,05/21/2010,19:19,MCGC,FCE,BTLH,AHY,F,3.7,49.9,19.1,30.4,,,,,,,
4100-08117,05/21/2010,19:19,MCGC,FCE,BTLH,AHY,F,3.7,51.0,17.8,32.0,,,,,,,
4100-08118,05/22/2010,11:00,MP1,FCE,BTLH,AHY,F,3.4,51.6,18.2,31.0,,,,,,,
4100-08119,05/22/2010,11:00,MP1,FCE,BTLH,AHY,F,3.6,51.2,18.5,30.5,,,,,,,
4100-08120,05/22/2010,11:18,MP1,FCE,BTLH,AHY,F,3.3,49.6,19.2,30.2,,,,,,,
4100-08121,05/22/2010,11:18,MP1,FCE,BTLH,AHY,F,3.3,48.4,19.5,30.7,,,,,,,
4100-08122,05/22/2010,11:42,MP1,FCE,BTLH,AHY,F,3.8,51.3,18.2,31.0,,,,,,,
4100-08123,05/22/2010,12:06,MP1,FCE,BTLH,AHY,F,3.6,50.8,18.0,30.2,,,,,,,
4100-08124,05/22/2010,12:43,MP1,FCE,BTLH,AHY,F,3.5,51.6,20.8,29.0,,,,,,,
4100-08125,05/22/2010,12:43,MP1,FCE,BTLH,AHY,F,3.2,49.6,20.0,30.0,,,,,,,
4100-08126,05/23/2010,7:27,MCGC,TBE,BTLH,AHY,F,3.8,49.3,19.0,31.0,,,,,,,
4100-08127,05/23/2010,7:27,MCGC,TBE,BTLH,AHY,F,3.6,49.5,18.0,30.0,,,,,,,
4100-08128,05/23/2010,8:46,MCGC,TBE,BTLH,AHY,F,3.7,49.6,18.0,29.5,,,,,,,
4100-08129,05/23/2010,9:13,MCGC,TBE,BTLH,AHY,F,3.9,49.9,18.5,31.0,,,,,,,
4100-08130,05/23/2010,17:28,MCGC,TBE,BTLH,AHY,F,3.9,49.3,17.4,29.5,,,,,,,
4100-08131,05/23/2010,17:51,MCGC,TBE,BTLH,AHY,F,3.6,48.2,18.0,28.0,,,,,,,
4100-08132,05/23/2010,18:25,MCGC,TBE,BTLH,AHY,F,3.5,49.8,18.6,30.0,,,,,,,
4100-08133,05/23/2010,18:55,MCGC,TBE,BTLH,AHY,F,3.8,48.9,18.4,31.0,,,,,,,
4100-08134,05/23/2010,19:03,MCGC,TBE,BTLH,AHY,F,4,49.1,18.0,31.0,,,,,,,
4100-08135,05/25/2010,6:57,MCGC,FCE,BTLH,AHY,F,3.8,51.2,17.2,30.2,,,,,,,
4100-08136,05/25/2010,6:57,MCGC,FCE,BTLH,AHY,F,3.7,50.4,18.8,29.9,,,,,,,
4100-08137,05/25/2010,7:28,MCGC,TBE,BTLH,AHY,F,3.5,50.7,18.9,32.0,,,,,,,
4100-08138,05/25/2010,7:37,MCGC,FCE,BTLH,AHY,F,3.7,50.2,18.0,31.1,,,,,,,
4100-08139,05/25/2010,8:25,MCGC,FCE,BTLH,AHY,F,4.2,49.1,18.5,29.0,,,,,,,
4100-08140,05/25/2010,12:42,HPK2,FCE,BTLH,AHY,F,3.3,49.7,19.2,29.3,,,,,,,
4100-08141,05/25/2010,12:58,HPK2,FCE,BTLH,AHY,F,3.9,50.4,17.9,30.0,,,,,,,
4100-08142,05/25/2010,13:13,HPK2,FCE,BTLH,AHY,F,3.8,50.9,19.6,31.5,,,,,,,
4100-08143,05/25/2010,13:27,HPK2,FCE,BTLH,AHY,F,3.6,50.8,18.4,30.1,,,,,,,
4100-08144,05/25/2010,14:11,HPK2,FCE,BTLH,AHY,F,3.6,52.1,18.5,31.0,,,,,,,
4100-08145,05/25/2010,14:11,HPK2,FCE,BTLH,AHY,F,4.1,49.1,18.1,31.0,,,,,,,
4100-08146,05/25/2010,15:32,MP1,FCE,BTLH,AHY,F,3.5,50.4,18.0,29.0,,,,,,,
4100-08147,05/25/2010,15:50,MP1,FCE,BTLH,AHY,F,3.6,50.1,18.7,29.8,,,,,,,
