"","site_name","calendar_date","ndvi"
"656","ws53","2005-06-26",0.8349
"657","ws53","2005-07-12",0.8027
"658","ws53","2005-07-28",0.8675
"659","ws53","2005-08-13",0.7855
"660","ws53","2005-08-29",0.802
"661","ws53","2005-09-14",0.4211
"662","ws53","2005-09-30",0.1529
"663","ws53","2005-10-16",0.8011
"664","ws53","2005-11-01",0.7668
"665","ws53","2005-11-17",0.774
"666","ws53","2005-12-03",0.7379
"667","ws53","2005-12-19",0.7116
"668","ws53","2006-01-01",0.5811
"669","ws53","2006-01-17",0.6158
"670","ws53","2006-02-02",0.5066
"671","ws53","2006-02-18",0.5168
"672","ws53","2006-03-06",0.5234
"673","ws53","2006-03-22",0.5903
"674","ws53","2006-04-07",0.5303
"675","ws53","2006-04-23",0.5368
"676","ws53","2006-05-09",0.5182
"677","ws53","2006-05-25",0.1233
"678","ws53","2006-06-10",0.8316
"679","ws53","2006-06-26",0.7847
"680","ws53","2006-07-12",0.8234
"681","ws53","2006-07-28",0.7689
"682","ws53","2006-08-13",0.4578
"683","ws53","2006-08-29",0.3344
"684","ws53","2006-09-14",0.8198
"685","ws53","2006-09-30",0.8463
"686","ws53","2006-10-16",0.7981
"687","ws53","2006-11-01",0.8345
"688","ws53","2006-11-17",0.7346
"689","ws53","2006-12-03",0.6211
"690","ws53","2006-12-19",0.6153
"691","ws53","2007-01-01",0.6059
"692","ws53","2007-01-17",0.6113
"693","ws53","2007-02-02",0.5663
"694","ws53","2007-02-18",0.5584
"695","ws53","2007-03-06",0.5836
"696","ws53","2007-03-22",0.5209
"697","ws53","2007-04-07",0.5893
"698","ws53","2007-04-23",0.6825
"699","ws53","2007-05-09",0.733
"700","ws53","2007-05-25",0.1904
"701","ws53","2007-06-10",0.7718
"702","ws53","2007-06-26",0.7746
"703","ws53","2007-07-12",0.8007
"704","ws53","2007-07-28",0.5299
"705","ws53","2007-08-13",0.4795
"706","ws53","2007-08-29",0.3064
"707","ws53","2007-09-14",0.7172
"708","ws53","2007-09-30",0.8289
"709","ws53","2007-10-16",0.7984
"710","ws53","2007-11-01",0.786
"711","ws53","2007-11-17",0.7477
"712","ws53","2007-12-03",0.7073
"713","ws53","2007-12-19",0.6057
"714","ws53","2008-01-01",0.5621
"715","ws53","2008-01-17",0.4742
"716","ws53","2008-02-02",0.4379
"717","ws53","2008-02-18",0.52
"718","ws53","2008-03-05",0.597
"719","ws53","2008-03-21",0.668
"720","ws53","2008-04-06",0.6592
"721","ws53","2008-04-22",0.637
"722","ws53","2008-05-08",0.6194
"723","ws53","2008-05-24",0.691
"724","ws53","2008-06-09",0.7334
"725","ws53","2008-06-25",0.7821
"726","ws53","2008-07-11",0.7906
"727","ws53","2008-07-27",0.6281
"728","ws53","2008-08-12",0.8096
"729","ws53","2008-08-28",0.1762
"730","ws53","2008-09-13",0.826
"731","ws53","2008-09-29",0.8821
"732","ws53","2008-10-15",0.7005
"733","ws53","2008-10-31",0.7234
"734","ws53","2008-11-16",0.695
"735","ws53","2008-12-02",0.6608
"736","ws53","2008-12-18",0.5899
"737","ws53","2009-01-01",0.6092
"738","ws53","2009-01-17",0.569
