Initials-Bdr,Location,year,mo,day,time,Band Status,Band Number,Tarsus / Condition,Band Size,Species,Sex,Age,Removed band num,GorColor,GorCount (%),Head GCnt (%),Grooves,Buffy,PriWidth / P10 Shape,Wng-TailTrait,TailCent,TailMid,TailOut,TailMeas (#),WingCd,Culmen,Pollen– Color,Fat,CPBreed,Gorget/head molt,Body Molt,Primary Molt,Secondary Molt,Tail Molt,Weight,Feather collected,Photo(s) taken,Sample Collected,Day Recap #,recap time 1,recap time 2,recap time 3,recap time 4,Comment
GS,HC,2021,7,10,9:56,1,U07751,F,G,BCHU,F,1,,LS,,,,,U,E,,,P,,46,21.5,N,0,2,1,1,M,L,L,3.58,,,,,,,,,
SMW,HC,2021,8,8,6:30,1,U07752,F,G,BCHU,F,2,,MS,,,3,Y,U,R,,4X3,R,,47,20.3,N,0,2,2,F,F,F,L,3.24,,,,,,,,,
SMW,HC,2021,8,8,6:35,1,U07753,F,G,BCHU,F,2,,LS,,,2,Y,U,R,,4X4,R,,46.5,22.3,N,0,2,1,F,F,F,L,3.4,,,,,,,,,
SMW,HC,2021,8,8,6:57,1,U07754,G,G,BCHU,F,1,,MS,,,,,U,E,,,P,,46.5,21.5,N,P,2,2,2,4,F,M,3.46,,,,,,,,,
SMW,HC,2021,8,8,7:02,1,U07755,F,G,BCHU,F,1,,NS,,,0,N,U,E,,4X3,P,,46,19.7,N,0,2,1,1,6,F,M,3.28,,,,,,,,,
SMW,HC,2021,8,8,7:29,1,U07756,G,G,BBLH,F,2,,,,,2,Y,,,,,,,51,22.5,N,0,2,2,3,3,F,F,3.42,,,,,,,,,
SMW,HC,2021,8,8,8:30,1,U07757,F,G,BCHU,F,1,,NS,,,0,N,U,E,,,P,,46,22.3,N,0,2,2,2,L,F,M,3.41,,,,,,,,,
SMW,HC,2021,8,8,9:54,1,U07758,F,G,ANHU,F,2,,R,5,,2,Y,E,E,,,,,0,18.4,N,T,2,1,1,0,F,,4.09,,,, , ,,,,MISSING TAIL FEATHERS
SMW,HC,2021,8,8,10:24,1,U07759,F,G,BCHU,F,1,,MS,,,,,E,U,,,P,,47,22.4,N,0,2,1,1,5,F,M,3.43,,,,,,,,,
SMW,HC,2021,8,8,10:30,1,U07760,F,G,BCHU,F,2,,NS,,,2,Y,U,R,,4X4,R,,46,20.3,N,0,2,2,2,F,F,L,3.1,,,,,,,,,
SMW,HC,2021,8,21,6:30,1,U07761,F,G,BCHU,F,1,,MS,,,,,U,E,,,P,,45.5,19.8,N,0,5,1,F,L,F,L,3.15,,,,,,,,,
SMW,HC,2021,8,21,7:07,1,U07762,G,G,BCHU,F,2,,LS,,,3,Y,U,R,,4X4,R,,46,20.7,WH,0,2,F,F,F,F,L,3.15,,,,,,,,,
SMW,HC,2021,8,21,10:27,1,U07763,F,G,BCHU,F,2,,LS,,,1,S,U,R,,5X4,R,,45,20.2,WH,0,2,2,1,F,F,L,3.05,,,,,,,,,
SMW,HC,2021,9,4,6:31,1,U07764,F,G,BCHU,F,1,,LS,,,0,N,U,E,,,P,,47,23.4,N,P,5,F,1,L,F,L,3.51,,,,,,,,,
SMW,HC,2021,9,4,6:36,1,U07765,F,G,BCHU,F,1,,NS,,,0,N,U,E,,,P,,46.5,22.3,N,0,5,F,F,4,F,L,3.29,,,,,,,,,
SMW,HC,2021,9,4,6:45,1,U07766,F,G,BCHU,F,1,,LS,,,0,N,U,E,,,P,,46,21,N,0,2,1,F,6,L,M,3.51,,,,,,,,,
SMW,HC,2021,9,4,7:06,1,U07767,F,G,BCHU,F,1,,NS,,,0,N,U,,,E,P,,0,20.5,WH,P,2,1,1,0,F,2,3.1,,,,,,,,,DELETE WING CHORD MEASUREMENT
SMW,HC,2021,9,4,7:13,1,U07768,F,G,BCHU,F,1,,LS,,,0,N,U,E,,,P,,45.5,20.3,N,T,2,2,1,L,F,M,3.13,,,,,,,,,
SMW,HC,2021,9,4,7:17,1,U07769,F,G,BCHU,F,1,,NS,,,0,N,U,E,,,P,,47,20.4,WN,1,5,1,1,L,L,M,3.61,,,,,,,,,
