gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2783145182	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS839302909	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Sierra de San Juan (Camino a La Noria) - nay	Nayarit	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	21.503727	-104.975044							2017-03-23T00:00:00	23	3	2017	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS839302909				CC_BY_4_0		obsr102247			2023-01-24T15:03:43.866Z		CONTINENT_DERIVED_FROM_COORDINATES
2782168888	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS830658307	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Parque Ecológico de la Ciudad de México (B), MX (19.26, -99.201)	Ciudad de México	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.259853	-99.20081							2019-11-22T00:00:00	22	11	2019	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS830658307				CC_BY_4_0		obsr331950			2023-01-24T15:25:04.161Z		CONTINENT_DERIVED_FROM_COORDINATES
2781955727	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS834577638	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	El Palmito (pueblo)	Sinaloa	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	23.560568	-105.83563							2019-12-03T00:00:00	3	12	2019	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS834577638				CC_BY_4_0		obsr1209373			2023-01-24T15:05:38.187Z		CONTINENT_DERIVED_FROM_COORDINATES
2781604871	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS858343597	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	PN Volcán Nevado de Colima--Carretera a Nevado de Colima	Jalisco	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	19.613722	-103.567795							2014-03-25T00:00:00	25	3	2014	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS858343597				CC_BY_4_0		obsr604913			2023-01-24T15:26:00.630Z		CONTINENT_DERIVED_FROM_COORDINATES
2780964031	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS843984022	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Camino a ANP Piedras Bola	Jalisco	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	20.648048	-104.0412							2019-12-29T00:00:00	29	12	2019	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS843984022				CC_BY_4_0		obsr974163			2023-01-24T15:03:47.071Z		CONTINENT_DERIVED_FROM_COORDINATES
2779993807	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS919298071	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	PN Volcán Nevado de Colima--Carretera Volcán de Fuego (encinar más bajo/lower oak zone)	Jalisco	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.531384	-103.50619							2017-12-03T00:00:00	3	12	2017	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS919298071				CC_BY_4_0		obsr824676			2023-01-24T15:09:42.532Z		CONTINENT_DERIVED_FROM_COORDINATES
2779671108	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS829171569	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	Coajomulco - San Juan Tlacotenco, Morelos, MX (19.032, -99.181)	Morelos	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.032034	-99.181305							2019-11-17T00:00:00	17	11	2019	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS829171569				CC_BY_4_0		obsr446177			2023-01-24T15:06:30.741Z		CONTINENT_DERIVED_FROM_COORDINATES
2779572021	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS826316258	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	PN Volcán Nevado de Colima--Carretera a Nevado de Colima	Jalisco	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.613722	-103.567795							2019-11-04T00:00:00	4	11	2019	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS826316258				CC_BY_4_0		obsr691082			2023-01-24T15:18:01.462Z		CONTINENT_DERIVED_FROM_COORDINATES
2779361486	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS919840601	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	PN Volcán Nevado de Colima--Carretera Volcán de Fuego (encinar más bajo/lower oak zone)	Jalisco	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.531384	-103.50619							2017-12-03T00:00:00	3	12	2017	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS919840601				CC_BY_4_0		obsr437740			2023-01-24T15:21:30.906Z		CONTINENT_DERIVED_FROM_COORDINATES
2779163903	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS833478760	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus		SPECIES	Selasphorus platycercus (Swainson, 1827)	Selasphorus platycercus		MX	PN Cerro de Garnica	Michoacán	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	19.66713	-100.82172							2019-11-25T00:00:00	25	11	2019	2476844	2476844	HUMAN_OBSERVATION	CLO	EBIRD	OBS833478760				CC_BY_4_0		obsr726801			2023-01-24T15:26:54.445Z		CONTINENT_DERIVED_FROM_COORDINATES
