Initials.Bdr,latitude,longitude,elevation,region,Location,session,week,DATE,year,mo,day,time,Band.Status,BAND,0,0,TArsus.LEG,Size.Material,Species,SEX,AGE,Old band number,GPORCOlOR,GorCount (%),Head GCnt (%),Grooves,Buffy,PriWidth,Wng-TailTrait,TailCent,TailMid,TailOut,TailMeas (#),WingCd,Culmen,Pollen– Color,Fat fie1d data,CPBreed,Gorget/head molt,Body Molt,PriMary Molt,Secondary Molt,Tail Molt,Weight,Pollen Collected,Color Mark,Feather collected,Day Recap #,recap time 1,recap time 2,recap time 3,recap time 4,Comment
FTE,,,,CO,RMNP,6,21,5/15/2009,2009,5,15,,1,3100-41587,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/15/2009,2009,5,15,,R,3100-41587,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,8,25,6/16/2009,2009,6,16,,R,3100-41587,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/15/2009,2009,5,15,,1,3100-41588,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,10,29,7/9/2009,2009,7,9,,R,3100-41588,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/16/2010,2010,5,16,,R,3100-41588,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/21/2010,2010,5,21,,R,3100-41588,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,8,25,6/19/2010,2010,6,19,,R,3100-41588,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,8,25,6/13/2011,2011,6,13,,R,3100-41588,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/15/2009,2009,5,15,,1,3100-41589,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,10,29,7/10/2009,2009,7,10,,R,3100-41589,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/15/2009,2009,5,15,,1,3100-41590,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/17/2010,2010,5,17,,R,3100-41590,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/11/2009,2009,5,11,,1,3100-41591,0,0,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/14/2009,2009,5,14,,1,3100-41592,0,0,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/15/2009,2009,5,15,,R,3100-41592,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,8,25,6/9/2009,2009,6,9,,R,3100-41592,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,8,25,6/13/2009,2009,6,13,,R,3100-41592,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/14/2009,2009,5,14,,1,3100-41600,0,0,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/15/2009,2009,5,15,,1,3100-41601,0,0,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/17/2009,2009,5,17,,R,3100-41601,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,8,25,6/7/2009,2009,6,7,,R,3100-41601,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,8,25,6/10/2009,2009,6,10,,R,3100-41601,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,5,19,5/9/2009,2009,5,9,,1,3100-41623,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,5,19,5/9/2009,2009,5,9,,R,3100-41623,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/14/2009,2009,5,14,,R,3100-41623,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/14/2009,2009,5,14,,R,3100-41623,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/15/2009,2009,5,15,,R,3100-41623,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/16/2010,2010,5,16,,R,3100-41623,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/17/2010,2010,5,17,,R,3100-41623,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/17/2010,2010,5,17,,R,3100-41623,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,7,23,5/25/2010,2010,5,25,,R,3100-41623,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/17/2009,2009,5,17,,1,3100-41629,0,0,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/17/2009,2009,5,17,,1,3100-41630,0,0,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/17/2009,2009,5,17,,1,3100-41631,0,0,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/17/2009,2009,5,17,,1,3100-41632,0,0,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/17/2009,2009,5,17,,1,3100-41633,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/17/2009,2009,5,17,,1,3100-41634,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/21/2010,2010,5,21,,R,3100-41634,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/21/2010,2010,5,21,,R,3100-41634,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
