band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,record_id,species_scientific_name
B94833292693,B94833292693,,E,06/06/2017,06,06,2017,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,75,1,4,P3735013,,66,23,14,07,2.00,R,-31969365,Selasphorus platycercus
B94833397493,B94833397493,,B,07/04/2013,04,07,2013,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,0,,,,,,B,-18182539,Selasphorus platycercus
B94833397493,B94833397493,,E,06/29/2016,29,06,2016,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,97,23,14,07,4.00,R,-31968575,Selasphorus platycercus
B94833397913,B94833397913,,B,06/12/2014,12,06,2014,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,4,P3735013,0,,,,,,B,-18059191,Selasphorus platycercus
B94833397913,B94833397913,,E,06/01/2016,01,06,2016,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,4,P3735013,,97,23,14,07,3.00,R,-31813215,Selasphorus platycercus
B94833397973,B94833397973,,B,06/16/2014,16,06,2014,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,4,P3735013,0,,,,,,B,-18180477,Selasphorus platycercus
B94833397973,B94833397973,,E,06/07/2017,07,06,2017,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,75,1,4,P3735013,,66,23,14,07,4.00,R,-31969359,Selasphorus platycercus
B94933005859,B94933005859,,B,08/16/2003,16,08,2003,US,US-CO,40.41667,-105.58333,10,11,Broad-tailed Hummingbird,4320,3,00,2,5,P3723353,0,,,,,,B,-36974578,Selasphorus platycercus
B94933005859,B94933005859,,E,05/16/2004,16,05,2004,US,US-CO,40.41667,-105.58333,10,11,,4320,,,,,,,66,23,06,07,0.92,E,-9195427,Selasphorus platycercus
B94933668973,B94933668973,B00933603090; ,B,07/13/2003,13,07,2003,US,US-CO,40.41667,-105.58333,10,11,Broad-tailed Hummingbird,4320,3,00,1,5,P1719717,0,,,,,,B,-36978251,Selasphorus platycercus
B94933668973,B94933668973,B00933603090; ,E,07/27/2006,27,07,2006,US,US-CO,40.41667,-105.58333,10,11,,4320,,,,,,,66,23,14,08,4.08,E,-8905947,Selasphorus platycercus
B00933603090,B94933668973,B94933668973; ,B,07/27/2006,27,07,2006,US,US-CO,40.41667,-105.58333,10,11,Broad-tailed Hummingbird,4320,3,00,1,5,P2722447,1,,,,,,B,-60102537,Selasphorus platycercus
B94933697613,B94933697613,B86833585698; ,B,07/23/2009,23,07,2009,US,US-CO,40.13250,-105.50028,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P2724692,0,,,,,0.00,B,-59624877,Selasphorus platycercus
B94933697613,B94933697613,B86833585698; ,E,08/01/2009,01,08,2009,US,US-CO,40.13250,-105.50028,0,11,,4320,,,,,,,66,23,14,08,1.17,E,-8653699,Selasphorus platycercus
B86833585698,B94933697613,B94933697613; ,B,08/01/2009,01,08,2009,US,US-CO,40.13250,-105.50028,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P2724692,1,,,,,0.00,B,-36987982,Selasphorus platycercus
B95833498375,B95833498375,B65833496223; ,B,08/13/2010,13,08,2010,US,US-CO,40.32222,-105.86222,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P2722447,0,,,,,,B,-60448419,Selasphorus platycercus
B65833496223,B95833498375,B95833498375; ,B,08/25/2010,25,08,2010,US,US-CO,40.32222,-105.86222,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P2722447,1,,,,,,B,-61311237,Selasphorus platycercus
B95833498375,B95833498375,B65833496223; ,E,08/25/2010,25,08,2010,US,US-CO,40.37500,-105.85833,1,11,BROAD-TAILED HUMMINGBIRD,4320,,,,,,,66,23,14,08,1.17,E,-12864681,Selasphorus platycercus
B95833499269,B95833499269,B00833452804; ,B,08/12/2010,12,08,2010,US,US-CO,40.35083,-105.58861,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P2722447,0,,,,,,B,-36973133,Selasphorus platycercus
B95833499269,B95833499269,B00833452804; ,E,06/23/2013,23,06,2013,US,US-CO,40.35083,-105.58861,0,11,,4320,,,,,,,66,23,14,08,4.00,E,-8636182,Selasphorus platycercus
B00833452804,B95833499269,B95833499269; ,B,06/23/2013,23,06,2013,US,US-CO,40.35083,-105.58861,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P2722447,1,,,,,,B,-36970005,Selasphorus platycercus
