"band","band_status","year","sex","recap_num","obsdate","site","band_year","band_age","band_site","breeding","month","day","location"
"5000-96937","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96938","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96939","1",2004,"F","r00",2004-08-21,"MP1",2004,"HY","MP1",NA,8,21,"east"
"5000-96940","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96940","R",2005,"F","r01",2005-05-18,"MP1",2004,"AHY","MP1",NA,5,18,"east"
"5000-96940","R",2005,"F","r02",2005-05-31,"MP1",2004,"AHY","MP1",NA,5,31,"east"
"5000-96940","R",2005,"F","r03",2005-06-03,"MP1",2004,"AHY","MP1",NA,6,3,"east"
"5000-96940","R",2005,"F","r04",2005-06-05,"MP1",2004,"AHY","MP1",NA,6,5,"east"
"5000-96940","R",2005,"F","r05",2005-06-12,"MP1",2004,"AHY","MP1",NA,6,12,"east"
"5000-96940","R",2006,"F","r01",2006-06-23,"MP1",2004,"AHY","MP1",NA,6,23,"east"
"5000-96940","R",2007,"F","r01",2007-05-22,"MP1",2004,"AHY","MP1",NA,5,22,"east"
"5000-96941","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96941","R",2008,"F","r01",2008-06-24,"MP1",2004,"AHY","MP1","E7",6,24,"east"
"5000-96942","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96942","R",2005,"F","r01",2005-05-24,"MP1",2004,"AHY","MP1",NA,5,24,"east"
"5000-96942","R",2005,"F","r02",2005-05-31,"MP1",2004,"AHY","MP1",NA,5,31,"east"
"5000-96942","R",2005,"F","r03",2005-06-04,"MP1",2004,"AHY","MP1",NA,6,4,"east"
"5000-96942","R",2006,"F","r01",2006-08-25,"MP1",2004,"AHY","MP1",NA,8,25,"east"
"5000-96942","R",2007,"F","r01",2007-05-23,"MP1",2004,"AHY","MP1",NA,5,23,"east"
"5000-96943","1",2004,"M","r00",2004-08-21,"MP1",2004,"HY","MP1",NA,8,21,"east"
"5000-96943","R",2004,"M","r01",2004-08-21,"MP1",2004,"HY","MP1",NA,8,21,"east"
"5000-96945","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96946","1",2004,"F","r00",2004-08-21,"MP1",2004,"HY","MP1",NA,8,21,"east"
"5000-96946","R",2005,"F","r01",2005-06-05,"MP1",2004,"HY","MP1","E8",6,5,"east"
