"","Protocol","CMR","Bander","Location","Date","Year","Month","Day","Time","Old.Band.Status","Band.Status","Band.Number","Leg.Condition","Tarsus.Measurement","Band.Size","Species","Sex","Age","Replaced.Band.Number","Gorget.Color","Gorget.Count","Head.Count","Grooves","Buffy","Bill.Trait","Green.on.back","Primary.Width.P.10.Shape","Wing.Tail.Trait","Tail.Center","Tail.Middle","Tail.Outer","Tail.Measurement","Wing.Chord","Culmen","Tail","Pollen.Color..Location","Fat","CP.Breed","Head.Gorget","Body","Primaries","Secondaries","Tail.1","Weight","Photo.Taken","Sample.Type","Day.Recaptures","Recapture.Time.1","Recapture.Time.2","Recapture.Time.3","Recapture.Time.4","Comment"
"27","HMN","Y","GS","SWRS",2022-04-23,2022,4,23,"7:50","R","R","U06271","1",NA,NA,"BCHU","F","1",NA,"NS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"44","18.7",NA,"N","0","8","F","F","F","FALSE","F","3.51",NA,NA,NA,NA,NA,NA,NA,NA
"28","HMN","Y","GS","SWRS",2022-04-23,2022,4,23,"7:55","1","1","M28692",NA,"L","L","RIHU","M","1",NA,"GP","99","99","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","26.5",NA,"PH","0",NA,"F","F","F","FALSE","L","7.72",NA,NA,NA,NA,NA,NA,NA,NA
"29","HMN","Y","GS","SWRS",2022-04-23,2022,4,23,"7:58","1","1","U07739",NA,"E","F","BCHU","F","1",NA,"NS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"46","20.3",NA,"N","0","2","1","1","F","FALSE","F","3.58",NA,NA,NA,NA,NA,NA,NA,NA
"30","HMN","Y","GS","SWRS",2022-04-23,2022,4,23,"8:01","1","1","U09086",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41.5","18.7",NA,"YN","0",NA,"F","F","L","FALSE","F","2.87",NA,NA,NA,NA,NA,NA,NA,NA
"31","HMN","Y","GS","SWRS",2022-04-23,2022,4,23,"8:05","1","1","U07740",NA,"E","F","BCHU","F","1",NA,"NS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"46","19.9",NA,"N","1","7","1","1","F","FALSE","F","3.75",NA,NA,NA,NA,NA,NA,NA,NA
"32","HMN","Y","GS","SWRS",2022-04-23,2022,4,23,"8:08","1","1","U07741",NA,"E","F","BCHU","F","1",NA,"NS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"46","21.1",NA,"N","T","2","F","F","F","FALSE","L","3.02",NA,NA,NA,NA,NA,NA,NA,NA
"33","HMN","Y","GS","SWRS",2022-04-23,2022,4,23,"8:11","1","1","U09087",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44","19.3",NA,"N","0",NA,"F","F","F","FALSE","F","3.23",NA,NA,"2","9:25","10:31",NA,NA,NA
"34","HMN","Y","GS","SWRS",2022-04-23,2022,4,23,"8:14","1","1","U09088",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","18.9",NA,"N","0",NA,"F","F","L","FALSE","F","2.81",NA,NA,NA,NA,NA,NA,NA,NA
"35","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"8:17","1","1","M28693",NA,"J","L","BTMG","M","1",NA,"B","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72.5","22.4",NA,"N","0",NA,"L","F","F","FALSE","F","7.3",NA,NA,NA,NA,NA,NA,NA,NA
"36","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"8:22","1","1","U07742",NA,"E","F","BBLH","F","1",NA,NA,NA,NA,NA,NA,"O",NA,NA,NA,NA,NA,NA,NA,"50.5","22.4",NA,"N","T","7","L","F","F","FALSE","L","3.71",NA,NA,"1","9:33",NA,NA,NA,NA
"37","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"8:27","1","1","U09089",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","19",NA,"N","0",NA,"1","F","F","FALSE","F","2.96",NA,NA,NA,NA,NA,NA,NA,"LICE EGGS ON TAIL FEATHERS"
"38","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"8:30","1","1","U09090",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41","18.2",NA,"N","T",NA,"L","F","F","FALSE","F","2.92",NA,NA,NA,NA,NA,NA,NA,NA
"39","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"8:33","1","1","U07743",NA,"F","F","BBLH","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50.5","20.4",NA,"PH, WN, GX","T","2","L","F","L","FALSE","L","3.27",NA,NA,"1","9:31",NA,NA,NA,NA
"40","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"8:37","1","1","U06241",NA,"E","E","BBLH","M","1",NA,"B","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58.5","21.4",NA,"PH","0",NA,"F","F","F","FALSE","L","3.25",NA,NA,NA,NA,NA,NA,NA,NA
"41","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"8:41","1","1","M28694",NA,"K","L","BTMG","M","1",NA,"B","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","22.5",NA,"WN","0",NA,"F","F","F","FALSE","M","7.98",NA,NA,NA,NA,NA,NA,NA,"SMALL INJURY ON BREAST"
"42","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"8:49","1","1","U06242",NA,"E","E","RUHU","F","1",NA,"O","11",NA,NA,NA,NA,NA,NA,"40","GB","N",NA,"3","45","16.8",NA,"WN","0","2","F","F","F","FALSE","F","2.87",NA,NA,NA,NA,NA,NA,NA,NA
"43","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"8:54","1","1","U07828",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","18.9",NA,"N","0",NA,"F","F","F","FALSE","F","2.86",NA,NA,"1","9:49",NA,NA,NA,NA
"44","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"8:58","1","1","M28695",NA,"K","L","RIHU","M","1",NA,"GP","99","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","25.5",NA,"WN, GX","0",NA,"F","F","0","FALSE","F","7.6",NA,NA,NA,NA,NA,NA,NA,"SKIPED WING CHORD DUE TO MOLT"
"45","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"9:02","1","1","U07829",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.5","19.5",NA,"PH","0",NA,"F","F","F","FALSE","F","2.95",NA,NA,NA,NA,NA,NA,NA,NA
"46","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"9:05","R","R","U06190","1",NA,NA,"BCHU","F","1",NA,"NS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"46","21.3",NA,"N","0","5","F","F","F","FALSE","F","3.34",NA,NA,NA,NA,NA,NA,NA,NA
"47","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"9:08","1","1","U07830",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.5","18.6",NA,"YN, GX","0",NA,"F","F","F","FALSE","F","2.63",NA,NA,NA,NA,NA,NA,NA,NA
"48","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"9:14","1","1","U07744",NA,"F","F","BCHU","F","1",NA,"LS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"49","20.1",NA,"N","0","5","1","1","F","FALSE","L","3.82",NA,NA,NA,NA,NA,NA,NA,"SPIDER WEB ON WING"
"49","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"9:18","4","4","M28696",NA,NA,NA,"BADE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"9:22","1","1","M28697",NA,"J","L","RIHU","M","1",NA,"GP","99","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71.5","25.5",NA,"PHN","0",NA,"F","F","F","FALSE","F","7.7",NA,NA,NA,NA,NA,NA,NA,NA
"51","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"9:40","1","1","U07831",NA,"D","D","BCHU","M","1",NA,"V","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41.5","18.1",NA,"PT","T",NA,"F","F","F","FALSE","F","2.72",NA,NA,NA,NA,NA,NA,NA,NA
"52","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"10:54","1","1","U07745",NA,"E","F","BCHU","F","1",NA,"HS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"46.5","20.9",NA,"PH","1","5","F","F","F","FALSE","F","3.5",NA,NA,NA,NA,NA,NA,NA,"SPIDER WEB ON TAIL"
"53","HMN","Y","ML","SWRS",2022-04-23,2022,4,23,"11:02","1","1","U07797",NA,"F","G","BCHU","F","1",NA,"NS",NA,NA,NA,NA,NA,NA,"U","E",NA,NA,"P",NA,"47","20.2",NA,"YUL","T","2","F","F","F","FALSE","F","3.49",NA,NA,NA,NA,NA,NA,NA,NA
