"","Protocol","CMR","Bander","Location","Date","Year","Month","Day","Time","Old.Band.Status","Band.Status","Band.Number","Leg.Condition","Tarsus.Measurement","Band.Size","Species","Sex","Age","Replaced.Band.Number","Gorget.Color","Gorget.Count","Head.Count","Grooves","Buffy","Bill.Trait","Green.on.back","Primary.Width.P.10.Shape","Wing.Tail.Trait","Tail.Center","Tail.Middle","Tail.Outer","Tail.Measurement","Wing.Chord","Culmen","Tail","Pollen.Color..Location","Fat","CP.Breed","Head.Gorget","Body","Primaries","Secondaries","Tail.1","Weight","Photo.Taken","Sample.Type","Day.Recaptures","Recapture.Time.1","Recapture.Time.2","Recapture.Time.3","Recapture.Time.4","Comment"
"28","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:54","R","R","M68604",NA,NA,NA,"ANHU","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTAR IN CROP, ESCAPED"
"29","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:12","R","R","M69042",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","8:21",NA,NA,NA,NA
"30","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:38","R","R","M69082",NA,NA,NA,"ANHU","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTAR IN CROP"
"31","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:44","R","R","M69091","6",NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"N","0","2","L","F","F","FALSE","L","3.3",NA,NA,"1","9:04",NA,NA,NA,NA
"32","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:13","R","R","M69127",NA,NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NECTAR IN CROP"
"33","HMN","Y","SMW","HC",NA,NA,NA,NA,"10:39","R","R","P36797","1",NA,NA,"BBLH","M","1",NA,"B","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50.5","21.4",NA,"N","0",NA,"1","F","F","FALSE","F","3.16",NA,NA,NA,NA,NA,NA,NA,NA
"34","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:23","R","R","P38311",NA,NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESCAPED"
"35","HMN","Y","SMW","HC",NA,NA,NA,NA,"9:21","R","R","P40139","1",NA,NA,"BBLH","M","1",NA,"B","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.5","22.1",NA,"N","0",NA,"F","F","F","FALSE","F","3.43",NA,NA,NA,NA,NA,NA,NA,NA
"36","HMN","Y","SMW","HC",NA,NA,NA,NA,"10:52","R","R","P42004","1",NA,NA,"ANHU","M","1",NA,"R","99","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48.5","18.3",NA,NA,"P",NA,"F","F","F","FALSE","F","4.46",NA,NA,NA,NA,NA,NA,NA,NA
"37","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:14","R","R","U05937",NA,NA,NA,"BCHU","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISSING BOTH R1 AND R2"
