"","UBI_band","band_status","year","fixed_sex","site"
"217","5000-29529","R",2004,"M","MCGC"
"218","5000-29534","R",2004,"M","GNMTN"
"219","5000-29535","R",2004,"F","GNMTN"
"220","5000-29536","R",2004,"F","GNMTN"
"221","5000-29537","R",2004,"F","GNMTN"
"222","5000-29538","R",2004,"F","GNMTN"
"223","5000-29543","R",2004,"F","GNMTN"
"224","5000-29546","R",2004,"F","GNMTN"
"225","5000-29547","R",2004,"F","GNMTN"
"226","5000-29551","R",2004,"F","GNMTN"
"227","5000-29559","R",2004,"F","KV1"
"228","5000-29560","R",2004,"F","KV1"
"229","5000-29572","R",2004,"F","MCGC"
"230","5000-29573","R",2004,"F","MCGC"
"231","5000-29607","R",2004,"F","KV1"
"232","5000-29608","R",2004,"F","GNMTN"
"233","5000-29611","R",2004,"F","GNMTN"
"234","5000-29615","R",2004,"F","GNMTN"
"235","5000-29619","R",2004,"F","MCGC"
"236","5000-29625","R",2004,"F","MCGC"
"237","5000-29630","R",2004,"F","MCGC"
"238","5000-29634","R",2004,"F","MCGC"
"239","5000-29641","R",2004,"F","MCGC"
"240","5000-29675","R",2004,"F","GNMTN"
"241","5000-29678","R",2004,"F","MCGC"
"242","5000-29681","R",2004,"F","MCGC"
"243","5000-29682","R",2004,"F","MCGC"
"244","5000-29685","R",2004,"F","MCGC"
"245","5000-29689","R",2004,"F","MCGC"
"246","5000-29693","R",2004,"F","MCGC"
"247","5000-29695","R",2004,"F","MCGC"
"248","5000-29696","R",2004,"F","MCGC"
"249","5000-96608","R",2004,"F","MCGC"
"250","5000-96612","R",2004,"F","KV1"
"251","5000-96614","R",2004,"F","KV1"
"252","5000-96615","R",2004,"F","KV1"
"253","5000-96630","R",2004,"F","KV1"
"254","5000-96634","R",2004,"F","MCGC"
"255","5000-96635","R",2004,"F","MCGC"
"256","5000-96639","R",2004,"F","MCGC"
"257","5000-96640","R",2004,"F","MCGC"
"258","5000-96647","R",2004,"F","CC2"
"259","5000-96650","R",2004,"F","MCGC"
"260","5000-96662","R",2004,"F","MCGC"
"261","5000-96664","R",2004,"F","MCGC"
"262","5000-96688","R",2004,"F","MP1"
"263","5000-96698","R",2004,"F","MCGC"
"264","5000-96714","R",2004,"F","MCGC"
"265","5000-96722","R",2004,"F","GNMTN"
"266","5000-96723","R",2004,"F","MCGC"
"267","5000-96727","R",2004,"F","MP1"
"268","5000-96731","R",2004,"F","MP1"
"269","5000-96732","R",2004,"F","MP1"
"270","5000-96735","R",2004,"F","MP1"
