"","band","band_status","year","age","sex","site","site_recap","location"
"2669","4100-08522","1",2010,"AHY","F","MCGC","MCGC","east"
"2670","4100-08522","R",2011,"AHY","F","MCGC","MCGC","east"
"2671","4100-08523","1",2010,"AHY","F","MCGC","MCGC","east"
"2672","4100-08524","1",2010,"AHY","F","MCGC","MCGC","east"
"2673","4100-08525","1",2010,"AHY","F","MCGC","MCGC","east"
"2674","4100-08527","1",2010,"AHY","F","MCGC","MCGC","east"
"2675","4100-08528","1",2010,"AHY","F","MCGC","MCGC","east"
"2676","4100-08529","1",2010,"AHY","F","MCGC","MCGC","east"
"2677","4100-08530","1",2010,"AHY","F","MCGC","MCGC","east"
"2678","4100-08541","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2679","4100-08542","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2680","4100-08543","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2681","4100-08543","R",2011,"AHY","F","GNMTN","GNMTN","west"
"2682","4100-08544","1",2010,"AHY","F","HOLZ","HOLZ","west"
"2683","4100-08545","1",2010,"AHY","F","HOLZ","HOLZ","west"
"2684","4100-08546","1",2010,"AHY","F","HOLZ","HOLZ","west"
"2685","4100-08546","R",2011,"AHY","F","HOLZ","HOLZ","west"
"2686","4100-08547","1",2010,"AHY","F","HOLZ","HOLZ","west"
"2687","4100-08548","1",2010,"AHY","F","HOLZ","HOLZ","west"
"2688","4100-08549","1",2010,"AHY","F","HOLZ","HOLZ","west"
"2689","4100-08550","1",2010,"AHY","F","HOLZ","HOLZ","west"
"2690","4100-08551","1",2010,"AHY","F","MCGC","MCGC","east"
"2691","4100-08552","1",2010,"AHY","F","MCGC","MCGC","east"
"2692","4100-08553","1",2010,"AHY","F","CC3","CC3","east"
"2693","4100-08553","R",2010,"AHY","F","CC3","MCGC","east"
"2694","4100-08553","R",2011,"AHY","F","CC3","MCGC","east"
"2695","4100-08554","1",2010,"AHY","F","CC3","CC3","east"
"2696","4100-08554","R",2010,"AHY","F","CC3","MCGC","east"
"2697","4100-08554","R",2011,"AHY","F","CC3","MCGC","east"
"2698","4100-08555","1",2010,"AHY","F","CC3","CC3","east"
"2699","4100-08556","1",2010,"AHY","F","CC3","CC3","east"
"2700","4100-08557","1",2010,"AHY","F","CC3","CC3","east"
"2701","4100-08557","R",2011,"AHY","F","CC3","MCGC","east"
"2702","4100-08558","1",2010,"AHY","F","CC3","CC3","east"
"2703","4100-08560","1",2009,"HY","F","MCGC","MCGC","east"
"2704","4100-08560","R",2010,"HY","F","MCGC","MCGC","east"
"2705","4100-08561","1",2010,"AHY","F","MCGC","MCGC","east"
"2706","4100-08562","1",2010,"AHY","F","HPK2","HPK2","east"
"2707","4100-08563","1",2010,"AHY","F","MP1","MP1","east"
