"","UBI_band","band_status","year","species","age","fixed_sex","site"
"2322","9000-11920","1",2006,"BTLH","AHY","F","MCGC"
"2323","9000-11921","1",2006,"BTLH","AHY","F","MCGC"
"2324","9000-11922","1",2006,"BTLH","AHY","F","MCGC"
"2325","9000-11923","1",2006,"BTLH","AHY","F","MCGC"
"2326","9000-11924","1",2006,"BTLH","AHY","F","MCGC"
"2327","9000-11925","R",2006,"BTLH","AHY","F","MCGC"
"2328","9000-11926","1",2006,"BTLH","AHY","F","NFPC"
"2329","9000-11927","1",2006,"BTLH","AHY","F","NFPC"
"2330","9000-11928","1",2006,"BTLH","AHY","F","NFPC"
"2331","9000-11929","1",2006,"BTLH","AHY","F","NFPC"
"2332","9000-11930","1",2006,"BTLH","AHY","F","NFPC"
"2333","9000-11931","1",2006,"BTLH","AHY","F","NFPC"
"2334","9000-11932","1",2006,"BTLH","AHY","F","NFPC"
"2335","9000-11933","1",2006,"BTLH","AHY","F","HOLZ"
"2336","9000-11934","1",2006,"BTLH","AHY","F","HOLZ"
"2337","9000-11935","1",2006,"BTLH","AHY","F","HOLZ"
"2338","9000-11936","1",2006,"BTLH","AHY","F","KV1"
"2339","9000-11937","1",2006,"BTLH","AHY","F","KV1"
"2340","9000-11938","1",2006,"BTLH","AHY","F","KV1"
"2341","9000-11939","1",2006,"BTLH","AHY","F","KV1"
"2342","9000-11940","1",2006,"BTLH","AHY","F","KV1"
"2343","9000-11941","1",2006,"BTLH","AHY","F","KV1"
"2344","9000-11942","1",2006,"BTLH","AHY","F","KV1"
"2345","9000-11943","1",2006,"BTLH","AHY","F","KV1"
"2346","9000-11944","1",2006,"BTLH","AHY","F","KV1"
"2347","9000-11945","1",2006,"BTLH","AHY","F","GNMTN"
"2348","9000-11946","1",2006,"BTLH","AHY","F","GNMTN"
"2349","9000-11947","1",2006,"BTLH","AHY","F","GNMTN"
"2350","9000-11948","1",2006,"BTLH","AHY","F","GNMTN"
"2351","9000-11949","1",2006,"BTLH","AHY","F","GNMTN"
"2352","9000-11950","1",2006,"BTLH","AHY","F","GNMTN"
"2353","9000-11951","1",2006,"BTLH","AHY","M","MP1"
"2354","9000-11954","1",2006,"BTLH","AHY","M","MP1"
"2355","9000-11958","1",2006,"BTLH","AHY","M","MCGC"
"2356","9000-11963","1",2006,"BTLH","AHY","M","MCGC"
"2357","9000-11965","1",2006,"BTLH","AHY","M","MCGC"
