"","band","band_status","recap_yr","recaptured_sex","recapture_age","site_recap","r1","comments"
"560","9100-23707","R",2012,"F","AHY","MP1","9/3, 4.62","again"
"561","9100-57295","R",2012,"F","AHY","MP1","9/4, 4.02","captured w/two HY F"
"562","4100-08186","R",2012,"F","AHY","MP1","9/4, ","debris, constricted tarsus band removed"
"563","9100-57387","R",2012,"F","HY","MP1","9/7, 3.51",""
"564","9100-57295","R",2012,"M","HY","MP1","9/7, 4.19",""
"565","9100-57386","R",2012,"F","HY","MP1","9/7, 3.74",""
"566","9100-57389","R",2012,"F","HY","MP1","9/7, ","again"
"567","9100-57382","R",2012,"F","HY","MP1","9/7, 3.44",""
"568","9100-57384","R",2012,"F","HY","MP1","9/7, 3.6",""
"569","9100-57389","R",2012,"F","HY","MP1","9/7, ","again"
"570","9100-57256","R",2012,"M","HY","GNMTN","9/8, 3.58",""
"571","9100-57294","R",2012,"M","HY","MP1","9/9, 3.61",""
"572","9100-57386","R",2012,"F","HY","MP1","9/9, 3.79",""
"573","9100-57322","R",2012,"M","HY","MP1","9/9, ","banded today"
"574","9000-39201","R",2012,"F","AHY","MP1","5/13, E8, 4.1",""
"575","9000-40063","R",2012,"F","AHY","MP1","5/13, 4.3",""
"576","4100-07987","R",2012,"M","AHY","MP1","5/13, 3.1",""
"577","9000-93765","R",2012,"F","AHY","MP1","5/13, 3.6",""
"578","9000-90677","R",2012,"F","AHY","MP1","5/13, 3.3",""
"579","4100-08214","R",2012,"F","AHY","MP1","5/13, E6+, 3.7",""
"580","4100-59112","R",2012,"F","AHY","MP1","5/13, 3.4",""
"581","3100-41740","R",2012,"F","AHY","MP1","5/13, 3.5",""
"582","3100-41724","R",2012,"M","AHY","MP1","5/13, 3.3",""
"583","4100-59602","R",2012,"F","AHY","MP1","5/13, E8, 4.4",""
"584","4100-59527","R",2012,"F","AHY","MCGC","5/4, 3.7",""
"585","4100-08925","R",2012,"F","AHY","MCGC","5/4, 3.8","band to left leg"
"586","4100-08138","R",2012,"F","AHY","MCGC","5/10, 3.65",""
"587","4100-08367","R",2012,"F","AHY","MCGC","5/10, E6+, 3.9",""
