"band","band_status","recap_yr","sex","site_orig","r01","r02","r03","r04","r05","r06","r07","r08","r09","r10","r11","r12","r13","r14","r15","r16","r17","comments"
"9100-23084","R",2012,"M","MP1","6/1, 3.12","","","","","","","","","","","","","","","","",""
"4100-59580","R",2012,"F","MP1","6/1, 3.46","","","","","","","","","","","","","","","","",""
"9000-12435","R",2012,"F","MP1","6/1, 3.3","","","","","","","","","","","","","","","","",""
"3100-41611","R",2012,"F","MP1","6/1, 3.51","","","","","","","","","","","","","","","","",""
"4100-58501","R",2012,"F","MP1","6/1, E8, 3.8","","","","","","","","","","","","","","","","",""
"3100-42237","R",2012,"F","MP1","6/1, 3.44","","","","","","","","","","","","","","","","",""
"4100-59689","R",2012,"F","MP1","6/1, E7, 3.42","","","","","","","","","","","","","","","","",""
"4100-08840","R",2012,"F","MP1","6/1, 3.49","","","","","","","","","","","","","","","","",""
"4100-59602","R",2012,"F","MP1","6/1, 3.58","","","","","","","","","","","","","","","","",""
"9000-39319","R",2012,"F","MP1","6/1, 3.78","","","","","","","","","","","","","","","","",""
"4100-59254","R",2012,"M","KV1","6/1, 3.04","","","","","","","","","","","","","","","","",""
"4100-58614","R",2012,"F","KV1","6/1, 3.49","","","","","","","","","","","","","","","","",""
"4100-08763","R",2012,"F","KV1","6/1, 3.63","","","","","","","","","","","","","","","","",""
"9000-90307","R",2012,"F","HOLZ","6/1, 3.86","","","","","","","","","","","","","","","","",""
"3100-41757","R",2012,"F","HOLZ","6/1, 3.52","","","","","","","","","","","","","","","","",""
"4100-59541","R",2012,"F","HOLZ","6/1, E8, 4.01","","","","","","","","","","","","","","","","",""
"9100-22930","R",2012,"F","HOLZ","6/1, E6, 3.7","","","","","","","","","","","","","","","","",""
"9000-39817","R",2012,"F","HOLZ","6/1, 3.76","","","","","","","","","","","","","","","","",""
"9100-22931","R",2012,"F","HOLZ","6/1, 3.73","","","","","","","","","","","","","","","","",""
"9000-40138","R",2012,"F","HOLZ","6/1, 3.63","","","","","","","","","","","","","","","","",""
"3100-42225","R",2012,"F","HOLZ","6/1, 3.83","","","","","","","","","","","","","","","","",""
"4100-08456","R",2012,"F","MP1","6/5, 4.27","","","","","","","","","","","","","","","","",""
"4100-08840","R",2012,"F","MP1","6/5, 3.69","","","","","","","","","","","","","","","","",""
"4100-59103","R",2012,"F","MP1","6/5, 3.69","","","","","","","","","","","","","","","","",""
"9100-23024","R",2012,"M","MP1","6/5, 3.03","","","","","","","","","","","","","","","","",""
"9100-23002","R",2012,"M","MP1","6/5, 3.37","","","","","","","","","","","","","","","","",""
"4100-59517","R",2012,"F","MP1","6/5, 3.65","","","","","","","","","","","","","","","","",""
"9100-22943","R",2012,"F","MP1","6/5, 3.83","","","","","","","","","","","","","","","","",""
"9100-23056","R",2012,"M","MP1","6/5, 3.34","","","","","","","","","","","","","","","","",""
"4100-58569","R",2012,"M","MP1","6/5, 3.21","","","","","","","","","","","","","","","","",""
"4100-08193","R",2012,"F","MP1","6/5, 3.6","","","","","","","","","","","","","","","","",""
"4100-59021","R",2012,"M","MP1","6/5, 3.22","","","","","","","","","","","","","","","","",""
"4100-59668","R",2012,"F","HOLZ","6/7, 3.71","","","","","","","","","","","","","","","","",""
"9000-39817","R",2012,"F","HOLZ","6/7, 3.46","","","","","","","","","","","","","","","","",""
"9100-23217","R",2012,"M","HOLZ","6/7, 3.22","","","","","","","","","","","","","","","","",""
"9000-90307","R",2012,"F","HOLZ","6/7, 3.5","","","","","","","","","","","","","","","","",""
