"UBI_band","band_status","year","date","age","fixed_sex","site","comments"
"4100-59309","1",2011,2011-06-20,"AHY","F","MCGC","p9 growing in, E6"
"4100-59310","1",2011,2011-06-22,"AHY","F","HOLZ","E7+"
"4100-59311","1",2011,2011-06-22,"AHY","F","GNMTN","E7"
"4100-59312","1",2011,2011-06-22,"AHY","F","GNMTN","E7"
"4100-59314","1",2011,2011-06-22,"AHY","F","GNMTN",""
"4100-59315","1",2011,2011-06-22,"AHY","F","GNMTN",""
"4100-59316","1",2011,2011-06-22,"AHY","F","GNMTN",""
"4100-59317","1",2011,2011-06-22,"AHY","F","GNMTN",""
"4100-59318","1",2011,2011-06-22,"AHY","F","GNMTN",""
"4100-59319","1",2011,2011-06-22,"AHY","F","GNMTN",""
"4100-59320","1",2011,2011-06-22,"AHY","F","KV1","E6"
"4100-59321","1",2011,2011-06-22,"AHY","F","KV1","E8"
"4100-59322","1",2011,2011-06-22,"AHY","F","KV1",""
"4100-59323","1",2011,2011-06-22,"AHY","F","KV1","E9"
"4100-59324","1",2011,2011-06-22,"AHY","F","KV1",""
"4100-59325","1",2011,2011-06-22,"AHY","F","KV1",""
"9100-23579","1",2011,2011-06-23,"AHY","F","MCGC",""
"4100-59327","1",2011,2011-06-23,"AHY","F","MCGC",""
"4100-59328","1",2011,2011-06-23,"AHY","F","MCGC",""
"4100-59329","1",2011,2011-06-23,"AHY","F","MCGC","E6"
"4100-59330","1",2011,2011-06-23,"AHY","F","MP1","E7+"
"4100-59331","1",2011,2011-06-23,"AHY","F","MP1",""
"4100-59332","1",2011,2011-06-23,"AHY","F","MP1",""
"4100-59333","1",2011,2011-06-23,"AHY","F","MP1",""
"4100-59334","1",2011,2011-06-23,"AHY","F","MP1",""
"4100-59335","1",2011,2011-06-23,"AHY","F","MP1",""
"4100-59336","1",2011,2011-06-23,"AHY","F","MP1",""
"4100-59337","1",2011,2011-06-23,"AHY","F","MP1",""
"4100-59338","1",2011,2011-06-23,"AHY","F","MP1",""
"4100-59339","1",2011,2011-06-23,"AHY","F","MP1",""
"4100-59340","1",2011,2011-06-24,"AHY","F","MCGC",""
"4100-59341","1",2011,2011-06-22,"AHY","F","KV1","E6"
"4100-59342","1",2011,2011-06-26,"AHY","F","KV1",""
"4100-59343","1",2011,2011-06-30,"AHY","F","GNMTN",""
"4100-59344","R",2011,2011-07-08,"AHY","F","MCGC","former E90910; spider webs and debris, band to left leg"
"4100-59345","1",2011,2011-07-08,"AHY","F","MP1",""
"4100-59346","1",2011,2011-07-09,"AHY","F","KV1",""
"4100-59347","R",2011,2011-07-12,"AHY","F","MCGC","former L08319"
"4100-59348","1",2011,2011-07-13,"AHY","F","HPK2",""
"4100-59349","1",2011,2011-07-13,"AHY","F","HPK2",""
"4100-59351","1",2011,2011-06-24,"AHY","F","MCGC","E6"
"4100-59352","1",2011,2011-06-24,"AHY","F","MCGC",""
"4100-59353","1",2011,2011-06-24,"AHY","F","CC3",""
"4100-59354","1",2011,2011-06-24,"AHY","F","CC3",""
"4100-59355","1",2011,2011-06-24,"AHY","F","CC3",""
"4100-59356","1",2011,2011-06-24,"AHY","F","CC3",""
"4100-59357","1",2011,2011-06-24,"AHY","F","CC3",""
"4100-59358","1",2011,2011-06-24,"AHY","F","CC3",""
