"gbifID","eventDate","month","code","cell","geometry"
1894191847,"12/8/2001",12,"ws173",1153791,c(-101.368889, 19.524722)
844803905,"12/23/2012",12,"ws32",1155307,c(-101.64285, 19.513515)
620587038,"2/14/1949",2,"ws50",1166136,c(-101.57536, 19.448978)
1894191780,"2/14/1949",2,"ws184",1167679,c(-101.609722, 19.441667)
280910599,"2/7/2010",2,"ws114",1169371,c(-100.2584, 19.4436)
1894191666,"12/5/1981",12,"ws202",1172302,c(-101.748333, 19.415833)
896291938,"2/27/1953",2,"ws28",1183132,c(-101.671058, 19.35558)
1894191941,"1/12/1980",1,"ws161",1193878,c(-102.366667, 19.273611)
2161317472,"1/3/1984",1,"ws150",1194211,c(-99.30297, 19.304987)
4169280129,"12/22/1992",12,"ws81",1195764,c(-99.24, 19.29528)
620565393,"2/10/1959",2,"ws52",1196793,c(-103.998299, 19.199971)
2630610101,"2/7/1945",2,"ws133",1197288,c(-99.445, 19.29)
599729279,"1/25/2009",1,"ws66",1197306,c(-99.271614, 19.282417)
2630488565,"2/27/1953",2,"ws138",1198599,c(-101.603333, 19.265)
4169213243,"1/12/1994",1,"ws84",1200396,c(-99.29333, 19.265)
2630584769,"12/17/1985",12,"ws135",1212776,c(-99.18, 19.201667)
281050669,"2/27/2009",2,"ws113",1220524,c(-99.015656, 19.155546)
4816743332,"2/4/1984",2,"ws74",1225142,c(-99.20613, 19.132372)
980585237,"12/28/2003",12,"ws5",1228235,c(-99.194824, 19.111717)
844788689,"2/17/2012",2,"ws34",1232872,c(-99.2, 19.083334)
980598276,"12/30/2003",12,"ws4",1237425,c(-99.9829, 19.065613)
150160375,"12/28/1984",12,"ws215",1237498,c(-99.3157, 19.063274)
937018462,"12/30/2003",12,"ws27",1238970,c(-99.99579, 19.05396)
945987488,"12/19/1987",12,"ws24",1240511,c(-100.035614, 19.043507)
1782739377,"12/2/2006",12,"ws213",1246799,c(-99.08908, 19.00516)
977565899,"1/6/2007",1,"ws12",1249892,c(-99.08007, 18.98417)
1894191885,"1/7/1999",1,"ws163",1266476,c(-102.939722, 18.843611)
1894191839,"12/5/1998",12,"ws175",1266479,c(-102.9125, 18.844444)
1894191626,"1/7/1999",1,"ws204",1268022,c(-102.938611, 18.842222)
976587736,"12/25/2002",12,"ws14",1268387,c(-99.59741, 18.885073)
1894191883,"2/8/1999",2,"ws164",1274202,c(-102.973611, 18.800278)
1894191795,"2/8/1999",2,"ws183",1274203,c(-102.966389, 18.803333)
144683076,"12/15/1982",12,"ws220",1274204,c(-102.96, 18.806667)
4168633045,"12/15/1982",12,"ws95",1274205,c(-102.952778, 18.807222)
1894191849,"1/9/1999",1,"ws172",1277295,c(-102.961944, 18.79)
4168632897,"2/23/1983",2,"ws97",1277297,c(-102.951111, 18.783889)
1894191996,"2/8/1999",2,"ws160",1278841,c(-102.962222, 18.7775)
4168632682,"12/5/1982",12,"ws98",1280387,c(-102.966667, 18.7675)
4168632551,"12/5/1982",12,"ws99",1280389,c(-102.951389, 18.768056)
4168704353,"12/6/1986",12,"ws85",1310109,c(-99.783333, 18.65)
1894191750,"12/9/1982",12,"ws190",1322124,c(-103, 18.531667)
1894191807,"2/28/1983",2,"ws181",1329854,c(-103, 18.489722)
4168701302,"12/16/1986",12,"ws87",1334848,c(-99.756667, 18.51)
3306261832,"1/10/2004",1,"ws103",1458505,c(-99.967595, 17.816713)
1197793714,"2/20/2007",2,"ws234",1483259,c(-99.80813, 17.68261)
3281389728,"1/23/1998",1,"ws106",1489439,c(-99.838776, 17.650848)
1160920056,"2/21/2007",2,"ws235",1500261,c(-99.83701, 17.587063)
4168695164,"2/2/1985",2,"ws89",1503365,c(-99.733333, 17.565)
1897474814,"12/3/1984",12,"ws155",1521869,c(-100.166667, 17.466667)
4169234661,"1/23/1986",1,"ws83",1531150,c(-100.11667, 17.41667)
859240826,"1/25/2009",1,"ws31",1534649,c(-96.46533, 17.32615)
844573882,"2/16/2012",2,"ws41",1556263,c(-96.73836, 17.218313)
4838137479,"2/5/1983",2,"ws70",1559366,c(-96.63984, 17.193453)
966402598,"12/26/2001",12,"ws22",1562462,c(-96.60437, 17.174093)
979870808,"12/25/1993",12,"ws7",1564009,c(-96.594894, 17.163157)
971900426,"1/11/2002",1,"ws17",1568629,c(-96.758224, 17.14797)
3580445747,"12/25/1991",12,"ws102",1573281,c(-96.630196, 17.1166)
1205415875,"1/24/2004",1,"ws232",1582571,c(-96.51489, 17.06302)
183375944,"12/2/2005",12,"ws207",1602673,c(-96.48331, 16.949972)
2659544776,"2/17/2002",2,"ws128",1743360,c(-96.50389, 16.163614)
971426534,"12/31/2006",12,"ws20",1881458,c(-92.132034, 15.117205)
