"gbifID","eventDate","month","latitude","longitude","code","cell"
976587736,"12/25/2002",12,18.885073,-99.59741,"ws14",1268387
1894191883,"2/8/1999",2,18.800278,-102.973611,"ws164",1274202
1894191795,"2/8/1999",2,18.803333,-102.966389,"ws183",1274203
144683076,"12/15/1982",12,18.806667,-102.96,"ws220",1274204
4168633045,"12/15/1982",12,18.807222,-102.952778,"ws95",1274205
1894191849,"1/9/1999",1,18.79,-102.961944,"ws172",1277295
4168632897,"2/23/1983",2,18.783889,-102.951111,"ws97",1277297
1894191996,"2/8/1999",2,18.7775,-102.962222,"ws160",1278841
4168632682,"12/5/1982",12,18.7675,-102.966667,"ws98",1280387
4168632551,"12/5/1982",12,18.768056,-102.951389,"ws99",1280389
4168704353,"12/6/1986",12,18.65,-99.783333,"ws85",1310109
1894191750,"12/9/1982",12,18.531667,-103,"ws190",1322124
1894191807,"2/28/1983",2,18.489722,-103,"ws181",1329854
4168701302,"12/16/1986",12,18.51,-99.756667,"ws87",1334848
3306261832,"1/10/2004",1,17.816713,-99.967595,"ws103",1458505
1197793714,"2/20/2007",2,17.68261,-99.80813,"ws234",1483259
3281389728,"1/23/1998",1,17.650848,-99.838776,"ws106",1489439
1160920056,"2/21/2007",2,17.587063,-99.83701,"ws235",1500261
4168695164,"2/2/1985",2,17.565,-99.733333,"ws89",1503365
1897474814,"12/3/1984",12,17.466667,-100.166667,"ws155",1521869
4169234661,"1/23/1986",1,17.41667,-100.11667,"ws83",1531150
859240826,"1/25/2009",1,17.32615,-96.46533,"ws31",1534649
844573882,"2/16/2012",2,17.218313,-96.73836,"ws41",1556263
4838137479,"2/5/1983",2,17.193453,-96.63984,"ws70",1559366
966402598,"12/26/2001",12,17.174093,-96.60437,"ws22",1562462
979870808,"12/25/1993",12,17.163157,-96.594894,"ws7",1564009
971900426,"1/11/2002",1,17.14797,-96.758224,"ws17",1568629
3580445747,"12/25/1991",12,17.1166,-96.630196,"ws102",1573281
1205415875,"1/24/2004",1,17.06302,-96.51489,"ws232",1582571
183375944,"12/2/2005",12,16.949972,-96.48331,"ws207",1602673
2659544776,"2/17/2002",2,16.163614,-96.50389,"ws128",1743360
971426534,"12/31/2006",12,15.117205,-92.132034,"ws20",1881458
