"gbifID","eventDate","month","latitude","longitude","code"
844375986,"1/6/2012",1,20.044683,-103.113716,"ws44"
844342977,"3/7/2012",3,16.078957,-96.47692,"ws45"
844289655,"2/27/2012",2,19.698225,-98.84661,"ws46"
841755628,"11/25/2011",11,20.686184,-103.50413,"ws47"
841091715,"1/4/1990",1,19.573433,-103.62696,"ws48"
620820662,"11/17/1964",11,16.22749,-97.100262,"ws49"
620587038,"2/14/1949",2,19.448978,-101.57536,"ws50"
620565397,"11/9/1964",11,16.0675,-96.466944,"ws51"
620565393,"2/10/1959",2,19.199971,-103.998299,"ws52"
620564289,"11/15/1964",11,16.000833,-96.466944,"ws53"
602357835,"11/19/2011",11,24.022713,-104.603745,"ws54"
602356563,"12/14/2011",12,23.564966,-105.850174,"ws55"
600679437,"2/3/2011",2,19.588179,-100.26712,"ws56"
600677198,"2/7/2011",2,23.988056,-104.63861,"ws57"
600671376,"1/20/2011",1,23.463741,-105.8287,"ws58"
600641954,"11/15/2011",11,19.533855,-103.53477,"ws59"
600621971,"1/24/2011",1,19.640203,-103.615944,"ws60"
600554155,"1/26/2011",1,19.610088,-103.566574,"ws61"
600535634,"11/14/2011",11,16.17298,-96.50542,"ws62"
600416842,"12/9/2010",12,19.596764,-103.58984,"ws63"
599732908,"3/12/2010",3,20.914007,-100.75427,"ws64"
599729810,"12/5/2009",12,19.530746,-101.30474,"ws65"
599729279,"1/25/2009",1,19.282417,-99.271614,"ws66"
599364215,"1/3/2003",1,19.564753,-104.19978,"ws67"
599335263,"1/4/2002",1,19.624115,-103.62222,"ws68"
4838352792,"1/28/1985",1,19.65696,-101.010826,"ws69"
4838137479,"2/5/1983",2,17.193453,-96.63984,"ws70"
4835158396,"1/19/1991",1,19.632914,-104.32931,"ws71"
4835069500,"1/17/1985",1,23.38742,-104.24722,"ws72"
4832807476,"2/19/1984",2,19.569757,-103.61644,"ws73"
4816743332,"2/4/1984",2,19.132372,-99.20613,"ws74"
4763018985,"2/15/2004",2,19.534513,-103.52827,"ws75"
4657942918,"2/20/1984",2,19.607353,-103.567184,"ws76"
4655532020,"3/13/2001",3,27.184353,-108.155464,"ws77"
4643422351,"1/23/1984",1,23.584017,-104.02673,"ws78"
4389301311,"2/20/2000",2,19.51282,-103.6161,"ws79"
4365072795,"2/21/2006",2,21.495632,-104.93263,"ws80"
4169280129,"12/22/1992",12,19.29528,-99.24,"ws81"
4169262160,"11/17/2004",11,19.0873,-99.194,"ws82"
4169234661,"1/23/1986",1,17.41667,-100.11667,"ws83"
4169213243,"1/12/1994",1,19.265,-99.29333,"ws84"
4168704353,"12/6/1986",12,18.65,-99.783333,"ws85"
4168703668,"3/27/1991",3,20.743333,-98.811667,"ws86"
4168701302,"12/16/1986",12,18.51,-99.756667,"ws87"
4168698041,"11/26/1981",11,19.023333,-99.16,"ws88"
4168695164,"2/2/1985",2,17.565,-99.733333,"ws89"
4168692280,"11/3/1972",11,19.025,-99.233333,"ws90"
4168692271,"11/26/1971",11,18.968333,-99.155,"ws91"
4168690229,"11/17/1971",11,19.008333,-99.285,"ws92"
4168683736,"2/27/1951",2,23.613333,-100.891667,"ws93"
4168662788,"11/9/1958",11,19.083333,-98.578333,"ws94"
4168633045,"12/15/1982",12,18.807222,-102.952778,"ws95"
4168632954,"11/18/1989",11,19.323333,-102.375,"ws96"
4168632897,"2/23/1983",2,18.783889,-102.951111,"ws97"
4168632682,"12/5/1982",12,18.7675,-102.966667,"ws98"
4168632551,"12/5/1982",12,18.768056,-102.951389,"ws99"
3654166511,"1/21/1988",1,19.532803,-103.55918,"ws100"
3616012662,"3/3/2005",3,27.4164,-108.06601,"ws101"
3580445747,"12/25/1991",12,17.1166,-96.630196,"ws102"
3306261832,"1/10/2004",1,17.816713,-99.967595,"ws103"
3294416745,"1/14/2010",1,20.292257,-103.29673,"ws104"
3294308735,"3/28/2007",3,17.575342,-99.84877,"ws105"
3281389728,"1/23/1998",1,17.650848,-99.838776,"ws106"
3214663116,"3/14/1999",3,21.48406,-104.99197,"ws107"
3213233298,"11/10/2007",11,16.173105,-96.50574,"ws108"
3008556054,"2004-02-13T06:33",2,19.53381,-103.540384,"ws109"
2898385640,"2012-11-19T19:29",11,19.563333,-103.608333,"ws110"
281099201,"1/14/2006",1,19.60928,-103.56717,"ws111"
281069157,"11/30/2009",11,20.676233,-103.58198,"ws112"
281050669,"2/27/2009",2,19.155546,-99.015656,"ws113"
280910599,"2/7/2010",2,19.4436,-100.2584,"ws114"
2801795985,"2/27/1975",2,19.528713,-103.610085,"ws115"
2800263473,"2/13/2007",2,19.53316,-103.5541,"ws116"
2798422270,"1/15/1976",1,19.52151,-103.622,"ws117"
2797504381,"1/20/1976",1,19.531591,-103.543434,"ws118"
2785756500,"3/25/2002",3,19.6,-103.7,"ws119"
2764499729,"1/29/1988",1,20.30125,-103.177246,"ws120"
2754539209,"1/13/2000",1,21.46152,-104.98175,"ws121"
2728009911,"1/22/2011",1,23.501255,-105.83764,"ws122"
2719398344,"2/29/1976",2,19.622261,-101.46251,"ws123"
2718125740,"2/17/1976",2,21.49343,-104.99348,"ws124"
2716462722,"2/28/1976",2,19.586805,-101.71775,"ws125"
2715660701,"2/27/1975",2,19.534168,-103.56072,"ws126"
2703930548,"3/25/1996",3,18.544249,-99.60213,"ws127"
2659544776,"2/17/2002",2,16.163614,-96.50389,"ws128"
2652296399,"11/4/2002",11,27.534609,-107.82315,"ws129"
2630710871,"11/17/1971",11,19.03,-99.26,"ws130"
2630632814,"11/9/1964",11,16.066667,-96.466667,"ws131"
2630612585,"3/10/1952",3,18.7,-97.333333,"ws132"
2630610101,"2/7/1945",2,19.29,-99.445,"ws133"
2630601284,"3/20/1947",3,23.573333,-99.75,"ws134"
2630584769,"12/17/1985",12,19.201667,-99.18,"ws135"
2630518072,"11/17/1964",11,16.226667,-97.1,"ws136"
2630507780,"11/15/1964",11,16,-96.466667,"ws137"
2630488565,"2/27/1953",2,19.265,-101.603333,"ws138"
2630472789,"11/5/1940",11,19.7,-100.85,"ws139"
2630470999,"11/22/1943",11,19.043333,-100.04,"ws140"
2630467527,"1/4/1949",1,20.488333,-103.463333,"ws141"
2265974377,"11/9/1958",11,19.084002,-98.578627,"ws142"
2243870396,"2/17/2001",2,19.531,-103.575,"ws143"
2230856643,"3/12/2002",3,27.521917,-107.838356,"ws144"
2230155810,"1/30/2003",1,19.110851,-99.198044,"ws145"
2227692394,"11/20/1976",11,19.026495,-99.20462,"ws146"
2214750710,"11/20/1976",11,19.026499,-99.27784,"ws147"
2181456263,"2/27/1953",2,19.35558,-101.67106,"ws148"
2180188018,"3/20/1947",3,23.576773,-99.753845,"ws149"
2161317472,"1/3/1984",1,19.304987,-99.30297,"ws150"
2158116314,"11/22/1943",11,19.04525,-100.044075,"ws151"
2140979070,"2/4/2002",2,19.669746,-104.38385,"ws152"
2096843117,"11/10/2012",11,20.131666,-98.71445,"ws153"
2096104814,"3/10/1952",3,18.714682,-97.33844,"ws154"
1897474814,"12/3/1984",12,17.466667,-100.166667,"ws155"
1897474765,"11/23/1985",11,17.55,-99.666667,"ws156"
1897474712,"11/27/1983",11,17.5,-100.2666,"ws157"
1895190723,"1998-11-01/1998-11-10",11,19.427778,-102.304444,"ws158"
1895190702,"1998-11-01/1998-11-10",11,19.514167,-102.287778,"ws159"
1894191996,"2/8/1999",2,18.7775,-102.962222,"ws160"
1894191941,"1/12/1980",1,19.273611,-102.366667,"ws161"
1894191889,"2/14/1979",2,19.941667,-100.976667,"ws162"
1894191885,"1/7/1999",1,18.843611,-102.939722,"ws163"
1894191883,"2/8/1999",2,18.800278,-102.973611,"ws164"
1894191878,"11/1/1979",11,19.326667,-102.360833,"ws165"
1894191872,"3/9/2005",3,19.659722,-100.2825,"ws166"
1894191862,"1/31/2006",1,19.578611,-100.205278,"ws167"
1894191861,"3/11/2005",3,19.69,-100.305,"ws168"
1894191853,"3/10/2005",3,19.673056,-100.288333,"ws169"
1894191851,"3/10/2005",3,19.672778,-100.289722,"ws170"
1894191850,"11/13/1993",11,19.7,-101.128333,"ws171"
1894191849,"1/9/1999",1,18.79,-102.961944,"ws172"
1894191847,"12/8/2001",12,19.524722,-101.368889,"ws173"
1894191845,"3/13/2005",3,19.674722,-100.281111,"ws174"
1894191839,"12/5/1998",12,18.844444,-102.9125,"ws175"
1894191838,"3/13/2005",3,19.669444,-100.273056,"ws176"
1894191829,"3/10/2005",3,19.673056,-100.2925,"ws177"
1894191826,"3/9/2005",3,19.652222,-100.276389,"ws178"
1894191817,"2/25/2006",2,19.584167,-100.221111,"ws179"
1894191811,"3/7/1999",3,19.647222,-100.957778,"ws180"
1894191807,"2/28/1983",2,18.489722,-103,"ws181"
1894191798,"3/22/2005",3,19.685833,-100.28,"ws182"
1894191795,"2/8/1999",2,18.803333,-102.966389,"ws183"
1894191780,"2/14/1949",2,19.441667,-101.609722,"ws184"
1894191778,"3/10/2005",3,19.6725,-100.281667,"ws185"
1894191777,"2/1/2002",2,19.893611,-100.916667,"ws186"
1894191774,"11/5/1994",11,19.554167,-102.263333,"ws187"
1894191761,"3/10/2005",3,19.675556,-100.298056,"ws188"
1894191758,"2/14/1979",2,19.675,-100.844167,"ws189"
1894191750,"12/9/1982",12,18.531667,-103,"ws190"
1894191743,"12/13/2004",12,19.584722,-100.2125,"ws191"
1894191724,"2/9/2001",2,19.672222,-101.145,"ws192"
1894191723,"2/25/2006",2,19.579167,-100.2375,"ws193"
1894191714,"3/13/2005",3,19.675833,-100.278333,"ws194"
1894191713,"3/23/2005",3,19.676667,-100.301389,"ws195"
1894191698,"3/9/2005",3,19.655556,-100.277222,"ws196"
1894191697,"11/24/2004",11,20.047222,-100.175833,"ws197"
1894191686,"11/4/1994",11,19.524167,-102.243611,"ws198"
1894191678,"3/9/2005",3,19.664722,-100.284722,"ws199"
1894191675,"3/11/2005",3,19.678889,-100.310278,"ws200"
1894191669,"12/18/2004",12,19.575278,-100.216111,"ws201"
1894191666,"12/5/1981",12,19.415833,-101.748333,"ws202"
1894191656,"3/13/2005",3,19.673333,-100.269167,"ws203"
1894191626,"1/7/1999",1,18.842222,-102.938611,"ws204"
1894191621,"3/9/2005",3,19.653056,-100.273889,"ws205"
1893261559,"12/22/1992",12,19.264999,-99.292999,"ws206"
183375944,"12/2/2005",12,16.949972,-96.48331,"ws207"
1790824032,"1/15/1976",1,20.657984,-103.38851,"ws208"
1790756097,"11/26/2012",11,20.29164,-103.33039,"ws209"
1789199308,"3/11/1945",3,20.35,-102.78333,"ws210"
1786733138,"1/25/2005",1,19.533924,-103.53272,"ws211"
1783522702,"2/8/2012",2,19.633898,-100.304565,"ws212"
1782739377,"12/2/2006",12,19.00516,-99.08908,"ws213"
1747456884,"2/6/1999",2,20.149107,-104.65748,"ws214"
150160375,"12/28/1984",12,19.063274,-99.3157,"ws215"
150160338,"3/27/2007",3,17.641077,-99.60274,"ws216"
144683431,"11/18/1989",11,19.396667,-102.338333,"ws217"
144683140,"11/27/1983",11,17.5,-100.266667,"ws218"
144683077,"2/23/1983",2,18.806667,-102.951667,"ws219"
144683076,"12/15/1982",12,18.806667,-102.96,"ws220"
143855192,"11/17/2004",11,19.087,-99.194,"ws221"
143855031,"12/22/1992",12,19.295,-99.24,"ws222"
143855021,"1/12/1994",1,19.265,-99.293,"ws223"
143854500,"1/23/1986",1,17.417,-100.117,"ws224"
1414198476,"11/26/2002",11,21.868,-103.852,"ws225"
138728584,"11/28/2006",11,19.932655,-101.0919,"ws226"
138726994,"12/26/2005",12,17.168333,-96.59944,"ws227"
1386307298,"2/10/2006",2,23.56222,-105.83639,"ws228"
1211913916,"11/3/1972",11,19.025674,-99.233641,"ws229"
1211913911,"11/17/1971",11,19.009004,-99.285312,"ws230"
1211913876,"11/26/1971",11,18.969007,-99.155309,"ws231"
1205415875,"1/24/2004",1,17.06302,-96.51489,"ws232"
1202244418,"11/8/2008",11,17.091343,-96.50849,"ws233"
1197793714,"2/20/2007",2,17.68261,-99.80813,"ws234"
1160920056,"2/21/2007",2,17.587063,-99.83701,"ws235"
